Date,sentbyaddress14var
2016/01/01,5063
2016/01/02,5579
2016/01/03,5836
2016/01/04,6270
2016/01/05,6660
2016/01/06,7318
2016/01/07,8489
2016/01/08,6936
2016/01/09,6566
2016/01/10,7545
2016/01/11,11041
2016/01/12,17536
2016/01/13,14053
2016/01/14,14069
2016/01/15,15532
2016/01/16,17214
2016/01/17,22667
2016/01/18,22258
2016/01/19,23887
2016/01/20,30139
2016/01/21,32868
2016/01/22,33608
2016/01/23,34801
2016/01/24,43383
2016/01/25,57138
2016/01/26,75848
2016/01/27,80270
2016/01/28,83331
2016/01/29,84317
2016/01/30,77058
2016/01/31,62244
2016/02/01,56786
2016/02/02,42747
2016/02/03,42716
2016/02/04,26492
2016/02/05,11674
2016/02/06,10056
2016/02/07,10272
2016/02/08,12782
2016/02/09,18783
2016/02/10,109635
2016/02/11,205357
2016/02/12,268715
2016/02/13,288803
2016/02/14,282249
2016/02/15,273195
2016/02/16,254669
2016/02/17,231325
2016/02/18,200061
2016/02/19,169305
2016/02/20,127352
2016/02/21,125393
2016/02/22,103789
2016/02/23,89425
2016/02/24,81847
2016/02/25,75453
2016/02/26,64557
2016/02/27,64480
2016/02/28,76452
2016/02/29,147804
2016/03/01,247634
2016/03/02,346267
2016/03/03,472257
2016/03/04,549336
2016/03/05,754700
2016/03/06,899039
2016/03/07,849535
2016/03/08,863955
2016/03/09,751411
2016/03/10,727919
2016/03/11,567026
2016/03/12,373282
2016/03/13,218812
2016/03/14,152615
2016/03/15,118320
2016/03/16,114037
2016/03/17,109829
2016/03/18,110628
2016/03/19,103823
2016/03/20,106257
2016/03/21,89904
2016/03/22,94399
2016/03/23,102477
2016/03/24,91882
2016/03/25,102358
2016/03/26,122363
2016/03/27,114080
2016/03/28,104824
2016/03/29,228050
2016/03/30,348070
2016/03/31,346139
2016/04/01,328298
2016/04/02,333089
2016/04/03,345223
2016/04/04,339609
2016/04/05,337275
2016/04/06,335478
2016/04/07,325105
2016/04/08,304191
2016/04/09,258334
2016/04/10,266987
2016/04/11,266784
2016/04/12,183975
2016/04/13,94882
2016/04/14,96747
2016/04/15,96899
2016/04/16,86802
2016/04/17,63972
2016/04/18,64633
2016/04/19,64640
2016/04/20,65117
2016/04/21,63694
2016/04/22,57144
2016/04/23,57479
2016/04/24,45178
2016/04/25,49464
2016/04/26,60270
2016/04/27,57370
2016/04/28,58140
2016/04/29,463091
2016/04/30,947694
2016/05/01,1079758
2016/05/02,1422636
2016/05/03,1487640
2016/05/04,1451273
2016/05/05,1378222
2016/05/06,1287790
2016/05/07,1110379
2016/05/08,950502
2016/05/09,824853
2016/05/10,686027
2016/05/11,642682
2016/05/12,440797
2016/05/13,1011614
2016/05/14,1150900
2016/05/15,1102719
2016/05/16,1102199
2016/05/17,1095401
2016/05/18,1071270
2016/05/19,1051073
2016/05/20,937779
2016/05/21,755266
2016/05/22,791797
2016/05/23,743582
2016/05/24,673681
2016/05/25,674683
2016/05/26,3908935
2016/05/27,3860748
2016/05/28,7047917
2016/05/29,6907129
2016/05/30,6721669
2016/05/31,6621542
2016/06/01,6718919
2016/06/02,6944936
2016/06/03,7095988
2016/06/04,7268957
2016/06/05,7194038
2016/06/06,7402243
2016/06/07,7500610
2016/06/08,7574865
2016/06/09,4653095
2016/06/10,4526976
2016/06/11,357294
2016/06/12,302651
2016/06/13,550482
2016/06/14,778726
2016/06/15,810245
2016/06/16,946349
2016/06/17,3232273
2016/06/18,4080324
2016/06/19,3856717
2016/06/20,3686705
2016/06/21,3559482
2016/06/22,3458887
2016/06/23,3243376
2016/06/24,3155047
2016/06/25,2950201
2016/06/26,3156448
2016/06/27,3441628
2016/06/28,3459509
2016/06/29,3499816
2016/06/30,3701962
2016/07/01,1989438
2016/07/02,882553
2016/07/03,750504
2016/07/04,708387
2016/07/05,578081
2016/07/06,179900
2016/07/07,164662
2016/07/08,166031
2016/07/09,145535
2016/07/10,131639
2016/07/11,116311
2016/07/12,90896
2016/07/13,85251
2016/07/14,79892
2016/07/15,73910
2016/07/16,146763
2016/07/17,304570
2016/07/18,298333
2016/07/19,6717089
2016/07/20,7068045
2016/07/21,7135792
2016/07/22,7362672
2016/07/23,7316865
2016/07/24,9057997
2016/07/25,9146599
2016/07/26,12676311
2016/07/27,12686315
2016/07/28,12232171
2016/07/29,11543963
2016/07/30,10563802
2016/07/31,8783475
2016/08/01,7466526
2016/08/02,5182815
2016/08/03,5195832
