Date,transactions30wma
2016/01/01,12816
2016/01/02,12671
2016/01/03,12528
2016/01/04,12394
2016/01/05,12703
2016/01/06,13038
2016/01/07,13674
2016/01/08,13557
2016/01/09,13488
2016/01/10,13315
2016/01/11,13174
2016/01/12,13025
2016/01/13,13307
2016/01/14,13133
2016/01/15,12931
2016/01/16,12781
2016/01/17,12569
2016/01/18,12561
2016/01/19,12577
2016/01/20,12404
2016/01/21,12242
2016/01/22,12304
2016/01/23,12202
2016/01/24,12220
2016/01/25,12510
2016/01/26,12747
2016/01/27,13139
2016/01/28,13390
2016/01/29,13605
2016/01/30,13721
2016/01/31,13794
2016/02/01,13858
2016/02/02,13916
2016/02/03,13962
2016/02/04,14005
2016/02/05,14108
2016/02/06,15259
2016/02/07,15282
2016/02/08,15328
2016/02/09,15419
2016/02/10,15604
2016/02/11,16052
2016/02/12,16263
2016/02/13,16552
2016/02/14,16647
2016/02/15,16763
2016/02/16,16889
2016/02/17,17157
2016/02/18,17214
2016/02/19,17357
2016/02/20,17373
2016/02/21,17403
2016/02/22,17494
2016/02/23,17590
2016/02/24,17741
2016/02/25,17884
2016/02/26,18123
2016/02/27,18221
2016/02/28,18320
2016/02/29,18497
2016/03/01,18753
2016/03/02,19108
2016/03/03,19525
2016/03/04,19884
2016/03/05,20404
2016/03/06,20931
2016/03/07,21149
2016/03/08,21438
2016/03/09,21735
2016/03/10,22028
2016/03/11,22191
2016/03/12,22649
2016/03/13,23108
2016/03/14,23572
2016/03/15,24064
2016/03/16,24421
2016/03/17,25138
2016/03/18,25711
2016/03/19,26448
2016/03/20,26998
2016/03/21,27521
2016/03/22,28034
2016/03/23,28442
2016/03/24,29155
2016/03/25,29815
2016/03/26,30431
2016/03/27,30580
2016/03/28,30944
2016/03/29,31296
2016/03/30,31800
2016/03/31,31979
2016/04/01,32203
2016/04/02,32150
2016/04/03,32103
2016/04/04,32387
2016/04/05,32930
2016/04/06,32990
2016/04/07,33020
2016/04/08,33169
2016/04/09,33164
2016/04/10,33163
2016/04/11,33019
2016/04/12,33151
2016/04/13,33357
2016/04/14,33466
2016/04/15,33574
2016/04/16,33377
2016/04/17,33814
2016/04/18,33801
2016/04/19,33734
2016/04/20,33687
2016/04/21,33913
2016/04/22,33774
2016/04/23,33646
2016/04/24,33671
2016/04/25,33791
2016/04/26,33730
2016/04/27,33746
2016/04/28,33792
2016/04/29,34031
2016/04/30,34813
2016/05/01,35166
2016/05/02,35646
2016/05/03,35845
2016/05/04,36006
2016/05/05,36239
2016/05/06,36639
2016/05/07,36671
2016/05/08,36965
2016/05/09,37149
2016/05/10,37455
2016/05/11,37752
2016/05/12,38296
2016/05/13,38995
2016/05/14,39540
2016/05/15,39889
2016/05/16,39857
2016/05/17,39995
2016/05/18,40502
2016/05/19,40886
2016/05/20,41285
2016/05/21,41558
2016/05/22,41513
2016/05/23,41768
2016/05/24,41940
2016/05/25,42321
2016/05/26,42982
2016/05/27,43465
2016/05/28,45279
2016/05/29,45451
2016/05/30,45413
2016/05/31,45476
2016/06/01,45389
2016/06/02,45136
2016/06/03,44889
2016/06/04,44512
2016/06/05,44137
2016/06/06,43838
2016/06/07,43996
2016/06/08,43773
2016/06/09,43508
2016/06/10,43264
2016/06/11,42812
2016/06/12,42744
2016/06/13,42919
2016/06/14,43361
2016/06/15,43331
2016/06/16,43297
2016/06/17,44751
2016/06/18,45937
2016/06/19,46306
2016/06/20,46409
2016/06/21,46518
2016/06/22,46692
2016/06/23,46423
2016/06/24,46377
2016/06/25,45776
2016/06/26,45524
2016/06/27,45162
2016/06/28,45086
2016/06/29,45456
2016/06/30,46717
2016/07/01,46397
2016/07/02,46028
2016/07/03,45692
2016/07/04,45368
2016/07/05,44996
2016/07/06,44533
2016/07/07,44236
2016/07/08,44084
2016/07/09,43793
2016/07/10,43433
2016/07/11,43024
2016/07/12,42756
2016/07/13,42164
2016/07/14,42051
2016/07/15,41844
2016/07/16,41446
2016/07/17,40791
2016/07/18,40547
2016/07/19,40677
2016/07/20,41237
2016/07/21,41418
2016/07/22,41836
2016/07/23,42031
2016/07/24,43071
2016/07/25,43868
2016/07/26,45081
2016/07/27,45677
2016/07/28,45955
2016/07/29,46137
2016/07/30,45987
2016/07/31,46319
2016/08/01,46453
2016/08/02,46771
2016/08/03,47097
2016/08/04,47227
2016/08/05,47112
2016/08/06,46874
2016/08/07,46729
2016/08/08,46584
