Date,price30wmaUSD
2016/01/01,0.903
2016/01/02,0.908
2016/01/03,0.913
2016/01/04,0.918
2016/01/05,0.922
2016/01/06,0.926
2016/01/07,0.931
2016/01/08,0.936
2016/01/09,0.944
2016/01/10,0.954
2016/01/11,0.961
2016/01/12,0.976
2016/01/13,0.987
2016/01/14,0.999
2016/01/15,1.016
2016/01/16,1.034
2016/01/17,1.05
2016/01/18,1.078
2016/01/19,1.102
2016/01/20,1.13
2016/01/21,1.161
2016/01/22,1.191
2016/01/23,1.233
2016/01/24,1.3
2016/01/25,1.374
2016/01/26,1.463
2016/01/27,1.536
2016/01/28,1.612
2016/01/29,1.686
2016/01/30,1.757
2016/01/31,1.816
2016/02/01,1.861
2016/02/02,1.905
2016/02/03,1.958
2016/02/04,2.015
2016/02/05,2.068
2016/02/06,2.117
2016/02/07,2.174
2016/02/08,2.254
2016/02/09,2.355
2016/02/10,2.507
2016/02/11,2.688
2016/02/12,2.924
2016/02/13,3.091
2016/02/14,3.243
2016/02/15,3.425
2016/02/16,3.558
2016/02/17,3.634
2016/02/18,3.701
2016/02/19,3.791
2016/02/20,3.871
2016/02/21,3.944
2016/02/22,4.057
2016/02/23,4.198
2016/02/24,4.339
2016/02/25,4.503
2016/02/26,4.64
2016/02/27,4.784
2016/02/28,4.935
2016/02/29,5.076
2016/03/01,5.229
2016/03/02,5.453
2016/03/03,5.746
2016/03/04,6.025
2016/03/05,6.41
2016/03/06,6.775
2016/03/07,7.071
2016/03/08,7.303
2016/03/09,7.583
2016/03/10,7.915
2016/03/11,8.196
2016/03/12,8.578
2016/03/13,9.036
2016/03/14,9.418
2016/03/15,9.735
2016/03/16,10.068
2016/03/17,10.28
2016/03/18,10.387
2016/03/19,10.504
2016/03/20,10.586
2016/03/21,10.703
2016/03/22,10.846
2016/03/23,10.99
2016/03/24,11.09
2016/03/25,11.139
2016/03/26,11.18
2016/03/27,11.202
2016/03/28,11.246
2016/03/29,11.303
2016/03/30,11.365
2016/03/31,11.412
2016/04/01,11.439
2016/04/02,11.449
2016/04/03,11.456
2016/04/04,11.444
2016/04/05,11.396
2016/04/06,11.341
2016/04/07,11.271
2016/04/08,11.168
2016/04/09,11.048
2016/04/10,10.869
2016/04/11,10.687
2016/04/12,10.475
2016/04/13,10.271
2016/04/14,10.117
2016/04/15,9.969
2016/04/16,9.829
2016/04/17,9.759
2016/04/18,9.678
2016/04/19,9.6
2016/04/20,9.494
2016/04/21,9.386
2016/04/22,9.255
2016/04/23,9.132
2016/04/24,9.028
2016/04/25,8.905
2016/04/26,8.757
2016/04/27,8.635
2016/04/28,8.509
2016/04/29,8.395
2016/04/30,8.341
2016/05/01,8.324
2016/05/02,8.37
2016/05/03,8.422
2016/05/04,8.473
2016/05/05,8.529
2016/05/06,8.595
2016/05/07,8.64
2016/05/08,8.685
2016/05/09,8.74
2016/05/10,8.79
2016/05/11,8.86
2016/05/12,8.957
2016/05/13,9.078
2016/05/14,9.168
2016/05/15,9.251
2016/05/16,9.352
2016/05/17,9.529
2016/05/18,9.781
2016/05/19,10.085
2016/05/20,10.406
2016/05/21,10.668
2016/05/22,10.947
2016/05/23,11.213
2016/05/24,11.398
2016/05/25,11.534
2016/05/26,11.663
2016/05/27,11.707
2016/05/28,11.746
2016/05/29,11.822
2016/05/30,11.914
2016/05/31,12.049
2016/06/01,12.215
2016/06/02,12.367
2016/06/03,12.499
2016/06/04,12.621
2016/06/05,12.74
2016/06/06,12.859
2016/06/07,12.98
2016/06/08,13.119
2016/06/09,13.24
2016/06/10,13.331
2016/06/11,13.396
2016/06/12,13.509
2016/06/13,13.737
2016/06/14,14.052
2016/06/15,14.361
2016/06/16,14.727
2016/06/17,14.937
2016/06/18,14.851
2016/06/19,14.723
2016/06/20,14.569
2016/06/21,14.436
2016/06/22,14.45
2016/06/23,14.388
2016/06/24,14.381
2016/06/25,14.391
2016/06/26,14.381
2016/06/27,14.362
2016/06/28,14.287
2016/06/29,14.15
2016/06/30,14.032
2016/07/01,13.895
2016/07/02,13.754
2016/07/03,13.608
2016/07/04,13.445
2016/07/05,13.218
2016/07/06,13.004
2016/07/07,12.763
2016/07/08,12.556
2016/07/09,12.391
2016/07/10,12.228
2016/07/11,12.051
2016/07/12,11.88
2016/07/13,11.711
2016/07/14,11.597
2016/07/15,11.551
2016/07/16,11.511
2016/07/17,11.455
2016/07/18,11.417
2016/07/19,11.378
2016/07/20,11.394
2016/07/21,11.429
2016/07/22,11.532
2016/07/23,11.698
2016/07/24,11.794
2016/07/25,11.887
2016/07/26,11.95
2016/07/27,12.003
2016/07/28,12.065
2016/07/29,12.125
2016/07/30,12.181
2016/07/31,12.205
2016/08/01,12.192
2016/08/02,12.09
2016/08/03,11.953
2016/08/04,11.892
2016/08/05,11.846
2016/08/06,11.783
2016/08/07,11.732
2016/08/08,11.684
2016/08/09,11.681
2016/08/10,11.71
2016/08/11,11.713
2016/08/12,11.712
2016/08/13,11.698
2016/08/14,11.669
2016/08/15,11.623
2016/08/16,11.576
2016/08/17,11.519
2016/08/18,11.456
2016/08/19,11.386
2016/08/20,11.341
2016/08/21,11.298
2016/08/22,11.268
2016/08/23,11.236
2016/08/24,11.208
2016/08/25,11.194
2016/08/26,11.191
