Date,transactionfees30rsiUSD
2016/01/01,45.277
2016/01/02,46.047
2016/01/03,46.117
2016/01/04,46.587
2016/01/05,51.415
2016/01/06,52.102
2016/01/07,49.259
2016/01/08,47.396
2016/01/09,51.214
2016/01/10,48.797
2016/01/11,47.91
2016/01/12,48.906
2016/01/13,52.254
2016/01/14,49.198
2016/01/15,49.337
2016/01/16,48.501
2016/01/17,47.065
2016/01/18,50.98
2016/01/19,51.684
2016/01/20,48.592
2016/01/21,49.395
2016/01/22,51.023
2016/01/23,48.992
2016/01/24,52.566
2016/01/25,56.274
2016/01/26,57.552
2016/01/27,60.594
2016/01/28,57.025
2016/01/29,55.784
2016/01/30,56.649
2016/01/31,55.488
2016/02/01,53.655
2016/02/02,52.262
2016/02/03,52.539
2016/02/04,55.25
2016/02/05,56.897
2016/02/06,74.837
2016/02/07,57.136
2016/02/08,54.167
2016/02/09,57.818
2016/02/10,61.366
2016/02/11,55.752
2016/02/12,55.826
2016/02/13,54.021
2016/02/14,52.642
2016/02/15,54.339
2016/02/16,53.646
2016/02/17,52.629
2016/02/18,50.87
2016/02/19,53.202
2016/02/20,50.893
2016/02/21,51.081
2016/02/22,53.233
2016/02/23,68.141
2016/02/24,55.627
2016/02/25,51.753
2016/02/26,54.405
2016/02/27,50.922
2016/02/28,51.313
2016/02/29,51.609
2016/03/01,51.694
2016/03/02,53.466
2016/03/03,53.402
2016/03/04,53.243
2016/03/05,53.915
2016/03/06,54.747
2016/03/07,53.387
2016/03/08,53.218
2016/03/09,51.514
2016/03/10,50.164
2016/03/11,49.921
2016/03/12,51.538
2016/03/13,52.962
2016/03/14,53
2016/03/15,50.649
2016/03/16,51.498
2016/03/17,51.063
2016/03/18,49.172
2016/03/19,53.054
2016/03/20,51.151
2016/03/21,50.889
2016/03/22,49.394
2016/03/23,51.877
2016/03/24,52.365
2016/03/25,51.519
2016/03/26,50.197
2016/03/27,47.195
2016/03/28,48.933
2016/03/29,48.393
2016/03/30,51.732
2016/03/31,49.265
2016/04/01,48.703
2016/04/02,47.541
2016/04/03,47.471
2016/04/04,48.476
2016/04/05,48.29
2016/04/06,47.679
2016/04/07,47.507
2016/04/08,47.862
2016/04/09,46.619
2016/04/10,45.837
2016/04/11,45.855
2016/04/12,45.838
2016/04/13,48.101
2016/04/14,48.698
2016/04/15,46.48
2016/04/16,45.563
2016/04/17,48.265
2016/04/18,46.668
2016/04/19,46.518
2016/04/20,47.645
2016/04/21,48.496
2016/04/22,46.567
2016/04/23,46.249
2016/04/24,46.898
2016/04/25,46.719
2016/04/26,46.257
2016/04/27,45.928
2016/04/28,46.365
2016/04/29,46.095
2016/04/30,47.774
2016/05/01,50.983
2016/05/02,48.559
2016/05/03,49.316
2016/05/04,49.488
2016/05/05,50.53
2016/05/06,51.338
2016/05/07,48.513
2016/05/08,49.109
2016/05/09,48.736
2016/05/10,48.601
2016/05/11,50.406
2016/05/12,52.403
2016/05/13,53.458
2016/05/14,50.788
2016/05/15,49.96
2016/05/16,50.541
2016/05/17,51.39
2016/05/18,53.834
2016/05/19,54.536
2016/05/20,56.949
2016/05/21,55.36
2016/05/22,54.052
2016/05/23,52.47
2016/05/24,51.05
2016/05/25,51.173
2016/05/26,51.006
2016/05/27,51.218
2016/05/28,57.83
2016/05/29,52.861
2016/05/30,51.351
2016/05/31,51.464
2016/06/01,52.888
2016/06/02,50.856
2016/06/03,50.268
2016/06/04,50.481
2016/06/05,50.246
2016/06/06,51.181
2016/06/07,65.04
2016/06/08,51.287
2016/06/09,51.54
2016/06/10,51.199
2016/06/11,51.273
2016/06/12,51.118
2016/06/13,54.586
2016/06/14,55.224
2016/06/15,53.99
2016/06/16,59.201
2016/06/17,78.486
2016/06/18,74.635
2016/06/19,49.99
2016/06/20,49.973
2016/06/21,53.123
2016/06/22,50.698
2016/06/23,48.72
2016/06/24,49.57
2016/06/25,49.127
2016/06/26,48.43
2016/06/27,48.636
2016/06/28,48.674
2016/06/29,50.494
2016/06/30,51.891
2016/07/01,50.379
2016/07/02,47.66
2016/07/03,48.445
2016/07/04,47.827
2016/07/05,47.97
2016/07/06,48.093
2016/07/07,47.318
2016/07/08,48.871
2016/07/09,50.676
2016/07/10,47.952
2016/07/11,48.045
2016/07/12,48.358
2016/07/13,47.77
2016/07/14,48.398
2016/07/15,48.432
2016/07/16,47.864
2016/07/17,47.405
2016/07/18,47.946
2016/07/19,47.969
2016/07/20,54.029
2016/07/21,49.217
2016/07/22,49.731
2016/07/23,49.836
2016/07/24,48.725
2016/07/25,49.302
2016/07/26,49.217
2016/07/27,49.031
2016/07/28,53.47
2016/07/29,50.781
2016/07/30,48.948
2016/07/31,48.14
2016/08/01,48.195
2016/08/02,47.844
2016/08/03,47.454
2016/08/04,48.131
2016/08/05,48.144
2016/08/06,47.679
2016/08/07,47.904
2016/08/08,52.447
2016/08/09,48.571
2016/08/10,49.217
2016/08/11,48.64
2016/08/12,48.736
2016/08/13,48.128
2016/08/14,47.93
2016/08/15,48.188
2016/08/16,48.131
2016/08/17,48.08
2016/08/18,49.046
2016/08/19,48.462
2016/08/20,48.203
2016/08/21,48.573
2016/08/22,48.581
2016/08/23,55.769
2016/08/24,48.388
2016/08/25,48.538
