Date,fee_to_reward90rocUSD
2016/01/01,63.491
2016/01/02,92.095
2016/01/03,60.229
2016/01/04,94.471
2016/01/05,358.045
2016/01/06,434.941
2016/01/07,439.211
2016/01/08,111.137
2016/01/09,320.528
2016/01/10,141.862
2016/01/11,105.95
2016/01/12,120.377
2016/01/13,205.922
2016/01/14,20.249
2016/01/15,88.545
2016/01/16,69.987
2016/01/17,43.415
2016/01/18,168.204
2016/01/19,252.538
2016/01/20,38.631
2016/01/21,57.08
2016/01/22,200.98
2016/01/23,101.214
2016/01/24,112.301
2016/01/25,129.262
2016/01/26,244.896
2016/01/27,380.832
2016/01/28,224.25
2016/01/29,160.016
2016/01/30,136.931
2016/01/31,246.71
2016/02/01,177.526
2016/02/02,241.354
2016/02/03,165.418
2016/02/04,110.646
2016/02/05,19.636
2016/02/06,338.791
2016/02/07,329.613
2016/02/08,142.882
2016/02/09,122.605
2016/02/10,143.238
2016/02/11,237.243
2016/02/12,95.568
2016/02/13,235.305
2016/02/14,185.189
2016/02/15,243.578
2016/02/16,234.568
2016/02/17,162.002
2016/02/18,135.37
2016/02/19,227.763
2016/02/20,143.017
2016/02/21,114.059
2016/02/22,151.745
2016/02/23,659.879
2016/02/24,461.22
2016/02/25,253.232
2016/02/26,259.499
2016/02/27,229.326
2016/02/28,46.311
2016/02/29,177.475
2016/03/01,192.145
2016/03/02,283.035
2016/03/03,192.146
2016/03/04,166.043
2016/03/05,97.599
2016/03/06,314.154
2016/03/07,236.872
2016/03/08,245.118
2016/03/09,147.814
2016/03/10,24.482
2016/03/11,-12.642
2016/03/12,39.172
2016/03/13,-66.012
2016/03/14,-74.484
2016/03/15,-53.585
2016/03/16,-36.484
2016/03/17,-18.406
2016/03/18,-17.594
2016/03/19,6.259
2016/03/20,-23.14
2016/03/21,-51.446
2016/03/22,-71.557
2016/03/23,-38.972
2016/03/24,29.632
2016/03/25,7.823
2016/03/26,-64.887
2016/03/27,-54.432
2016/03/28,-31.815
2016/03/29,-72.619
2016/03/30,19.96
2016/03/31,34.112
2016/04/01,8.357
2016/04/02,-16.213
2016/04/03,-26.43
2016/04/04,-63.272
2016/04/05,-61.883
2016/04/06,-70.682
2016/04/07,-25.195
2016/04/08,-44.012
2016/04/09,-32.129
2016/04/10,-34.898
2016/04/11,-38.744
2016/04/12,-67.086
2016/04/13,4.622
2016/04/14,15.576
2016/04/15,-13.71
2016/04/16,-13.899
2016/04/17,-19.29
2016/04/18,-53.404
2016/04/19,-14.432
2016/04/20,-3.434
2016/04/21,-18.201
2016/04/22,-2.881
2016/04/23,-28.704
2016/04/24,-54.081
2016/04/25,-47.178
2016/04/26,-67.758
2016/04/27,-58.47
2016/04/28,-49.623
2016/04/29,-43.976
2016/04/30,-22.586
2016/05/01,-1.432
2016/05/02,-23.598
2016/05/03,-16.336
2016/05/04,-28.331
2016/05/05,-30.561
2016/05/06,-76.351
2016/05/07,-56.183
2016/05/08,-32.386
2016/05/09,-54.492
2016/05/10,-59.989
2016/05/11,-40.781
2016/05/12,-2
2016/05/13,-0.232
2016/05/14,6.076
2016/05/15,-15.717
2016/05/16,-29.935
2016/05/17,-43.329
2016/05/18,-2.531
2016/05/19,-23.435
2016/05/20,18.339
2016/05/21,8.45
2016/05/22,-24.972
2016/05/23,-73.651
2016/05/24,-53.649
2016/05/25,-13.585
2016/05/26,-40.993
2016/05/27,9.258
2016/05/28,106.843
2016/05/29,-6
2016/05/30,-20.896
2016/05/31,-30.426
2016/06/01,-27.194
2016/06/02,-37.519
2016/06/03,-38.109
2016/06/04,-47.998
2016/06/05,-33.878
2016/06/06,-33.519
2016/06/07,108.184
2016/06/08,14.957
2016/06/09,22.627
2016/06/10,1.041
2016/06/11,-9.948
2016/06/12,-13.759
2016/06/13,49.101
2016/06/14,57.857
2016/06/15,-1.806
2016/06/16,46.73
2016/06/17,381.339
2016/06/18,578.165
2016/06/19,57.595
2016/06/20,97.416
2016/06/21,117.393
2016/06/22,22.273
2016/06/23,-20.129
2016/06/24,12.583
2016/06/25,47.525
2016/06/26,1.281
2016/06/27,14.129
2016/06/28,-9.567
2016/06/29,122.713
2016/06/30,260.172
2016/07/01,138.506
2016/07/02,35.846
2016/07/03,24.132
2016/07/04,-6.887
2016/07/05,38.158
2016/07/06,33.868
2016/07/07,6.671
2016/07/08,89.85
2016/07/09,143.321
2016/07/10,43.951
2016/07/11,22.341
2016/07/12,-0.351
2016/07/13,-22.059
2016/07/14,39.082
2016/07/15,67.138
2016/07/16,-20.014
2016/07/17,-1.149
2016/07/18,29.717
2016/07/19,22.67
2016/07/20,144.877
2016/07/21,59.856
2016/07/22,91.742
2016/07/23,43.471
2016/07/24,60.942
2016/07/25,78.056
2016/07/26,129.952
2016/07/27,62.564
2016/07/28,161.935
2016/07/29,42.08
2016/07/30,-19.528
2016/07/31,9.942
2016/08/01,14.752
2016/08/02,25.187
2016/08/03,7.284
2016/08/04,-10.219
2016/08/05,19.589
2016/08/06,-8.389
2016/08/07,3.881
2016/08/08,91.97
2016/08/09,-4.456
2016/08/10,-14.136
2016/08/11,-24.716
2016/08/12,-15.652
2016/08/13,-19.833
2016/08/14,-13.088
2016/08/15,-4.257
2016/08/16,-9.858
2016/08/17,-13.952
2016/08/18,-7.639
2016/08/19,-16.655
2016/08/20,-8.187
2016/08/21,-4.605
2016/08/22,3.394
2016/08/23,120.319
2016/08/24,-16.358
2016/08/25,-13.773
2016/08/26,-56.162
2016/08/27,-27.231
2016/08/28,-19.478
2016/08/29,-7.239
2016/08/30,3.835
2016/08/31,15.516
2016/09/01,27.33
2016/09/02,82.677
2016/09/03,13.601
2016/09/04,91.804
2016/09/05,-57.569
2016/09/06,19.458
2016/09/07,17.688
2016/09/08,37.766
2016/09/09,53.258
2016/09/10,-5.153
2016/09/11,-23.249
2016/09/12,-9.576
2016/09/13,-0.679
2016/09/14,-13.126
2016/09/15,-82.95
2016/09/16,-80.959
2016/09/17,-32.64
2016/09/18,-38.579
2016/09/19,-64.982
2016/09/20,-35.853
2016/09/21,-6.932
2016/09/22,52.484
2016/09/23,55.672
2016/09/24,140.832
2016/09/25,117.827
2016/09/26,244.505
2016/09/27,48.227
2016/09/28,-23.765
2016/09/29,-8.462
2016/09/30,65.077
2016/10/01,162.675
2016/10/02,180.455
2016/10/03,103.284
2016/10/04,184.228
2016/10/05,119.11
2016/10/06,20.718
2016/10/07,-8.769
2016/10/08,72.509
2016/10/09,96.206
2016/10/10,56.782
2016/10/11,53.48
2016/10/12,26.691
2016/10/13,231.973
2016/10/14,199.348
2016/10/15,239.844
2016/10/16,151.898
2016/10/17,136.102
2016/10/18,20.939
2016/10/19,156.564
2016/10/20,31.606
2016/10/21,26.454
2016/10/22,-26.735
2016/10/23,-32.009
2016/10/24,1.643
2016/10/25,17.037
2016/10/26,-43.35
2016/10/27,-25.74
2016/10/28,21.312
2016/10/29,10.87
2016/10/30,-1.639
2016/10/31,-4.164
2016/11/01,29.069
2016/11/02,-5.214
2016/11/03,3.79
2016/11/04,-15.183
2016/11/05,-9.113
2016/11/06,-56.227
2016/11/07,-9.648
2016/11/08,-6.528
2016/11/09,12.67
2016/11/10,20.811
2016/11/11,71.464
2016/11/12,26.391
2016/11/13,24.077
2016/11/14,22.908
2016/11/15,31.2
2016/11/16,1.189
2016/11/17,5.159
2016/11/18,26.64
2016/11/19,-2.422
2016/11/20,8.329
2016/11/21,-50.26
2016/11/22,31.361
2016/11/23,142.503
2016/11/24,78.653
2016/11/25,96.418
2016/11/26,171.428
2016/11/27,256.129
2016/11/28,242.868
2016/11/29,220.643
2016/11/30,10.134
2016/12/01,-38.609
2016/12/02,1.967
2016/12/03,-47.616
2016/12/04,-5.192
2016/12/05,-5.319
2016/12/06,1.931
2016/12/07,-14.389
2016/12/08,-14.236
2016/12/09,14.874
2016/12/10,3.777
