Date,hashrate3sma
2016/01/01,534451269864
2016/01/02,532286311598
2016/01/03,532991463782
2016/01/04,538061715650
2016/01/05,544997513005
2016/01/06,547444833424
2016/01/07,542420801381
2016/01/08,543029752044
2016/01/09,542854559990
2016/01/10,546763884108
2016/01/11,550420428716
2016/01/12,546898979437
2016/01/13,544437053257
2016/01/14,541801525212
2016/01/15,550483766894
2016/01/16,564992006911
2016/01/17,569848915967
2016/01/18,577968933644
2016/01/19,581567082877
2016/01/20,588168535040
2016/01/21,585714769300
2016/01/22,594307559568
2016/01/23,601200271077
2016/01/24,623373874138
2016/01/25,628028468863
2016/01/26,649455547320
2016/01/27,653768246890
2016/01/28,662984774020
2016/01/29,661969404900
2016/01/30,663700911277
2016/01/31,661839926129
2016/02/01,664906994054
2016/02/02,658187800325
2016/02/03,674890417394
2016/02/04,679885576082
2016/02/05,696539422581
2016/02/06,689116746606
2016/02/07,688821592130
2016/02/08,697085293557
2016/02/09,705355216205
2016/02/10,713594141269
2016/02/11,721647492754
2016/02/12,728824364694
2016/02/13,744788811401
2016/02/14,754039509129
2016/02/15,778654028991
2016/02/16,786550375687
2016/02/17,784810438863
2016/02/18,770221320735
2016/02/19,771935823977
2016/02/20,782008056482
2016/02/21,801308597457
2016/02/22,817928318719
2016/02/23,834326724893
2016/02/24,846907002494
2016/02/25,850650875051
2016/02/26,861370915311
2016/02/27,878126185608
2016/02/28,898105771251
2016/02/29,899543774734
2016/03/01,900780240009
2016/03/02,908553960317
2016/03/03,932323228828
2016/03/04,959742617367
2016/03/05,990049550374
2016/03/06,1016536486570
2016/03/07,1038042806027
2016/03/08,1048101456379
2016/03/09,1062842028293
2016/03/10,1088514115611
2016/03/11,1119176091219
2016/03/12,1164091000497
2016/03/13,1219664399079
2016/03/14,1251111775747
2016/03/15,1277704919621
2016/03/16,1288090711950
2016/03/17,1328946618838
2016/03/18,1348733794862
2016/03/19,1381218393769
2016/03/20,1408615772500
2016/03/21,1433381437214
2016/03/22,1448969021433
2016/03/23,1428294004759
2016/03/24,1453644249910
2016/03/25,1489569504389
2016/03/26,1566699181682
2016/03/27,1612247276895
2016/03/28,1623550673614
2016/03/29,1640249158621
2016/03/30,1663700034025
2016/03/31,1717333155165
2016/04/01,1757012946524
2016/04/02,1761934341405
2016/04/03,1780871200365
2016/04/04,1820664616586
2016/04/05,1884480500327
2016/04/06,1907344979337
2016/04/07,1875165519392
2016/04/08,1893382414000
2016/04/09,1915299025922
2016/04/10,1990087559410
2016/04/11,1989596695203
2016/04/12,1979691194269
2016/04/13,1976490033457
2016/04/14,1999423201207
2016/04/15,2063321347013
2016/04/16,2104539201325
2016/04/17,2124174426710
2016/04/18,2158385680621
2016/04/19,2182615745291
2016/04/20,2239443145578
2016/04/21,2260927508055
2016/04/22,2259364568129
2016/04/23,2274259722196
2016/04/24,2271851818163
2016/04/25,2331400078816
2016/04/26,2335855885956
2016/04/27,2356333939906
2016/04/28,2356395171490
2016/04/29,2395605941319
2016/04/30,2461527309093
2016/05/01,2502148119494
2016/05/02,2498738666087
2016/05/03,2508465862871
2016/05/04,2515325050236
2016/05/05,2553152158839
2016/05/06,2549189888981
2016/05/07,2551346209504
2016/05/08,2567349251019
2016/05/09,2587756013261
2016/05/10,2631723910225
2016/05/11,2625021607697
2016/05/12,2631985977001
2016/05/13,2676972058436
2016/05/14,2740979931067
2016/05/15,2790288684698
2016/05/16,2779601322319
2016/05/17,2782456643460
2016/05/18,2817216792107
2016/05/19,2876360454100
2016/05/20,2957221081808
2016/05/21,3007422615327
2016/05/22,3032291160244
2016/05/23,3041654928704
2016/05/24,3059686602800
2016/05/25,3090579133940
2016/05/26,3128389959518
2016/05/27,3154296108931
2016/05/28,3196514177463
2016/05/29,3234645973784
2016/05/30,3264991188885
2016/05/31,3256192842066
2016/06/01,3220892268069
2016/06/02,3212185834382
2016/06/03,3274434538783
2016/06/04,3350125799391
2016/06/05,3378796730707
2016/06/06,3388316468237
2016/06/07,3411175196460
2016/06/08,3461836212165
2016/06/09,3527777085746
2016/06/10,3513812136502
2016/06/11,3539683314028
2016/06/12,3520133115437
2016/06/13,3617333720943
2016/06/14,3681873354254
2016/06/15,3727646629664
2016/06/16,3728276536755
2016/06/17,3764049286366
2016/06/18,3778965977328
2016/06/19,3824636320993
2016/06/20,3810257228358
2016/06/21,3807608730758
2016/06/22,3827565543309
2016/06/23,3887575648439
2016/06/24,3965073325827
2016/06/25,3984149924978
2016/06/26,4016380082746
2016/06/27,4075508102825
2016/06/28,4157096320228
2016/06/29,4165369212568
2016/06/30,4156394602145
2016/07/01,4162508164130
2016/07/02,4206228638533
2016/07/03,4274688537329
2016/07/04,4307499599041
2016/07/05,4336741832158
2016/07/06,4334542469922
2016/07/07,4330737255595
2016/07/08,4334615057394
2016/07/09,4340876886899
2016/07/10,4362380156131
2016/07/11,4398796498825
2016/07/12,4431582441204
2016/07/13,4475440810053
2016/07/14,4480958214330
2016/07/15,4463572018779
2016/07/16,4433682810263
2016/07/17,4424960186663
2016/07/18,4480879849549
2016/07/19,4509662247636
2016/07/20,4503132449816
2016/07/21,4513685206721
2016/07/22,4487028505999
2016/07/23,4551940407579
2016/07/24,4517379149055
2016/07/25,4490289633510
2016/07/26,4332658658895
2016/07/27,4158373956864
2016/07/28,4117740948179
2016/07/29,4114431240292
2016/07/30,4142192250361
2016/07/31,4105310410894
2016/08/01,4070567003838
2016/08/02,3963322657237
2016/08/03,3794783326958
2016/08/04,3762278259622
2016/08/05,3860560325490
2016/08/06,3963951312437
2016/08/07,4004519907547
2016/08/08,4039753847314
2016/08/09,4182591109413
2016/08/10,4310864964465
2016/08/11,4445228333650
2016/08/12,4503526419868
2016/08/13,4515732954575
2016/08/14,4498967179882
2016/08/15,4493271565871
2016/08/16,4541093808730
2016/08/17,4583457870739
2016/08/18,4652009073625
2016/08/19,4666575936068
2016/08/20,4730640180301
2016/08/21,4778104397048
2016/08/22,4852988688374
2016/08/23,4909822007217
2016/08/24,4946296410717
2016/08/25,5008232449616
2016/08/26,5095769457361
