Date,difficulty3mom
2016/01/01,-58012395531
2016/01/02,-330061469889
2016/01/03,-230264465603
2016/01/04,-213262988875
2016/01/05,158395850599
2016/01/06,110287241342
2016/01/07,-124052137928
2016/01/08,-3461653642
2016/01/09,10108660478
2016/01/10,126633077454
2016/01/11,525784693978
2016/01/12,457142338500
2016/01/13,146929755420
2016/01/14,-92874105451
2016/01/15,106216583976
2016/01/16,718686445961
2016/01/17,332714896003
2016/01/18,457790045235
2016/01/19,336281256655
2016/01/20,345889900603
2016/01/21,144548114381
2016/01/22,358376814468
2016/01/23,644590589847
2016/01/24,534773727268
2016/01/25,433100369193
2016/01/26,552233974599
2016/01/27,686833098127
2016/01/28,118613850790
2016/01/29,272404218816
2016/01/30,55971722133
2016/01/31,247212006646
2016/02/01,34352115977
2016/02/02,-201926773573
2016/02/03,161245855549
2016/02/04,196285606660
2016/02/05,501975406395
2016/02/06,9622510248
2016/02/07,-63407653868
2016/02/08,363736383736
2016/02/09,378490803060
2016/02/10,608954630379
2016/02/11,453909819941
2016/02/12,307724714155
2016/02/13,438076455235
2016/02/14,503103535669
2016/02/15,1321739658550
2016/02/16,598828572966
2016/02/17,225043864895
2016/02/18,-692656124956
2016/02/19,-44808496996
2016/02/20,92244780307
2016/02/21,776821110487
2016/02/22,780078060999
2016/02/23,969421459935
2016/02/24,664539880723
2016/02/25,142300588544
2016/02/26,265816878327
2016/02/27,941464379516
2016/02/28,1163434473064
2016/02/29,887158679328
2016/03/01,-111482356321
2016/03/02,252669756066
2016/03/03,662178951806
2016/03/04,1687522781506
2016/03/05,1483187291885
2016/03/06,1743560644853
2016/03/07,1023294454713
2016/03/08,1018814021460
2016/03/09,524474399572
2016/03/10,842009004652
2016/03/11,1190111519070
2016/03/12,1788138492924
2016/03/13,2143292669410
2016/03/14,1383483693289
2016/03/15,-2082611729114
2016/03/16,-2371775204568
2016/03/17,-2026737271389
2016/03/18,728078294273
2016/03/19,873905938487
2016/03/20,1384647251780
2016/03/21,968122336731
2016/03/22,915979327303
2016/03/23,-657423768539
2016/03/24,532590909118
2016/03/25,1303909704284
2016/03/26,2648202912672
2016/03/27,2175899146556
2016/03/28,896421499279
2016/03/29,1099540208462
2016/03/30,845478174648
2016/03/31,2121356274260
2016/04/01,1235449438073
2016/04/02,697155006484
2016/04/03,406358139036
2016/04/04,1496672094136
2016/04/05,2186184911692
2016/04/06,1371415813285
2016/04/07,-605542561239
2016/04/08,434076821604
2016/04/09,1176309329157
2016/04/10,2443514511258
2016/04/11,872359705603
2016/04/12,-748023006574
2016/04/13,159358169205
2016/04/14,533015999010
2016/04/15,2211105756926
2016/04/16,1637750712803
2016/04/17,676167068866
2016/04/18,1217309501406
2016/04/19,1148561731173
2016/04/20,1934583211263
2016/04/21,1347908693790
2016/04/22,-289183835878
2016/04/23,713133769124
2016/04/24,-267727559963
2016/04/25,1783754637892
2016/04/26,624235948494
2016/04/27,479149007683
2016/04/28,499936811399
2016/04/29,1167553307694
2016/04/30,2625835763954
2016/05/01,2460415523841
2016/05/02,-380046606221
2016/05/03,452599267533
2016/05/04,-318132603575
2016/05/05,1591537719677
2016/05/06,-81064816511
2016/05/07,-80952486887
2016/05/08,590976931221
2016/05/09,802063188768
2016/05/10,1617674747078
2016/05/11,376323864325
2016/05/12,-274095379067
2016/05/13,1111638796145
2016/05/14,2006341144244
2016/05/15,2506387482756
2016/05/16,561973217239
2016/05/17,-382929468981
2016/05/18,786060824165
2016/05/19,2140778211261
2016/05/20,3584606510291
2016/05/21,2753565282763
2016/05/22,541579812959
2016/05/23,284509199801
2016/05/24,450137257425
2016/05/25,956860238105
2016/05/26,1618029958980
2016/05/27,637571673374
2016/05/28,1687854765003
2016/05/29,1668256799662
2016/05/30,1650212896718
2016/05/31,882445902220
2016/06/01,-1618134217462
2016/06/02,-489402856039
2016/06/03,1405907600335
2016/06/04,2999020365282
2016/06/05,1977926665568
2016/06/06,286007475428
2016/06/07,1208022407370
2016/06/08,969648730258
2016/06/09,2879760394397
2016/06/10,654706774668
2016/06/11,966565355650
2016/06/12,-790010412919
2016/06/13,2284037947610
2016/06/14,2823083404114
2016/06/15,2365986443836
2016/06/16,538730577350
2016/06/17,-1265680132587
2016/06/18,-4049056985216
2016/06/19,-245574972596
2016/06/20,2796166881468
2016/06/21,4313897851478
2016/06/22,1564625217989
2016/06/23,2285892124364
2016/06/24,2793246306631
2016/06/25,2441658055107
2016/06/26,435847601519
2016/06/27,2514427745123
2016/06/28,2387718207401
2016/06/29,1045790387770
2016/06/30,-307497255524
2016/07/01,-583153436009
2016/07/02,1673664662301
2016/07/03,2749843253693
2016/07/04,2183878800608
2016/07/05,1810181735303
2016/07/06,-694298329854
2016/07/07,267360786454
2016/07/08,-558839377132
2016/07/09,-656974280685
2016/07/10,762667793890
2016/07/11,1398034653893
2016/07/12,3339195267762
2016/07/13,1386933891054
2016/07/14,573722878680
2016/07/15,-1024102352877
2016/07/16,-1259721801266
2016/07/17,-223819198912
2016/07/18,1061067345534
2016/07/19,1801637959927
2016/07/20,-682117357196
2016/07/21,-10910460466
2016/07/22,-797446915092
2016/07/23,1867415286786
2016/07/24,1149321242461
2016/07/25,-1554287830829
2016/07/26,-3311776868079
2016/07/27,-9524984864229
2016/07/28,-2353856720697
2016/07/29,-2338927480164
2016/07/30,3292139054485
2016/07/31,-1204821565692
2016/08/01,-703340061688
2016/08/02,-3882203251795
2016/08/03,-5849626479907
2016/08/04,-3352572338122
2016/08/05,2508169982055
2016/08/06,4371567978369
2016/08/07,2487864474917
2016/08/08,1505122277239
2016/08/09,3750256533526
2016/08/10,5281890523491
2016/08/11,5309293216487
2016/08/12,3276636870590
2016/08/13,814803428698
2016/08/14,-220081812735
2016/08/15,-517516699995
2016/08/16,1892843388370
2016/08/17,1563480273211
2016/08/18,1596311655921
2016/08/19,891791152158
2016/08/20,1984300408574
2016/08/21,1992754235770
2016/08/22,1986762626867
2016/08/23,2310914584022
2016/08/24,2389802736291
2016/08/25,2892095092099
2016/08/26,4276569551419
2016/08/27,3527090081384
2016/08/28,1459866802343
2016/08/29,-1886790380472
2016/08/30,-800122543725
2016/08/31,260895852657
2016/09/01,2447974737242
2016/09/02,1910453834556
2016/09/03,-548625547256
2016/09/04,-4724446997935
2016/09/05,-2468790202372
2016/09/06,-352080277967
2016/09/07,2733498902903
2016/09/08,825649300934
2016/09/09,109941976903
2016/09/10,1124429906498
2016/09/11,2690634805866
2016/09/12,2957436549671
2016/09/13,1924793349698
2016/09/14,1368462293727
2016/09/15,1890765828199
2016/09/16,991224293470
2016/09/17,2874607446017
2016/09/18,-892060128458
2016/09/19,-9744785008558
2016/09/20,-663026950874
2016/09/21,5705012965616
2016/09/22,8422785488207
2016/09/23,-2087903532051
2016/09/24,-3718156820226
2016/09/25,4144597014840
2016/09/26,2773464665601
2016/09/27,-2689097932956
2016/09/28,5910640813454
2016/09/29,8267795313948
2016/09/30,11801577682348
2016/10/01,-5074231706582
2016/10/02,-7705810061556
2016/10/03,-1762654408903
2016/10/04,10209324274927
2016/10/05,4794994242969
2016/10/06,2260612901942
2016/10/07,-16605810051037
2016/10/08,-4589163592104
2016/10/09,1129255475654
2016/10/10,16518860310819
2016/10/11,13474973168606
2016/10/12,-794226281971
2016/10/13,-4229127324395
2016/10/14,2305121400473
2016/10/15,11298066226547
2016/10/16,12970319821964
2016/10/17,166255850685
2016/10/18,-2522920859709
2016/10/19,-2809942884153
2016/10/20,667102436876
2016/10/21,9224145323054
2016/10/22,11435620524679
2016/10/23,9516027564790
2016/10/24,-464478387823
2016/10/25,875234177468
2016/10/26,2443064006660
2016/10/27,2967585535983
2016/10/28,-2933570779314
2016/10/29,-19747295138545
2016/10/30,-28288927026195
2016/10/31,-20070943524744
2016/11/01,-11685484817623
2016/11/02,-11650829957775
2016/11/03,-20149596923206
2016/11/04,-16191326257003
2016/11/05,-11714002788628
2016/11/06,-9867872887624
2016/11/07,1439716241975
2016/11/08,14259380015978
2016/11/09,16853889854655
2016/11/10,3932518207423
2016/11/11,-6682485970011
2016/11/12,-8035705257680
2016/11/13,2119347158084
2016/11/14,7527509301859
2016/11/15,9144583399718
2016/11/16,3291897512397
2016/11/17,-1579056530379
2016/11/18,-3171570397078
2016/11/19,4006032231075
2016/11/20,11804853826078
2016/11/21,18011540600328
2016/11/22,9128720258891
2016/11/23,-2746025243719
2016/11/24,-16338376092601
2016/11/25,-15091167530608
2016/11/26,-6572064127783
2016/11/27,-2587061491329
2016/11/28,1662973024477
2016/11/29,-6874860000
2016/11/30,3760141176369
2016/12/01,2660500384067
2016/12/02,2255183348015
2016/12/03,4968636669192
2016/12/04,5362201803635
2016/12/05,2335364150974
2016/12/06,-3045594494729
2016/12/07,-2029195628814
2016/12/08,2768501061194
2016/12/09,8073097551387
2016/12/10,7342263306532
2016/12/11,6568499544072
2016/12/12,1597590216656
2016/12/13,1239017682166
2016/12/14,-1259835432878
2016/12/15,1655536899794
2016/12/16,1913711987585
2016/12/17,2856041177720
2016/12/18,5226336395195
2016/12/19,4763763294604
2016/12/20,5974319514454
2016/12/21,2351305039623
2016/12/22,-350240509188
2016/12/23,-8342530216674
2016/12/24,-13183149833304
2016/12/25,-9801828989796
2016/12/26,362534183372
2016/12/27,4019138121155
2016/12/28,732629330013
2016/12/29,-4030314954683
2016/12/30,-1950810123982
2016/12/31,1590661236274
2017/01/01,1397248229527
2017/01/02,1594235349353
2017/01/03,-528218781088
2017/01/04,7422913490751
2017/01/05,9505185356646
2017/01/06,11291862753380
2017/01/07,6127117482298
2017/01/08,4437726617984
2017/01/09,5545266832333
2017/01/10,5276416834750
2017/01/11,4562316659916
2017/01/12,2594191289098
2017/01/13,2633961219394
2017/01/14,3421466069221
2017/01/15,3665165990372
2017/01/16,2778143009346
2017/01/17,1299450970584
2017/01/18,-1588702617426
2017/01/19,3049714835948
2017/01/20,3040119227414
2017/01/21,6305370860520
2017/01/22,1627084953966
2017/01/23,4252296086020
2017/01/24,1526613924978
2017/01/25,1210529483588
2017/01/26,544647119239
2017/01/27,2822151203766
2017/01/28,1576057660545
2017/01/29,-976600290408
2017/01/30,-1741364588924
2017/01/31,1139404157150
2017/02/01,879299980766
2017/02/02,2924208288078
2017/02/03,-415584278557
