Date,difficulty90sma
2016/01/01,7505712126697
2016/01/02,7527286866347
2016/01/03,7549818132294
2016/01/04,7572681352581
2016/01/05,7598484956647
2016/01/06,7625650599399
2016/01/07,7648844781927
2016/01/08,7674076097313
2016/01/09,7699557237458
2016/01/10,7723909886114
2016/01/11,7751370920159
2016/01/12,7778120679697
2016/01/13,7803390750376
2016/01/14,7835839741991
2016/01/15,7869083728488
2016/01/16,7904955266139
2016/01/17,7939915478640
2016/01/18,7980126281223
2016/01/19,8020826076825
2016/01/20,8061708595094
2016/01/21,8103038456710
2016/01/22,8143135509028
2016/01/23,8181682764417
2016/01/24,8221596451718
2016/01/25,8263689403335
2016/01/26,8305522163375
2016/01/27,8347522395600
2016/01/28,8381079277802
2016/01/29,8415415472315
2016/01/30,8449809009708
2016/01/31,8483211137352
2016/02/01,8523041264455
2016/02/02,8555614188292
2016/02/03,8591999723281
2016/02/04,8631128057253
2016/02/05,8671419286427
2016/02/06,8706502867342
2016/02/07,8743128160094
2016/02/08,8785126603126
2016/02/09,8824816162513
2016/02/10,8868295441820
2016/02/11,8914114442663
2016/02/12,8954557310472
2016/02/13,8997200647645
2016/02/14,9043532001606
2016/02/15,9095995140989
2016/02/16,9142068368419
2016/02/17,9185572557756
2016/02/18,9232318345757
2016/02/19,9288439236131
2016/02/20,9347114957696
2016/02/21,9407036180972
2016/02/22,9471113266241
2016/02/23,9540743683130
2016/02/24,9608808774863
2016/02/25,9676632210754
2016/02/26,9746950336354
2016/02/27,9822988620240
2016/02/28,9900281967344
2016/02/29,9978760537092
2016/03/01,10052487784842
2016/03/02,10134727709135
2016/03/03,10221013442464
2016/03/04,10309649377269
2016/03/05,10405438055164
2016/03/06,10513149719584
2016/03/07,10619997319336
2016/03/08,10732683301574
2016/03/09,10844839073907
2016/03/10,10955349969209
2016/03/11,11073538058066
2016/03/12,11197789773053
2016/03/13,11326386270408
2016/03/14,11451908248462
2016/03/15,11552017845705
2016/03/16,11652503430848
2016/03/17,11755382963456
2016/03/18,11861847033543
2016/03/19,11974199825055
2016/03/20,12095428369960
2016/03/21,12212409414250
2016/03/22,12335029020783
2016/03/23,12448334371868
2016/03/24,12573390652142
2016/03/25,12711345662269
2016/03/26,12853850574788
2016/03/27,13003240637986
2016/03/28,13149491489767
2016/03/29,13305449343803
2016/03/30,13464113796271
2016/03/31,13634579855495
2016/04/01,13807932275174
2016/04/02,13976901388444
2016/04/03,14154252126866
2016/04/04,14342474282585
2016/04/05,14534508925525
2016/04/06,14728475974516
2016/04/07,14910008342373
2016/04/08,15106753742659
2016/04/09,15312383861114
2016/04/10,15515224338051
2016/04/11,15716583264638
2016/04/12,15912269463515
2016/04/13,16117912521282
2016/04/14,16324013663592
