Date,mining_profitability7trx
2016/01/01,-0.103
2016/01/02,0.224
2016/01/03,0.511
2016/01/04,0.706
2016/01/05,0.829
2016/01/06,0.864
2016/01/07,0.921
2016/01/08,0.936
2016/01/09,1.009
2016/01/10,1.136
2016/01/11,1.103
2016/01/12,1.173
2016/01/13,1.262
2016/01/14,1.285
2016/01/15,1.354
2016/01/16,1.367
2016/01/17,1.346
2016/01/18,1.475
2016/01/19,1.536
2016/01/20,1.672
2016/01/21,1.83
2016/01/22,1.867
2016/01/23,2.047
2016/01/24,2.644
2016/01/25,3.368
2016/01/26,4.151
2016/01/27,4.476
2016/01/28,4.627
2016/01/29,4.5
2016/01/30,4.219
2016/01/31,3.767
2016/02/01,3.1
2016/02/02,2.472
2016/02/03,2.037
2016/02/04,1.75
2016/02/05,1.521
2016/02/06,1.377
2016/02/07,1.355
2016/02/08,1.546
2016/02/09,2.066
2016/02/10,3.029
2016/02/11,4.167
2016/02/12,5.692
2016/02/13,6.237
2016/02/14,6.035
2016/02/15,5.665
2016/02/16,4.967
2016/02/17,3.883
2016/02/18,2.845
2016/02/19,2.07
2016/02/20,1.454
2016/02/21,0.957
2016/02/22,0.758
2016/02/23,0.831
2016/02/24,1.053
2016/02/25,1.434
2016/02/26,1.629
2016/02/27,1.693
2016/02/28,1.703
2016/02/29,1.629
2016/03/01,1.655
2016/03/02,1.947
2016/03/03,2.491
2016/03/04,2.906
2016/03/05,3.511
2016/03/06,3.863
2016/03/07,3.837
2016/03/08,3.422
2016/03/09,3.01
2016/03/10,2.791
2016/03/11,2.473
2016/03/12,2.313
2016/03/13,2.352
2016/03/14,2.3
2016/03/15,2.316
2016/03/16,2.367
2016/03/17,2.107
2016/03/18,1.52
2016/03/19,0.897
2016/03/20,0.253
2016/03/21,-0.198
2016/03/22,-0.44
2016/03/23,-0.456
2016/03/24,-0.509
2016/03/25,-0.708
2016/03/26,-0.96
2016/03/27,-1.234
2016/03/28,-1.387
2016/03/29,-1.45
2016/03/30,-1.437
2016/03/31,-1.437
2016/04/01,-1.434
2016/04/02,-1.415
2016/04/03,-1.415
2016/04/04,-1.48
2016/04/05,-1.63
2016/04/06,-1.787
2016/04/07,-1.876
2016/04/08,-2.035
2016/04/09,-2.24
2016/04/10,-2.542
2016/04/11,-2.831
2016/04/12,-3.089
2016/04/13,-3.324
2016/04/14,-3.416
2016/04/15,-3.432
2016/04/16,-3.398
2016/04/17,-3.141
2016/04/18,-2.858
2016/04/19,-2.589
2016/04/20,-2.401
2016/04/21,-2.292
2016/04/22,-2.23
2016/04/23,-2.215
2016/04/24,-2.159
2016/04/25,-2.161
2016/04/26,-2.236
2016/04/27,-2.245
2016/04/28,-2.26
2016/04/29,-2.266
2016/04/30,-2.146
2016/05/01,-1.909
2016/05/02,-1.377
2016/05/03,-0.856
2016/05/04,-0.418
2016/05/05,-0.066
2016/05/06,0.209
2016/05/07,0.34
2016/05/08,0.361
2016/05/09,0.334
2016/05/10,0.231
2016/05/11,0.205
2016/05/12,0.3
2016/05/13,0.387
2016/05/14,0.39
2016/05/15,0.338
2016/05/16,0.311
2016/05/17,0.522
2016/05/18,0.918
2016/05/19,1.369
2016/05/20,1.769
2016/05/21,1.917
2016/05/22,1.989
2016/05/23,1.964
2016/05/24,1.704
2016/05/25,1.295
2016/05/26,0.848
2016/05/27,0.316
2016/05/28,-0.2
2016/05/29,-0.571
2016/05/30,-0.77
2016/05/31,-0.762
2016/06/01,-0.522
2016/06/02,-0.252
2016/06/03,-0.107
2016/06/04,-0.037
2016/06/05,0.008
2016/06/06,0.033
2016/06/07,0.037
2016/06/08,0.09
2016/06/09,0.069
2016/06/10,0.025
2016/06/11,-0.047
2016/06/12,-0.044
2016/06/13,0.135
2016/06/14,0.5
2016/06/15,0.889
2016/06/16,1.325
2016/06/17,1.494
2016/06/18,1.122
2016/06/19,0.425
2016/06/20,-0.386
2016/06/21,-1.069
2016/06/22,-1.399
2016/06/23,-1.684
2016/06/24,-1.792
2016/06/25,-1.768
2016/06/26,-1.702
2016/06/27,-1.643
2016/06/28,-1.661
2016/06/29,-1.763
2016/06/30,-1.839
2016/07/01,-1.905
2016/07/02,-1.981
2016/07/03,-2.061
2016/07/04,-2.134
2016/07/05,-2.304
2016/07/06,-2.428
2016/07/07,-2.559
2016/07/08,-2.604
2016/07/09,-2.479
2016/07/10,-2.316
2016/07/11,-2.183
2016/07/12,-2.067
2016/07/13,-1.962
2016/07/14,-1.769
2016/07/15,-1.403
2016/07/16,-1.004
2016/07/17,-0.727
2016/07/18,-0.534
2016/07/19,-0.422
2016/07/20,-0.203
2016/07/21,0.05
2016/07/22,0.43
2016/07/23,0.885
2016/07/24,1.137
2016/07/25,1.323
2016/07/26,1.379
2016/07/27,1.52
2016/07/28,1.512
2016/07/29,1.428
2016/07/30,1.316
2016/07/31,1.127
2016/08/01,0.846
2016/08/02,0.474
2016/08/03,0.092
2016/08/04,-0.149
2016/08/05,-0.324
2016/08/06,-0.463
2016/08/07,-0.546
2016/08/08,-0.612
2016/08/09,-0.612
2016/08/10,-0.563
2016/08/11,-0.565
2016/08/12,-0.585
2016/08/13,-0.607
2016/08/14,-0.651
2016/08/15,-0.714
2016/08/16,-0.816
2016/08/17,-0.929
2016/08/18,-1.025
2016/08/19,-1.128
2016/08/20,-1.185
2016/08/21,-1.192
2016/08/22,-1.171
2016/08/23,-1.17
2016/08/24,-1.158
2016/08/25,-1.146
2016/08/26,-1.16
2016/08/27,-1.159
2016/08/28,-1.152
2016/08/29,-1.124
2016/08/30,-1.055
2016/08/31,-0.953
2016/09/01,-0.764
2016/09/02,-0.558
2016/09/03,-0.349
2016/09/04,-0.133
2016/09/05,0.012
2016/09/06,0.078
2016/09/07,0.092
2016/09/08,0.061
2016/09/09,0.033
2016/09/10,-0.005
2016/09/11,-0.048
2016/09/12,-0.099
2016/09/13,-0.124
2016/09/14,-0.161
2016/09/15,-0.199
2016/09/16,-0.189
2016/09/17,-0.168
2016/09/18,-0.058
2016/09/19,0.308
2016/09/20,0.535
2016/09/21,0.603
2016/09/22,0.627
2016/09/23,0.612
2016/09/24,0.49
2016/09/25,0.323
2016/09/26,0.136
2016/09/27,0.046
2016/09/28,-0.111
2016/09/29,-0.32
2016/09/30,-0.504
2016/10/01,-0.568
2016/10/02,-0.545
2016/10/03,-0.548
2016/10/04,-0.626
2016/10/05,-0.68
2016/10/06,-0.764
2016/10/07,-0.65
2016/10/08,-0.593
2016/10/09,-0.701
2016/10/10,-0.916
2016/10/11,-1.163
2016/10/12,-1.315
2016/10/13,-1.351
2016/10/14,-1.442
2016/10/15,-1.573
2016/10/16,-1.68
2016/10/17,-1.699
2016/10/18,-1.601
2016/10/19,-1.471
2016/10/20,-1.337
2016/10/21,-1.324
2016/10/22,-1.37
2016/10/23,-1.402
2016/10/24,-1.406
2016/10/25,-1.46
2016/10/26,-1.513
2016/10/27,-1.546
2016/10/28,-1.525
2016/10/29,-1.278
2016/10/30,-0.774
