Date,size7trx
2016/01/01,-0.149
2016/01/02,-0.816
2016/01/03,-1.357
2016/01/04,-1.718
2016/01/05,-1.399
2016/01/06,-0.597
2016/01/07,0.301
2016/01/08,0.475
2016/01/09,0.475
2016/01/10,0.183
2016/01/11,-0.17
2016/01/12,-0.446
2016/01/13,-0.215
2016/01/14,-0.269
2016/01/15,-0.504
2016/01/16,-0.825
2016/01/17,-1.231
2016/01/18,-1.375
2016/01/19,-1.296
2016/01/20,-1.315
2016/01/21,-1.376
2016/01/22,-1.312
2016/01/23,-1.356
2016/01/24,-1.297
2016/01/25,-0.682
2016/01/26,-0.06
2016/01/27,0.964
2016/01/28,1.753
2016/01/29,2.102
2016/01/30,1.991
2016/01/31,1.624
2016/02/01,1.117
2016/02/02,0.616
2016/02/03,0.164
2016/02/04,-0.165
2016/02/05,-0.35
2016/02/06,0.311
2016/02/07,0.347
2016/02/08,0.121
2016/02/09,-0.183
2016/02/10,-0.372
2016/02/11,-0.247
2016/02/12,-0.15
2016/02/13,-0.007
2016/02/14,0.022
2016/02/15,-0.02
2016/02/16,-0.083
2016/02/17,0.04
2016/02/18,0.013
2016/02/19,-0.01
2016/02/20,-0.176
2016/02/21,-0.368
2016/02/22,-0.483
2016/02/23,-0.505
2016/02/24,-0.488
2016/02/25,-0.441
2016/02/26,-0.142
2016/02/27,-0.036
2016/02/28,-0.044
2016/02/29,0.018
2016/03/01,0.074
2016/03/02,0.175
2016/03/03,0.345
2016/03/04,0.511
2016/03/05,0.73
2016/03/06,0.991
2016/03/07,1.009
2016/03/08,0.941
2016/03/09,0.882
2016/03/10,0.747
2016/03/11,0.576
2016/03/12,0.633
2016/03/13,0.773
2016/03/14,1.049
2016/03/15,1.086
2016/03/16,0.998
2016/03/17,0.987
2016/03/18,0.97
2016/03/19,1.047
2016/03/20,1.073
2016/03/21,1.117
2016/03/22,1.161
2016/03/23,1.195
2016/03/24,1.577
2016/03/25,1.732
2016/03/26,1.646
2016/03/27,1.15
2016/03/28,0.884
2016/03/29,0.549
2016/03/30,0.426
2016/03/31,0.226
2016/04/01,0.113
2016/04/02,-0.217
2016/04/03,-0.575
2016/04/04,-0.612
2016/04/05,-0.469
2016/04/06,-0.468
2016/04/07,-0.447
2016/04/08,-0.267
2016/04/09,-0.285
2016/04/10,-0.419
2016/04/11,-0.598
2016/04/12,-0.553
2016/04/13,-0.381
2016/04/14,-0.254
2016/04/15,-0.155
2016/04/16,-0.3
2016/04/17,0.261
2016/04/18,0.397
2016/04/19,0.288
2016/04/20,0.136
2016/04/21,0.149
2016/04/22,-0.01
2016/04/23,-0.238
2016/04/24,-0.277
2016/04/25,-0.264
2016/04/26,-0.287
2016/04/27,-0.352
2016/04/28,-0.314
2016/04/29,-0.216
2016/04/30,0.081
2016/05/01,0.518
2016/05/02,0.709
2016/05/03,0.717
2016/05/04,0.693
2016/05/05,0.635
2016/05/06,0.714
2016/05/07,0.554
2016/05/08,0.479
2016/05/09,0.368
2016/05/10,0.278
2016/05/11,0.287
2016/05/12,0.46
2016/05/13,0.66
2016/05/14,0.836
2016/05/15,0.81
2016/05/16,0.643
2016/05/17,0.458
2016/05/18,0.466
2016/05/19,0.43
2016/05/20,0.477
2016/05/21,0.538
2016/05/22,0.408
2016/05/23,0.287
2016/05/24,0.144
2016/05/25,0.153
2016/05/26,0.285
2016/05/27,0.435
2016/05/28,1.258
2016/05/29,1.454
2016/05/30,1.21
2016/05/31,0.858
2016/06/01,0.477
2016/06/02,0.035
2016/06/03,-0.387
2016/06/04,-0.752
2016/06/05,-1.041
2016/06/06,-1.213
2016/06/07,-1.036
2016/06/08,-0.965
2016/06/09,-0.897
2016/06/10,-0.867
2016/06/11,-0.902
2016/06/12,-0.864
2016/06/13,-0.649
2016/06/14,-0.262
2016/06/15,-0.053
2016/06/16,0.132
2016/06/17,0.823
2016/06/18,1.498
2016/06/19,1.597
2016/06/20,1.503
2016/06/21,1.244
2016/06/22,0.927
2016/06/23,0.529
2016/06/24,0.27
2016/06/25,-0.106
2016/06/26,-0.436
2016/06/27,-0.732
2016/06/28,-0.89
2016/06/29,-0.655
2016/06/30,0.287
2016/07/01,0.415
2016/07/02,0.175
2016/07/03,-0.163
2016/07/04,-0.477
2016/07/05,-0.673
2016/07/06,-0.841
2016/07/07,-0.955
2016/07/08,-0.849
2016/07/09,-0.816
2016/07/10,-0.816
2016/07/11,-0.806
2016/07/12,-0.63
2016/07/13,-0.617
2016/07/14,-0.48
2016/07/15,-0.386
2016/07/16,-0.432
2016/07/17,-0.615
2016/07/18,-0.679
2016/07/19,-0.56
2016/07/20,-0.14
2016/07/21,0.135
2016/07/22,0.43
2016/07/23,0.523
2016/07/24,0.829
2016/07/25,1.093
2016/07/26,1.495
2016/07/27,1.606
2016/07/28,1.456
2016/07/29,1.191
2016/07/30,0.769
2016/07/31,0.461
2016/08/01,0.219
2016/08/02,0.16
2016/08/03,0.164
2016/08/04,0.143
2016/08/05,0.027
2016/08/06,-0.172
2016/08/07,-0.365
2016/08/08,-0.491
2016/08/09,-0.476
2016/08/10,-0.381
2016/08/11,-0.247
2016/08/12,-0.174
2016/08/13,-0.262
2016/08/14,-0.426
2016/08/15,-0.531
2016/08/16,-0.433
2016/08/17,-0.344
2016/08/18,-0.137
2016/08/19,-0.082
2016/08/20,-0.139
2016/08/21,-0.204
2016/08/22,-0.214
2016/08/23,0.312
2016/08/24,0.534
2016/08/25,0.657
2016/08/26,0.655
2016/08/27,0.567
2016/08/28,0.315
2016/08/29,0.15
2016/08/30,0.087
2016/08/31,-0.001
2016/09/01,-0.041
2016/09/02,0.208
2016/09/03,0.206
2016/09/04,0.296
2016/09/05,0.204
2016/09/06,0.253
2016/09/07,0.319
2016/09/08,0.578
2016/09/09,0.82
2016/09/10,0.67
2016/09/11,0.328
2016/09/12,0.074
2016/09/13,-0.189
2016/09/14,-0.166
2016/09/15,-0.035
2016/09/16,0.384
2016/09/17,0.44
2016/09/18,0.182
2016/09/19,-0.254
2016/09/20,-0.368
2016/09/21,-0.408
2016/09/22,-0.14
2016/09/23,-0.347
2016/09/24,-0.486
2016/09/25,-0.701
2016/09/26,-0.755
