Date,sentbyaddress14std
2016/01/01,142.313
2016/01/02,149.392
2016/01/03,152.792
2016/01/04,158.368
2016/01/05,163.22
2016/01/06,171.095
2016/01/07,184.269
2016/01/08,166.56
2016/01/09,162.068
2016/01/10,173.722
2016/01/11,210.149
2016/01/12,264.85
2016/01/13,237.095
2016/01/14,237.224
2016/01/15,249.258
2016/01/16,262.404
2016/01/17,301.11
2016/01/18,298.382
2016/01/19,309.11
2016/01/20,347.21
2016/01/21,362.59
2016/01/22,366.647
2016/01/23,373.102
2016/01/24,416.574
2016/01/25,478.07
2016/01/26,550.809
2016/01/27,566.638
2016/01/28,577.343
2016/01/29,580.747
2016/01/30,555.185
2016/01/31,498.975
2016/02/01,476.595
2016/02/02,413.509
2016/02/03,413.357
2016/02/04,325.524
2016/02/05,216.096
2016/02/06,200.562
2016/02/07,202.702
2016/02/08,226.118
2016/02/09,274.101
2016/02/10,662.223
2016/02/11,906.327
2016/02/12,1037
2016/02/13,1075
2016/02/14,1063
2016/02/15,1045
2016/02/16,1009
2016/02/17,961.925
2016/02/18,894.564
2016/02/19,822.935
2016/02/20,713.729
2016/02/21,708.218
2016/02/22,644.326
2016/02/23,598.08
2016/02/24,572.178
2016/02/25,549.373
2016/02/26,508.16
2016/02/27,507.86
2016/02/28,553
2016/02/29,768.906
2016/03/01,995.256
2016/03/02,1177
2016/03/03,1374
2016/03/04,1482
2016/03/05,1737
2016/03/06,1896
2016/03/07,1843
2016/03/08,1859
2016/03/09,1734
2016/03/10,1706
2016/03/11,1506
2016/03/12,1222
2016/03/13,935.548
2016/03/14,781.32
2016/03/15,687.953
2016/03/16,675.389
2016/03/17,662.811
2016/03/18,665.215
2016/03/19,644.43
2016/03/20,651.942
2016/03/21,599.68
2016/03/22,614.488
2016/03/23,640.24
2016/03/24,606.24
2016/03/25,639.87
2016/03/26,699.608
2016/03/27,675.515
2016/03/28,647.53
2016/03/29,955.091
2016/03/30,1180
2016/03/31,1177
2016/04/01,1146
2016/04/02,1154
2016/04/03,1175
2016/04/04,1166
2016/04/05,1162
2016/04/06,1158
2016/04/07,1140
2016/04/08,1103
2016/04/09,1017
2016/04/10,1033
2016/04/11,1033
2016/04/12,857.847
2016/04/13,616.06
2016/04/14,622.084
2016/04/15,622.571
2016/04/16,589.245
2016/04/17,505.854
2016/04/18,508.459
2016/04/19,508.488
2016/04/20,510.362
2016/04/21,504.752
2016/04/22,478.096
2016/04/23,479.497
2016/04/24,425.101
2016/04/25,444.81
2016/04/26,490.998
2016/04/27,479.04
2016/04/28,482.246
2016/04/29,1361
2016/04/30,1947
2016/05/01,2078
