Date,difficulty90wma
2016/01/01,7974254685521
2016/01/02,7988359171325
2016/01/03,8005614516046
2016/01/04,8022852802803
2016/01/05,8038966664974
2016/01/06,8057081111915
2016/01/07,8069926330430
2016/01/08,8084290190777
2016/01/09,8100965462330
2016/01/10,8114969503688
2016/01/11,8139239289086
2016/01/12,8164262857686
2016/01/13,8179769455378
2016/01/14,8200251219463
2016/01/15,8225752760858
2016/01/16,8255055477169
2016/01/17,8280617469392
2016/01/18,8313892951634
2016/01/19,8348145969130
2016/01/20,8378763325966
2016/01/21,8412538918053
2016/01/22,8451966982560
2016/01/23,8494063046157
2016/01/24,8536955112045
2016/01/25,8583296195765
2016/01/26,8634879733655
2016/01/27,8690145287436
2016/01/28,8736325665813
2016/01/29,8791316112370
2016/01/30,8845396576332
2016/01/31,8894762128171
2016/02/01,8948262910034
2016/02/02,8995540020903
2016/02/03,9046124049159
2016/02/04,9101547842467
2016/02/05,9157481845942
2016/02/06,9205732190948
2016/02/07,9257245856829
2016/02/08,9318712525818
2016/02/09,9372782288107
2016/02/10,9435079280036
2016/02/11,9503771059756
2016/02/12,9561769105003
2016/02/13,9630842697092
2016/02/14,9707758615929
2016/02/15,9791961542487
2016/02/16,9871087678365
2016/02/17,9949765710260
2016/02/18,10015623654815
2016/02/19,10090768874172
2016/02/20,10168257321728
2016/02/21,10247637875306
2016/02/22,10336087715010
2016/02/23,10430867314870
2016/02/24,10520597564169
2016/02/25,10607740326831
2016/02/26,10703845156006
2016/02/27,10809734915773
2016/02/28,10917740417506
2016/02/29,11028427860367
2016/03/01,11126772728770
2016/03/02,11235287474271
2016/03/03,11355375647023
2016/03/04,11485484688527
2016/03/05,11620945053797
2016/03/06,11773403562787
2016/03/07,11919582014788
2016/03/08,12070613063121
2016/03/09,12227406278774
2016/03/10,12384800547265
2016/03/11,12554617504812
2016/03/12,12743219154232
2016/03/13,12939961597895
2016/03/14,13132030146476
2016/03/15,13266544281182
2016/03/16,13403374564905
2016/03/17,13543732027073
2016/03/18,13687578108576
2016/03/19,13836805683522
2016/03/20,14000524702999
2016/03/21,14158174673079
2016/03/22,14319828994104
2016/03/23,14461168827553
2016/03/24,14622767916473
2016/03/25,14805145940056
2016/03/26,14996417339905
2016/03/27,15196925944069
2016/03/28,15389558286629
2016/03/29,15595365826719
2016/03/30,15804531121117
2016/03/31,16033657598094
