Date,transactionvalue14wmaUSD
2016/01/01,19.78
2016/01/02,21.125
2016/01/03,24.017
2016/01/04,23.589
2016/01/05,29.27
2016/01/06,28.254
2016/01/07,27.26
2016/01/08,26.463
2016/01/09,25.714
2016/01/10,24.336
2016/01/11,27.386
2016/01/12,38.048
2016/01/13,37.204
2016/01/14,37.323
2016/01/15,48.543
2016/01/16,52.039
2016/01/17,52.566
2016/01/18,79.998
2016/01/19,88.88
2016/01/20,91.269
2016/01/21,91.343
2016/01/22,94.953
2016/01/23,108.429
2016/01/24,139.14
2016/01/25,162.372
2016/01/26,175.161
2016/01/27,177.454
2016/01/28,175.993
2016/01/29,172.926
2016/01/30,174.822
2016/01/31,177.636
2016/02/01,167.055
2016/02/02,158.36
2016/02/03,151.094
2016/02/04,137.304
2016/02/05,128.597
2016/02/06,109.705
2016/02/07,112.426
2016/02/08,135.48
2016/02/09,163.886
2016/02/10,209.794
2016/02/11,241.928
2016/02/12,307.723
2016/02/13,321.264
2016/02/14,324.881
2016/02/15,322.69
2016/02/16,336.092
2016/02/17,319.543
2016/02/18,317.639
2016/02/19,294.111
2016/02/20,296.473
2016/02/21,270.233
2016/02/22,258.294
2016/02/23,280.368
2016/02/24,320.796
2016/02/25,316.49
2016/02/26,425.733
2016/02/27,473.594
2016/02/28,458.018
2016/02/29,437.298
2016/03/01,440.607
2016/03/02,552.195
2016/03/03,595.251
2016/03/04,606.066
2016/03/05,692.609
2016/03/06,700.475
2016/03/07,704.5
2016/03/08,730.904
2016/03/09,704.235
2016/03/10,667.943
2016/03/11,637.245
2016/03/12,647.168
2016/03/13,697.548
2016/03/14,708.857
2016/03/15,687.285
2016/03/16,660.474
2016/03/17,649.372
2016/03/18,660.257
2016/03/19,600.766
2016/03/20,541.453
2016/03/21,503.415
2016/03/22,460.876
2016/03/23,420.421
2016/03/24,393.282
2016/03/25,349.613
2016/03/26,300.167
2016/03/27,299.127
2016/03/28,283.174
2016/03/29,295.571
2016/03/30,308.831
2016/03/31,308.196
2016/04/01,284.332
2016/04/02,268.19
2016/04/03,244.683
2016/04/04,229.645
2016/04/05,222.34
2016/04/06,216.323
2016/04/07,216.002
2016/04/08,206.104
2016/04/09,227.393
2016/04/10,235.523
2016/04/11,225.777
2016/04/12,226.643
2016/04/13,229.123
2016/04/14,230.96
2016/04/15,222.226
2016/04/16,210.333
2016/04/17,208.312
2016/04/18,203.022
2016/04/19,189.508
2016/04/20,185.064
2016/04/21,171.715
2016/04/22,170.598
2016/04/23,177.796
2016/04/24,164.351
2016/04/25,161.942
2016/04/26,173.624
2016/04/27,173.751
2016/04/28,173.571
2016/04/29,167.725
2016/04/30,211.018
2016/05/01,237.429
2016/05/02,268.819
2016/05/03,286.858
2016/05/04,292.009
2016/05/05,295.191
2016/05/06,324.487
2016/05/07,339.696
2016/05/08,344.859
2016/05/09,369.908
2016/05/10,388.768
2016/05/11,438.988
2016/05/12,485.391
2016/05/13,668.315
2016/05/14,771.045
2016/05/15,737.092
2016/05/16,712.335
2016/05/17,683.308
2016/05/18,671.151
2016/05/19,699.331
2016/05/20,706.938
2016/05/21,658.079
2016/05/22,600.86
2016/05/23,565.672
2016/05/24,549.028
2016/05/25,521.711
2016/05/26,477.371
2016/05/27,475.961
2016/05/28,453.175
2016/05/29,427.059
2016/05/30,405.694
2016/05/31,387.07
2016/06/01,363.061
2016/06/02,330.132
2016/06/03,308.866
2016/06/04,286.116
2016/06/05,264.395
2016/06/06,244.19
2016/06/07,244.033
2016/06/08,308.149
2016/06/09,288.845
2016/06/10,290.474
2016/06/11,279.373
2016/06/12,294.066
2016/06/13,313.681
2016/06/14,343.534
2016/06/15,355.236
2016/06/16,402.493
2016/06/17,502.425
2016/06/18,587.875
2016/06/19,582.751
2016/06/20,604.043
2016/06/21,594.301
2016/06/22,603.214
2016/06/23,606.949
2016/06/24,579.284
2016/06/25,570.314
2016/06/26,521.619
2016/06/27,477.188
2016/06/28,467.364
2016/06/29,435.906
2016/06/30,386.573
2016/07/01,354.13
2016/07/02,313.8
2016/07/03,283.711
2016/07/04,280.903
2016/07/05,363.825
2016/07/06,353.583
2016/07/07,339.423
2016/07/08,318.104
2016/07/09,297.254
2016/07/10,282.541
2016/07/11,273.052
2016/07/12,263.963
2016/07/13,264.19
2016/07/14,260.083
2016/07/15,373.922
2016/07/16,361.026
2016/07/17,348.847
2016/07/18,412.047
2016/07/19,691.926
2016/07/20,1073
2016/07/21,1042
2016/07/22,1057
2016/07/23,1066
2016/07/24,1348
2016/07/25,1528
2016/07/26,1945
2016/07/27,2145
2016/07/28,2190
2016/07/29,2143
2016/07/30,2052
2016/07/31,1922
2016/08/01,1849
2016/08/02,1869
2016/08/03,1837
2016/08/04,1707
2016/08/05,1603
2016/08/06,1418
2016/08/07,1245
2016/08/08,1096
2016/08/09,997.075
2016/08/10,996.126
2016/08/11,969.918
2016/08/12,907.444
2016/08/13,846.987
2016/08/14,776.949
2016/08/15,700.998
2016/08/16,612.401
2016/08/17,571.155
2016/08/18,520.322
2016/08/19,473.213
2016/08/20,455.013
2016/08/21,505.256
2016/08/22,503.753
2016/08/23,563.195
2016/08/24,515.278
2016/08/25,473.331
2016/08/26,473.299
2016/08/27,442.296
2016/08/28,413.143
2016/08/29,395.893
2016/08/30,368.275
2016/08/31,349.719
2016/09/01,364.353
2016/09/02,359.972
2016/09/03,347.777
2016/09/04,340.026
2016/09/05,319.423
2016/09/06,302.748
2016/09/07,291.233
2016/09/08,293.378
2016/09/09,273.005
2016/09/10,260.133
2016/09/11,254.274
2016/09/12,249.717
2016/09/13,249.174
2016/09/14,234.3
2016/09/15,216.934
2016/09/16,248.511
2016/09/17,243.612
2016/09/18,281.552
2016/09/19,286.585
2016/09/20,376.219
2016/09/21,501.815
2016/09/22,513.123
2016/09/23,563.274
2016/09/24,557.968
2016/09/25,608.276
2016/09/26,598.955
2016/09/27,572.56
2016/09/28,606.651
2016/09/29,623.431
2016/09/30,588.259
2016/10/01,536.911
