Date,transactionvalue14emaUSD
2016/01/01,23.997
2016/01/02,24.441
2016/01/03,26.42
2016/01/04,25.006
2016/01/05,29.873
2016/01/06,27.883
2016/01/07,26.269
2016/01/08,25.142
2016/01/09,24.321
2016/01/10,23.051
2016/01/11,26.49
2016/01/12,37.255
2016/01/13,35.896
2016/01/14,35.854
2016/01/15,46.914
2016/01/16,49.524
2016/01/17,49.19
2016/01/18,75.88
2016/01/19,82.684
2016/01/20,82.711
2016/01/21,81.067
2016/01/22,83.699
2016/01/23,96.636
2016/01/24,126.623
2016/01/25,148.054
2016/01/26,158.456
2016/01/27,158.108
2016/01/28,155.277
2016/01/29,152.184
2016/01/30,154.592
2016/01/31,158.585
2016/02/01,149.961
2016/02/02,142.891
2016/02/03,137.909
2016/02/04,127.281
2016/02/05,123.039
2016/02/06,109.125
2016/02/07,117.136
2016/02/08,142.963
2016/02/09,170.92
2016/02/10,213.857
2016/02/11,240.507
2016/02/12,299.9
2016/02/13,304.396
2016/02/14,299.924
2016/02/15,291.062
2016/02/16,300.304
2016/02/17,280.871
2016/02/18,279.142
2016/02/19,258.017
2016/02/20,265.838
2016/02/21,246.853
2016/02/22,244.264
2016/02/23,275.24
2016/02/24,321.619
2016/02/25,318.319
2016/02/26,427.897
2016/02/27,465.807
2016/02/28,438.831
2016/02/29,410.238
2016/03/01,409.4
2016/03/02,517.368
2016/03/03,552.546
2016/03/04,555.682
2016/03/05,638.465
2016/03/06,639.723
2016/03/07,641.966
2016/03/08,670.376
2016/03/09,645.53
2016/03/10,613.048
2016/03/11,591.493
2016/03/12,606.872
2016/03/13,660.608
2016/03/14,675.214
2016/03/15,660.192
2016/03/16,643.443
2016/03/17,638.116
2016/03/18,653.796
2016/03/19,598.718
2016/03/20,542.25
2016/03/21,510.083
2016/03/22,474.319
2016/03/23,439.567
2016/03/24,420.19
2016/03/25,385.842
2016/03/26,347.545
2016/03/27,356.968
2016/03/28,344.587
2016/03/29,357.387
2016/03/30,368.182
2016/03/31,362.726
2016/04/01,332.138
2016/04/02,307.422
2016/04/03,277.743
2016/04/04,259.629
2016/04/05,250.147
2016/04/06,242.71
2016/04/07,241.777
2016/04/08,230.833
2016/04/09,252.509
2016/04/10,260.943
2016/04/11,249.4
2016/04/12,249.154
2016/04/13,248.716
2016/04/14,245.861
2016/04/15,231.863
2016/04/16,216.645
2016/04/17,213.051
2016/04/18,207.666
2016/04/19,195.068
2016/04/20,192.502
2016/04/21,181.198
2016/04/22,182.413
2016/04/23,192.072
2016/04/24,178.481
2016/04/25,175.59
2016/04/26,187.008
2016/04/27,185.479
2016/04/28,183.176
2016/04/29,174.952
2016/04/30,216.779
2016/05/01,239.68
2016/05/02,266.399
2016/05/03,278.753
2016/05/04,278.912
2016/05/05,278.073
2016/05/06,305.03
2016/05/07,317.067
2016/05/08,318.791
2016/05/09,342.456
2016/05/10,360.009
2016/05/11,408.61
2016/05/12,452.141
2016/05/13,631.788
2016/05/14,723.27
2016/05/15,673.768
2016/05/16,639.715
2016/05/17,605.725
2016/05/18,593.383
2016/05/19,625.243
2016/05/20,637.615
2016/05/21,594.134
2016/05/22,547.294
2016/05/23,527.899
2016/05/24,528.735
2016/05/25,519.358
2016/05/26,491.675
2016/05/27,506.581
2016/05/28,486.731
2016/05/29,457.055
2016/05/30,435.249
2016/05/31,417.902
2016/06/01,396.726
2016/06/02,367.033
2016/06/03,346.692
2016/06/04,322.784
2016/06/05,301.72
2016/06/06,284.237
2016/06/07,286.931
2016/06/08,351.351
2016/06/09,326.73
2016/06/10,324.943
2016/06/11,307.901
2016/06/12,317.397
2016/06/13,331.643
2016/06/14,355.473
2016/06/15,359.929
2016/06/16,400.581
2016/06/17,493.163
2016/06/18,567.305
2016/06/19,549.385
2016/06/20,562.823
2016/06/21,548.004
2016/06/22,555.216
2016/06/23,554.691
2016/06/24,526.498
2016/06/25,521.044
2016/06/26,479.338
2016/06/27,445.831
2016/06/28,449.53
2016/06/29,430.751
2016/06/30,395.837
2016/07/01,377.744
2016/07/02,346.227
2016/07/03,320.507
2016/07/04,322.834
2016/07/05,407.609
2016/07/06,392.744
2016/07/07,373.028
2016/07/08,345.864
2016/07/09,321.135
2016/07/10,302.743
2016/07/11,291.788
2016/07/12,282.624
2016/07/13,281.611
2016/07/14,276.078
2016/07/15,389.908
2016/07/16,370.108
2016/07/17,354.617
2016/07/18,417.53
2016/07/19,693.385
2016/07/20,1048
2016/07/21,973.006
2016/07/22,955.911
2016/07/23,940.789
2016/07/24,1208
2016/07/25,1364
2016/07/26,1757
2016/07/27,1919
2016/07/28,1930
2016/07/29,1864
2016/07/30,1766
2016/07/31,1651
2016/08/01,1614
2016/08/02,1680
2016/08/03,1683
2016/08/04,1571
2016/08/05,1503
2016/08/06,1365
2016/08/07,1254
2016/08/08,1159
2016/08/09,1109
2016/08/10,1130
2016/08/11,1107
2016/08/12,1041
2016/08/13,977.802
2016/08/14,908.042
2016/08/15,837.396
2016/08/16,754.073
2016/08/17,711.121
2016/08/18,652.259
2016/08/19,599.507
2016/08/20,575.032
2016/08/21,621.774
2016/08/22,614.279
2016/08/23,668.951
2016/08/24,611.249
2016/08/25,557.381
2016/08/26,545.468
2016/08/27,502.815
2016/08/28,464.448
2016/08/29,440.818
2016/08/30,409.104
2016/08/31,390.59
2016/09/01,406.196
2016/09/02,402.971
2016/09/03,393.557
2016/09/04,389.046
2016/09/05,366.896
2016/09/06,348.363
2016/09/07,329.877
2016/09/08,327.264
2016/09/09,303.462
2016/09/10,287.293
2016/09/11,279.88
2016/09/12,274.917
2016/09/13,274.205
2016/09/14,259.891
2016/09/15,244.009
2016/09/16,275.693
2016/09/17,267.626
2016/09/18,302.357
2016/09/19,301.155
2016/09/20,385.384
2016/09/21,501.059
2016/09/22,496.958
2016/09/23,533.771
2016/09/24,516.164
2016/09/25,558.609
2016/09/26,541.508
2016/09/27,511.4
2016/09/28,546.231
2016/09/29,564.877
2016/09/30,534.278
2016/10/01,490.189
2016/10/02,486.68
2016/10/03,444.404
2016/10/04,407.236
2016/10/05,396.845
2016/10/06,387.366
2016/10/07,371.948
2016/10/08,367.98
2016/10/09,414.659
2016/10/10,450.007
2016/10/11,479.139
2016/10/12,553.306
2016/10/13,529.844
2016/10/14,558.962
2016/10/15,538.904
2016/10/16,539.792
2016/10/17,544.133
2016/10/18,563.165
2016/10/19,533.092
2016/10/20,488.95
2016/10/21,441.009
2016/10/22,403.559
2016/10/23,369.312
2016/10/24,339.819
2016/10/25,330.168
2016/10/26,317.79
2016/10/27,307.172
2016/10/28,321.852
2016/10/29,345.228
2016/10/30,386.515
2016/10/31,375.96
2016/11/01,409.728
2016/11/02,498.726
2016/11/03,773.809
2016/11/04,724.376
2016/11/05,661.582
2016/11/06,595.288
2016/11/07,538.093
2016/11/08,489.814
2016/11/09,495.5
2016/11/10,465.231
2016/11/11,530.179
2016/11/12,500.463
2016/11/13,472.658
2016/11/14,425.892
2016/11/15,399.694
2016/11/16,381.507
2016/11/17,435.466
2016/11/18,409.269
2016/11/19,382.769
2016/11/20,351.096
2016/11/21,324.017
2016/11/22,344.423
2016/11/23,348.099
2016/11/24,330.485
2016/11/25,319.138
2016/11/26,298.036
2016/11/27,277.683
2016/11/28,259.957
2016/11/29,255.963
2016/11/30,255.758
2016/12/01,253.216
2016/12/02,303.838
2016/12/03,385.744
2016/12/04,377.899
2016/12/05,411.855
2016/12/06,475.149
2016/12/07,472.197
2016/12/08,480.744
2016/12/09,484.513
2016/12/10,458.349
