Date,fee_to_reward30rocUSD
2016/10/04,69.72
2016/10/05,106.868
2016/10/06,40.684
2016/10/07,27.94
2016/10/08,16.793
2016/10/09,35.315
2016/10/10,87.492
2016/10/11,34.933
2016/10/12,19.328
2016/10/13,218.819
2016/10/14,100.435
2016/10/15,88.942
2016/10/16,37.143
2016/10/17,97.965
2016/10/18,184.552
2016/10/19,238.896
2016/10/20,54.801
2016/10/21,37.889
2016/10/22,-53.401
2016/10/23,-39.959
2016/10/24,-26.909
2016/10/25,-28.211
2016/10/26,-68.209
2016/10/27,-59.835
2016/10/28,-44.713
2016/10/29,-17.71
2016/10/30,-25.038
2016/10/31,-58.877
2016/11/01,-42.686
2016/11/02,-51.889
2016/11/03,-63.732
2016/11/04,-61.798
2016/11/05,-47.359
2016/11/06,-46.051
2016/11/07,-42.058
2016/11/08,-44.703
2016/11/09,-30.359
2016/11/10,-5.15
2016/11/11,4.224
2016/11/12,-68.409
2016/11/13,-53.202
2016/11/14,-43.48
2016/11/15,-40.961
2016/11/16,-48.961
2016/11/17,-65.313
2016/11/18,-61.02
2016/11/19,-44.63
2016/11/20,-22.39
2016/11/21,27.049
2016/11/22,45.318
2016/11/23,63.562
2016/11/24,30.211
2016/11/25,58.019
2016/11/26,106.022
2016/11/27,184.522
2016/11/28,231.816
2016/11/29,215.075
2016/11/30,5.949
2016/12/01,-36.497
2016/12/02,-5.902
2016/12/03,-14.898
2016/12/04,19.968
2016/12/05,27.847
2016/12/06,47.679
2016/12/07,26.509
2016/12/08,14.619
2016/12/09,-12.022
2016/12/10,-18.914
2016/12/11,-14.18
2016/12/12,3.445
2016/12/13,-7.026
2016/12/14,-8.908
2016/12/15,-7.069
2016/12/16,-12.906
2016/12/17,4.084
2016/12/18,-16.734
2016/12/19,33.916
2016/12/20,36.777
2016/12/21,53.306
2016/12/22,2.417
2016/12/23,-61.178
2016/12/24,-53.35
2016/12/25,-56.406
2016/12/26,-66.419
2016/12/27,-64.517
2016/12/28,-71.204
2016/12/29,-57.509
2016/12/30,26.875
2016/12/31,7.1
2017/01/01,-9.487
2017/01/02,10.563
2017/01/03,50.922
2017/01/04,22.974
2017/01/05,1.264
2017/01/06,-9.29
2017/01/07,-15.087
2017/01/08,5.172
2017/01/09,23.328
2017/01/10,6.553
2017/01/11,10.44
2017/01/12,20.609
2017/01/13,3.271
2017/01/14,-16.275
2017/01/15,-1.827
2017/01/16,0.51
2017/01/17,44.484
2017/01/18,-6.75
2017/01/19,-28.955
2017/01/20,-36.341
2017/01/21,-22.104
2017/01/22,18.794
2017/01/23,34.793
2017/01/24,72.937
2017/01/25,63.721
2017/01/26,-1.582
2017/01/27,13.753
2017/01/28,-16.872
2017/01/29,-29.714
2017/01/30,12.013
2017/01/31,27.554
2017/02/01,36.159
2017/02/02,-11.228
2017/02/03,-11.532
2017/02/04,-5.325
2017/02/05,10.605
2017/02/06,19.866
2017/02/07,39.643
2017/02/08,21.797
2017/02/09,4.728
2017/02/10,33.629
2017/02/11,3.854
2017/02/12,13.139
2017/02/13,109.831
2017/02/14,66.891
2017/02/15,98.695
2017/02/16,-0.913
2017/02/17,15.251
2017/02/18,46.616
2017/02/19,7.78
2017/02/20,34.146
2017/02/21,53.862
2017/02/22,47.631
2017/02/23,5.936
2017/02/24,10.389
2017/02/25,23.63
2017/02/26,8.71
2017/02/27,36.14
2017/02/28,62.529
2017/03/01,62.881
2017/03/02,69.788
2017/03/03,21.925
2017/03/04,20.776
2017/03/05,26.493
2017/03/06,27.812
2017/03/07,27.617
2017/03/08,13.407
2017/03/09,10.888
2017/03/10,25.523
2017/03/11,18.846
2017/03/12,7.128
2017/03/13,96.894
2017/03/14,86.021
2017/03/15,5.861
2017/03/16,70.726
2017/03/17,29.202
2017/03/18,53.423
2017/03/19,48.133
2017/03/20,25.635
2017/03/21,76.925
2017/03/22,46.24
2017/03/23,12.166
2017/03/24,33.471
2017/03/25,34.464
2017/03/26,40.533
2017/03/27,76.66
2017/03/28,69.146
2017/03/29,53.389
2017/03/30,43.528
2017/03/31,47.734
2017/04/01,7.145
2017/04/02,46.559
2017/04/03,75.334
2017/04/04,51.537
2017/04/05,64.509
2017/04/06,68.841
2017/04/07,80.532
2017/04/08,4.916
2017/04/09,8.66
2017/04/10,36.406
2017/04/11,23.182
2017/04/12,10.633
2017/04/13,-14.622
2017/04/14,-0.641
2017/04/15,-28.79
2017/04/16,-31.972
2017/04/17,2.963
2017/04/18,30.997
2017/04/19,47.163
2017/04/20,14.457
2017/04/21,57.872
2017/04/22,27.395
2017/04/23,-2.71
2017/04/24,30.967
2017/04/25,36.798
2017/04/26,1.689
2017/04/27,41.404
2017/04/28,20.335
2017/04/29,4.377
2017/04/30,8.742
2017/05/01,92.819
2017/05/02,74.167
2017/05/03,8.944
2017/05/04,50.169
2017/05/05,29.592
2017/05/06,18.83
2017/05/07,51.42
2017/05/08,91.316
2017/05/09,89.88
2017/05/10,68.329
2017/05/11,89.525
2017/05/12,36.623
2017/05/13,79.404
2017/05/14,85.48
2017/05/15,139.38
2017/05/16,162.777
2017/05/17,287.244
2017/05/18,129.627
2017/05/19,130.104
2017/05/20,128.939
2017/05/21,83.934
2017/05/22,152.078
2017/05/23,310.412
2017/05/24,283.242
2017/05/25,194.181
2017/05/26,176.231
2017/05/27,111.3
2017/05/28,147.749
2017/05/29,161.654
2017/05/30,289.302
2017/05/31,374.428
2017/06/01,134.311
2017/06/02,311.022
2017/06/03,160.802
2017/06/04,225.69
2017/06/05,175.63
2017/06/06,170.185
2017/06/07,203.454
2017/06/08,138.97
2017/06/09,152.931
2017/06/10,105.219
2017/06/11,203.972
2017/06/12,361.546
2017/06/13,170.38
2017/06/14,92.683
2017/06/15,105.257
2017/06/16,17.255
2017/06/17,49.253
2017/06/18,42.477
2017/06/19,79.565
2017/06/20,352.929
2017/06/21,416.092
2017/06/22,183.641
2017/06/23,86.385
2017/06/24,183.279
2017/06/25,115.837
2017/06/26,204.707
2017/06/27,85.617
2017/06/28,228.075
2017/06/29,59.727
2017/06/30,-25.373
2017/07/01,29.851
2017/07/02,8.139
