Date,transactions14trx
2016/01/01,2.257
2016/01/02,1.928
2016/01/03,1.581
2016/01/04,1.244
2016/01/05,1.072
2016/01/06,1.022
2016/01/07,1.149
2016/01/08,1.151
2016/01/09,1.09
2016/01/10,0.96
2016/01/11,0.804
2016/01/12,0.636
2016/01/13,0.599
2016/01/14,0.511
2016/01/15,0.38
2016/01/16,0.241
2016/01/17,0.086
2016/01/18,-0.013
2016/01/19,-0.06
2016/01/20,-0.125
2016/01/21,-0.196
2016/01/22,-0.208
2016/01/23,-0.234
2016/01/24,-0.234
2016/01/25,-0.134
2016/01/26,0.016
2016/01/27,0.233
2016/01/28,0.444
2016/01/29,0.631
2016/01/30,0.758
2016/01/31,0.827
2016/02/01,0.855
2016/02/02,0.855
2016/02/03,0.833
2016/02/04,0.8
2016/02/05,0.774
2016/02/06,1.039
2016/02/07,1.167
2016/02/08,1.206
2016/02/09,1.197
2016/02/10,1.183
2016/02/11,1.235
2016/02/12,1.266
2016/02/13,1.299
2016/02/14,1.282
2016/02/15,1.241
2016/02/16,1.19
2016/02/17,1.171
2016/02/18,1.121
2016/02/19,1.075
2016/02/20,1.005
2016/02/21,0.927
2016/02/22,0.862
2016/02/23,0.81
2016/02/24,0.783
2016/02/25,0.77
2016/02/26,0.786
2016/02/27,0.789
2016/02/28,0.783
2016/02/29,0.786
2016/03/01,0.813
2016/03/02,0.876
2016/03/03,0.972
2016/03/04,1.074
2016/03/05,1.208
2016/03/06,1.357
2016/03/07,1.445
2016/03/08,1.496
2016/03/09,1.521
2016/03/10,1.528
2016/03/11,1.498
2016/03/12,1.5
2016/03/13,1.519
2016/03/14,1.548
2016/03/15,1.585
2016/03/16,1.6
2016/03/17,1.662
2016/03/18,1.725
2016/03/19,1.81
2016/03/20,1.873
2016/03/21,1.912
2016/03/22,1.932
2016/03/23,1.921
2016/03/24,1.937
2016/03/25,1.96
2016/03/26,1.977
2016/03/27,1.922
2016/03/28,1.853
2016/03/29,1.776
2016/03/30,1.72
2016/03/31,1.635
2016/04/01,1.541
2016/04/02,1.41
2016/04/03,1.261
2016/04/04,1.15
2016/04/05,1.1
2016/04/06,1.03
2016/04/07,0.948
2016/04/08,0.876
2016/04/09,0.797
2016/04/10,0.717
2016/04/11,0.625
2016/04/12,0.561
2016/04/13,0.527
2016/04/14,0.503
2016/04/15,0.487
2016/04/16,0.443
2016/04/17,0.453
2016/04/18,0.447
2016/04/19,0.423
2016/04/20,0.391
2016/04/21,0.384
2016/04/22,0.354
2016/04/23,0.31
2016/04/24,0.275
2016/04/25,0.256
2016/04/26,0.228
2016/04/27,0.204
2016/04/28,0.186
2016/04/29,0.195
2016/04/30,0.279
2016/05/01,0.364
2016/05/02,0.458
2016/05/03,0.525
2016/05/04,0.567
2016/05/05,0.597
2016/05/06,0.635
2016/05/07,0.637
2016/05/08,0.642
2016/05/09,0.638
2016/05/10,0.64
2016/05/11,0.646
2016/05/12,0.68
2016/05/13,0.745
2016/05/14,0.812
2016/05/15,0.857
2016/05/16,0.846
2016/05/17,0.817
2016/05/18,0.812
2016/05/19,0.811
2016/05/20,0.814
2016/05/21,0.807
2016/05/22,0.764
2016/05/23,0.728
2016/05/24,0.691
2016/05/25,0.675
2016/05/26,0.699
2016/05/27,0.733
2016/05/28,0.893
2016/05/29,0.98
2016/05/30,0.996
2016/05/31,0.971
2016/06/01,0.908
2016/06/02,0.807
2016/06/03,0.687
2016/06/04,0.548
2016/06/05,0.404
2016/06/06,0.267
2016/06/07,0.181
2016/06/08,0.101
2016/06/09,0.024
2016/06/10,-0.046
2016/06/11,-0.124
2016/06/12,-0.174
2016/06/13,-0.183
2016/06/14,-0.141
2016/06/15,-0.106
2016/06/16,-0.077
2016/06/17,0.075
2016/06/18,0.279
2016/06/19,0.44
2016/06/20,0.542
2016/06/21,0.6
2016/06/22,0.632
2016/06/23,0.608
2016/06/24,0.566
2016/06/25,0.469
2016/06/26,0.365
2016/06/27,0.251
2016/06/28,0.154
2016/06/29,0.108
2016/06/30,0.17
2016/07/01,0.174
2016/07/02,0.135
2016/07/03,0.074
2016/07/04,0
2016/07/05,-0.08
2016/07/06,-0.169
2016/07/07,-0.245
2016/07/08,-0.298
2016/07/09,-0.344
2016/07/10,-0.388
2016/07/11,-0.432
2016/07/12,-0.461
2016/07/13,-0.505
2016/07/14,-0.519
2016/07/15,-0.519
2016/07/16,-0.526
2016/07/17,-0.559
2016/07/18,-0.577
2016/07/19,-0.556
2016/07/20,-0.473
2016/07/21,-0.383
2016/07/22,-0.273
2016/07/23,-0.173
2016/07/24,-0.01
2016/07/25,0.168
2016/07/26,0.384
2016/07/27,0.562
2016/07/28,0.681
2016/07/29,0.745
2016/07/30,0.74
2016/07/31,0.727
2016/08/01,0.692
2016/08/02,0.66
2016/08/03,0.632
2016/08/04,0.592
2016/08/05,0.526
2016/08/06,0.437
2016/08/07,0.344
2016/08/08,0.253
2016/08/09,0.188
2016/08/10,0.138
2016/08/11,0.11
2016/08/12,0.078
2016/08/13,0.027
2016/08/14,-0.036
2016/08/15,-0.094
2016/08/16,-0.113
2016/08/17,-0.126
2016/08/18,-0.119
2016/08/19,-0.124
2016/08/20,-0.144
2016/08/21,-0.168
2016/08/22,-0.183
2016/08/23,-0.169
2016/08/24,-0.145
2016/08/25,-0.1
2016/08/26,-0.056
2016/08/27,-0.011
2016/08/28,0.004
2016/08/29,0.014
2016/08/30,0.028
2016/08/31,0.038
2016/09/01,0.054
2016/09/02,0.113
2016/09/03,0.142
2016/09/04,0.167
2016/09/05,0.16
2016/09/06,0.164
2016/09/07,0.174
2016/09/08,0.224
2016/09/09,0.287
2016/09/10,0.296
2016/09/11,0.272
2016/09/12,0.237
2016/09/13,0.183
2016/09/14,0.176
2016/09/15,0.193
2016/09/16,0.249
2016/09/17,0.273
2016/09/18,0.229
2016/09/19,0.157
2016/09/20,0.136
2016/09/21,0.103
2016/09/22,0.103
2016/09/23,0.038
2016/09/24,-0.026
2016/09/25,-0.11
2016/09/26,-0.178
2016/09/27,-0.216
2016/09/28,-0.253
2016/09/29,-0.297
2016/09/30,-0.368
2016/10/01,-0.365
2016/10/02,-0.322
2016/10/03,-0.272
2016/10/04,-0.172
2016/10/05,-0.121
2016/10/06,-0.13
2016/10/07,-0.141
2016/10/08,-0.185
2016/10/09,-0.214
2016/10/10,-0.228
2016/10/11,-0.25
2016/10/12,-0.333
2016/10/13,-0.441
2016/10/14,-0.508
2016/10/15,-0.588
2016/10/16,-0.665
2016/10/17,-0.718
2016/10/18,-0.679
2016/10/19,-0.649
2016/10/20,-0.6
2016/10/21,-0.46
2016/10/22,-0.375
2016/10/23,-0.342
2016/10/24,-0.25
2016/10/25,-0.15
2016/10/26,-0.063
2016/10/27,0.006
2016/10/28,0.046
2016/10/29,0.055
2016/10/30,0.041
2016/10/31,0.043
2016/11/01,0.078
2016/11/02,0.101
2016/11/03,0.109
2016/11/04,0.053
2016/11/05,-0.014
2016/11/06,-0.104
2016/11/07,-0.162
2016/11/08,-0.198
2016/11/09,-0.224
2016/11/10,-0.243
2016/11/11,-0.251
2016/11/12,-0.252
2016/11/13,-0.232
2016/11/14,-0.198
2016/11/15,-0.147
2016/11/16,-0.108
2016/11/17,-0.084
2016/11/18,-0.053
2016/11/19,-0.045
2016/11/20,-0.035
2016/11/21,-0.022
2016/11/22,0.055
2016/11/23,0.23
2016/11/24,0.303
2016/11/25,0.426
2016/11/26,0.476
2016/11/27,0.495
2016/11/28,0.515
2016/11/29,0.526
2016/11/30,0.484
2016/12/01,0.4
2016/12/02,0.316
2016/12/03,0.234
2016/12/04,0.148
2016/12/05,0.073
2016/12/06,0.045
2016/12/07,0.014
2016/12/08,-0.03
2016/12/09,-0.07
2016/12/10,-0.11
2016/12/11,-0.155
2016/12/12,-0.204
2016/12/13,-0.22
2016/12/14,-0.199
2016/12/15,-0.161
2016/12/16,-0.125
2016/12/17,-0.116
2016/12/18,-0.14
2016/12/19,-0.136
2016/12/20,-0.12
2016/12/21,-0.062
2016/12/22,0.047
2016/12/23,0.123
2016/12/24,0.137
2016/12/25,0.103
2016/12/26,0.029
2016/12/27,-0.025
2016/12/28,-0.058
2016/12/29,-0.058
