Date,size14sma
2016/11/15,1446
2016/11/16,1444
2016/11/17,1445
2016/11/18,1463
2016/11/19,1464
2016/11/20,1477
2016/11/21,1487
2016/11/22,1504
2016/11/23,1537
2016/11/24,1532
2016/11/25,1554
2016/11/26,1559
2016/11/27,1576
2016/11/28,1587
2016/11/29,1595
2016/11/30,1647
2016/12/01,1642
2016/12/02,1639
2016/12/03,1641
2016/12/04,1636
2016/12/05,1632
2016/12/06,1626
2016/12/07,1595
2016/12/08,1595
2016/12/09,1576
2016/12/10,1570
2016/12/11,1569
2016/12/12,1551
2016/12/13,1540
2016/12/14,1513
2016/12/15,1526
2016/12/16,1529
2016/12/17,1530
2016/12/18,1526
2016/12/19,1534
2016/12/20,1529
2016/12/21,1546
2016/12/22,1571
2016/12/23,1573
2016/12/24,1568
2016/12/25,1542
2016/12/26,1529
2016/12/27,1530
2016/12/28,1508
2016/12/29,1515
2016/12/30,1524
2016/12/31,1533
2017/01/01,1536
2017/01/02,1525
2017/01/03,1531
2017/01/04,1527
2017/01/05,1521
2017/01/06,1526
2017/01/07,1541
2017/01/08,1558
2017/01/09,1580
2017/01/10,1589
2017/01/11,1593
2017/01/12,1595
2017/01/13,1602
2017/01/14,1599
2017/01/15,1607
2017/01/16,1615
2017/01/17,1616
2017/01/18,1607
2017/01/19,1598
2017/01/20,1599
2017/01/21,1594
2017/01/22,1598
2017/01/23,1600
2017/01/24,1604
2017/01/25,1608
2017/01/26,1606
2017/01/27,1601
2017/01/28,1611
2017/01/29,1612
2017/01/30,1613
2017/01/31,1605
2017/02/01,1607
2017/02/02,1609
2017/02/03,1606
2017/02/04,1610
2017/02/05,1610
2017/02/06,1609
2017/02/07,1615
2017/02/08,1623
2017/02/09,1620
2017/02/10,1626
2017/02/11,1623
2017/02/12,1627
2017/02/13,1644
2017/02/14,1671
2017/02/15,1686
2017/02/16,1692
2017/02/17,1698
2017/02/18,1714
2017/02/19,1715
2017/02/20,1722
2017/02/21,1733
2017/02/22,1735
2017/02/23,1738
2017/02/24,1741
2017/02/25,1753
2017/02/26,1763
2017/02/27,1763
2017/02/28,1764
2017/03/01,1794
2017/03/02,1833
2017/03/03,1863
2017/03/04,1869
2017/03/05,1883
2017/03/06,1891
2017/03/07,1889
2017/03/08,1890
2017/03/09,1942
2017/03/10,1972
2017/03/11,1990
2017/03/12,2013
2017/03/13,2058
2017/03/14,2094
2017/03/15,2110
2017/03/16,2171
2017/03/17,2228
2017/03/18,2275
2017/03/19,2316
2017/03/20,2352
2017/03/21,2391
2017/03/22,2432
2017/03/23,2439
2017/03/24,2466
2017/03/25,2495
2017/03/26,2519
2017/03/27,2551
2017/03/28,2558
2017/03/29,2579
2017/03/30,2563
2017/03/31,2568
2017/04/01,2561
2017/04/02,2580
2017/04/03,2614
2017/04/04,2615
2017/04/05,2628
2017/04/06,2649
2017/04/07,2664
2017/04/08,2651
2017/04/09,2650
2017/04/10,2619
2017/04/11,2607
2017/04/12,2604
2017/04/13,2585
