Date,activeaddresses30wma
2016/01/01,3312
2016/01/02,3334
2016/01/03,3358
2016/01/04,3386
2016/01/05,3412
2016/01/06,3447
2016/01/07,3495
2016/01/08,3528
2016/01/09,3555
2016/01/10,3593
2016/01/11,3644
2016/01/12,3700
2016/01/13,3733
2016/01/14,3758
2016/01/15,3809
2016/01/16,3825
2016/01/17,3831
2016/01/18,3874
2016/01/19,3899
2016/01/20,3963
2016/01/21,3988
2016/01/22,4023
2016/01/23,4087
2016/01/24,4177
2016/01/25,4287
2016/01/26,4418
2016/01/27,4512
2016/01/28,4635
2016/01/29,4741
2016/01/30,4842
2016/01/31,4948
2016/02/01,5030
2016/02/02,5104
2016/02/03,5184
2016/02/04,5241
2016/02/05,5341
2016/02/06,5376
2016/02/07,5423
2016/02/08,5499
2016/02/09,5594
2016/02/10,5778
2016/02/11,6090
2016/02/12,6291
2016/02/13,6455
2016/02/14,6557
2016/02/15,6671
2016/02/16,6778
2016/02/17,6888
2016/02/18,6975
2016/02/19,7060
2016/02/20,7109
2016/02/21,7218
2016/02/22,7315
2016/02/23,7409
2016/02/24,7491
2016/02/25,7614
2016/02/26,7680
2016/02/27,7747
2016/02/28,7844
2016/02/29,7972
2016/03/01,8147
2016/03/02,8378
2016/03/03,8642
2016/03/04,8881
2016/03/05,9227
2016/03/06,9523
2016/03/07,9656
2016/03/08,9892
2016/03/09,10087
2016/03/10,10341
2016/03/11,10524
2016/03/12,10784
2016/03/13,11023
2016/03/14,11292
2016/03/15,11536
2016/03/16,11750
2016/03/17,11972
2016/03/18,12264
2016/03/19,12443
2016/03/20,12622
2016/03/21,12782
2016/03/22,12924
2016/03/23,13110
2016/03/24,13235
2016/03/25,13367
2016/03/26,13455
2016/03/27,13603
2016/03/28,13748
2016/03/29,13989
2016/03/30,14272
2016/03/31,14405
2016/04/01,14499
2016/04/02,14567
2016/04/03,14658
2016/04/04,14793
2016/04/05,14960
2016/04/06,15054
2016/04/07,15213
2016/04/08,15254
2016/04/09,15369
2016/04/10,15511
2016/04/11,15593
2016/04/12,15708
2016/04/13,15858
2016/04/14,15964
2016/04/15,16026
2016/04/16,16082
2016/04/17,16185
2016/04/18,16287
2016/04/19,16374
2016/04/20,16478
2016/04/21,16565
2016/04/22,16629
2016/04/23,16680
2016/04/24,16766
2016/04/25,16839
2016/04/26,16917
2016/04/27,16990
2016/04/28,17028
2016/04/29,17232
2016/04/30,17824
2016/05/01,18042
2016/05/02,18459
2016/05/03,18654
2016/05/04,18801
2016/05/05,18961
2016/05/06,19105
2016/05/07,19202
2016/05/08,19421
2016/05/09,19668
2016/05/10,19845
2016/05/11,20164
2016/05/12,20481
2016/05/13,20927
2016/05/14,21198
2016/05/15,21385
2016/05/16,21461
2016/05/17,21663
2016/05/18,22042
2016/05/19,22328
2016/05/20,22516
2016/05/21,22630
2016/05/22,22613
2016/05/23,22863
2016/05/24,23006
2016/05/25,23171
