Date,transactions30ema
2016/01/01,11897
2016/01/02,11720
2016/01/03,11561
2016/01/04,11427
2016/01/05,11750
2016/01/06,12093
2016/01/07,12737
2016/01/08,12620
2016/01/09,12566
2016/01/10,12422
2016/01/11,12323
2016/01/12,12229
2016/01/13,12579
2016/01/14,12455
2016/01/15,12289
2016/01/16,12184
2016/01/17,12027
2016/01/18,12084
2016/01/19,12170
2016/01/20,12070
2016/01/21,11983
2016/01/22,12104
2016/01/23,12034
2016/01/24,12083
2016/01/25,12408
2016/01/26,12673
2016/01/27,13065
2016/01/28,13304
2016/01/29,13503
2016/01/30,13578
2016/01/31,13616
2016/02/01,13653
2016/02/02,13695
2016/02/03,13732
2016/02/04,13773
2016/02/05,13868
2016/02/06,15001
2016/02/07,14953
2016/02/08,14938
2016/02/09,14975
2016/02/10,15115
2016/02/11,15523
2016/02/12,15690
2016/02/13,15925
2016/02/14,15970
2016/02/15,16046
2016/02/16,16143
2016/02/17,16392
2016/02/18,16429
2016/02/19,16557
2016/02/20,16567
2016/02/21,16603
2016/02/22,16705
2016/02/23,16820
2016/02/24,16995
2016/02/25,17157
2016/02/26,17409
2016/02/27,17511
2016/02/28,17611
2016/02/29,17788
2016/03/01,18045
2016/03/02,18401
2016/03/03,18817
2016/03/04,19169
2016/03/05,19682
2016/03/06,20197
2016/03/07,20395
2016/03/08,20635
2016/03/09,20888
2016/03/10,21141
2016/03/11,21269
2016/03/12,21696
2016/03/13,22111
2016/03/14,22525
2016/03/15,22960
2016/03/16,23259
2016/03/17,23922
2016/03/18,24432
2016/03/19,25099
2016/03/20,25573
2016/03/21,26021
2016/03/22,26464
2016/03/23,26807
2016/03/24,27461
2016/03/25,28062
2016/03/26,28615
2016/03/27,28703
2016/03/28,29020
2016/03/29,29336
2016/03/30,29815
2016/03/31,29973
2016/04/01,30189
2016/04/02,30135
2016/04/03,30100
2016/04/04,30410
2016/04/05,30975
2016/04/06,31046
2016/04/07,31101
2016/04/08,31289
2016/04/09,31330
2016/04/10,31388
2016/04/11,31320
2016/04/12,31536
2016/04/13,31827
2016/04/14,32018
2016/04/15,32208
2016/04/16,32096
2016/04/17,32619
2016/04/18,32677
2016/04/19,32673
2016/04/20,32691
2016/04/21,32981
2016/04/22,32897
2016/04/23,32829
2016/04/24,32907
2016/04/25,33070
2016/04/26,33039
2016/04/27,33091
2016/04/28,33171
2016/04/29,33440
2016/04/30,34235
2016/05/01,34580
2016/05/02,35042
2016/05/03,35222
2016/05/04,35368
2016/05/05,35583
2016/05/06,35950
2016/05/07,35945
2016/05/08,36210
2016/05/09,36362
2016/05/10,36641
2016/05/11,36910
2016/05/12,37432
2016/05/13,38097
2016/05/14,38590
2016/05/15,38879
2016/05/16,38786
2016/05/17,38884
2016/05/18,39345
2016/05/19,39679
2016/05/20,40034
2016/05/21,40265
2016/05/22,40177
2016/05/23,40411
2016/05/24,40572
2016/05/25,40951
2016/05/26,41609
2016/05/27,42086
2016/05/28,43897
2016/05/29,44025
2016/05/30,43954
2016/05/31,43982
2016/06/01,43869
2016/06/02,43597
2016/06/03,43355
2016/06/04,43001
2016/06/05,42672
2016/06/06,42432
2016/06/07,42671
2016/06/08,42527
2016/06/09,42354
2016/06/10,42212
2016/06/11,41869
2016/06/12,41915
2016/06/13,42191
2016/06/14,42716
2016/06/15,42751
2016/06/16,42792
2016/06/17,44325
2016/06/18,45535
2016/06/19,45890
2016/06/20,45969
2016/06/21,46057
2016/06/22,46222
2016/06/23,45944
2016/06/24,45904
2016/06/25,45309
2016/06/26,45071
2016/06/27,44722
2016/06/28,44616
2016/06/29,44957
2016/06/30,46183
2016/07/01,45789
2016/07/02,45368
2016/07/03,45006
2016/07/04,44680
2016/07/05,44331
2016/07/06,43916
2016/07/07,43691
2016/07/08,43615
2016/07/09,43408
2016/07/10,43147
2016/07/11,42852
2016/07/12,42720
2016/07/13,42270
2016/07/14,42305
2016/07/15,42228
2016/07/16,41959
2016/07/17,41440
2016/07/18,41295
2016/07/19,41482
2016/07/20,42072
2016/07/21,42253
2016/07/22,42654
2016/07/23,42805
2016/07/24,43799
2016/07/25,44513
2016/07/26,45637
2016/07/27,46114
2016/07/28,46271
2016/07/29,46334
2016/07/30,46055
2016/07/31,46229
2016/08/01,46213
2016/08/02,46395
2016/08/03,46594
2016/08/04,46605
2016/08/05,46386
2016/08/06,46070
2016/08/07,45869
2016/08/08,45683
2016/08/09,45771
2016/08/10,45805
2016/08/11,45957
2016/08/12,45857
2016/08/13,45549
2016/08/14,45229
2016/08/15,45040
2016/08/16,45292
2016/08/17,45264
2016/08/18,45428
2016/08/19,45268
2016/08/20,45013
2016/08/21,44854
2016/08/22,44815
2016/08/23,45048
2016/08/24,45162
2016/08/25,45466
2016/08/26,45584
2016/08/27,45736
2016/08/28,45534
2016/08/29,45532
2016/08/30,45626
2016/08/31,45640
2016/09/01,45759
2016/09/02,46382
2016/09/03,46280
2016/09/04,46399
2016/09/05,46158
2016/09/06,46348
2016/09/07,46500
2016/09/08,47111
2016/09/09,47550
2016/09/10,47248
2016/09/11,46997
2016/09/12,46876
2016/09/13,46599
2016/09/14,47068
2016/09/15,47426
2016/09/16,48078
2016/09/17,48001
2016/09/18,47349
2016/09/19,46907
2016/09/20,47369
2016/09/21,47187
2016/09/22,47540
2016/09/23,46745
2016/09/24,46530
2016/09/25,46026
2016/09/26,45864
2016/09/27,45926
2016/09/28,45724
2016/09/29,45381
2016/09/30,44765
2016/10/01,45302
2016/10/02,45676
2016/10/03,45805
2016/10/04,46505
2016/10/05,46196
2016/10/06,45592
2016/10/07,45470
2016/10/08,44968
