Date,transactionvalue30momUSD
2016/01/01,1.833
2016/01/02,1.52
2016/01/03,19.338
2016/01/04,-2.13
2016/01/05,39.001
2016/01/06,-36.343
2016/01/07,-5.3
2016/01/08,-9.975
2016/01/09,-4.773
2016/01/10,-18.854
2016/01/11,-8.362
2016/01/12,64.944
2016/01/13,7.412
2016/01/14,9.884
2016/01/15,-23.107
2016/01/16,22.31
2016/01/17,22.517
2016/01/18,227.047
2016/01/19,107.746
2016/01/20,65.303
2016/01/21,60.168
2016/01/22,95.262
2016/01/23,172.622
2016/01/24,315.241
2016/01/25,275.66
2016/01/26,222.987
2016/01/27,125.245
2016/01/28,115.358
2016/01/29,123.187
2016/01/30,134.148
2016/01/31,144.379
2016/02/01,66.576
2016/02/02,57.664
2016/02/03,89.705
2016/02/04,-3.31
2016/02/05,80.518
2016/02/06,2.906
2016/02/07,151.396
2016/02/08,291.844
2016/02/09,337.849
2016/02/10,444.106
2016/02/11,306.501
2016/02/12,658.893
2016/02/13,298.038
2016/02/14,152.052
2016/02/15,166.976
2016/02/16,313.351
2016/02/17,-94.8
2016/02/18,140.994
2016/02/19,37.81
2016/02/20,246.296
2016/02/21,22.644
2016/02/22,46.715
2016/02/23,155.038
2016/02/24,335.727
2016/02/25,70.802
2016/02/26,984.309
2016/02/27,575.343
2016/02/28,131.416
2016/02/29,54.136
2016/03/01,219.415
2016/03/02,1125
2016/03/03,684.265
2016/03/04,470.542
2016/03/05,1118
2016/03/06,552.434
2016/03/07,637.858
2016/03/08,685.836
2016/03/09,173.194
2016/03/10,49.275
2016/03/11,-41.568
2016/03/12,293.109
2016/03/13,323.933
2016/03/14,436.541
2016/03/15,291.688
2016/03/16,301.116
2016/03/17,243.117
2016/03/18,601.151
2016/03/19,-27.191
2016/03/20,54.506
2016/03/21,-15.676
2016/03/22,118.402
2016/03/23,-13.759
2016/03/24,-182.338
2016/03/25,-460.506
2016/03/26,-198.258
2016/03/27,-721.934
2016/03/28,-448.107
2016/03/29,177.096
2016/03/30,213.967
2016/03/31,-76.695
2016/04/01,-1086
2016/04/02,-634.434
2016/04/03,-491.236
2016/04/04,-1035
2016/04/05,-459.38
2016/04/06,-462.174
2016/04/07,-619.337
2016/04/08,-324.328
2016/04/09,-8.519
2016/04/10,-135.617
2016/04/11,-532.465
2016/04/12,-762.335
2016/04/13,-524.288
2016/04/14,-335.239
2016/04/15,-393.704
2016/04/16,-485.762
2016/04/17,-566.02
2016/04/18,-68.051
2016/04/19,-62.029
2016/04/20,-125.176
2016/04/21,-134.134
2016/04/22,-23.37
2016/04/23,-39.382
2016/04/24,-72.436
2016/04/25,58.184
2016/04/26,-156.994
2016/04/27,-88.572
2016/04/28,-272.383
2016/04/29,-316.854
2016/04/30,161.397
2016/05/01,255.217
2016/05/02,293.301
2016/05/03,274.225
2016/05/04,138.064
2016/05/05,84.103
2016/05/06,285.875
2016/05/07,159.605
2016/05/08,170.298
2016/05/09,102.878
2016/05/10,158.342
2016/05/11,550.137
2016/05/12,487.542
2016/05/13,1554
2016/05/14,1091
2016/05/15,211.126
2016/05/16,300.639
2016/05/17,195.101
2016/05/18,340.497
2016/05/19,719.159
2016/05/20,542.203
2016/05/21,203.791
2016/05/22,52.522
2016/05/23,146.976
2016/05/24,444.024
2016/05/25,301.614
2016/05/26,50.511
2016/05/27,427.926
2016/05/28,189.505
2016/05/29,142.662
2016/05/30,-195.145
2016/05/31,-83.382
2016/06/01,-180.997
2016/06/02,-185.022
2016/06/03,-65.477
2016/06/04,-105.235
2016/06/05,-315.444
2016/06/06,-224.711
2016/06/07,-25.557
2016/06/08,273.801
2016/06/09,-307.41
2016/06/10,-411.18
2016/06/11,-537.97
2016/06/12,-1420
2016/06/13,-893.659
2016/06/14,158.364
2016/06/15,-29.477
2016/06/16,280.031
2016/06/17,581.784
2016/06/18,216.888
2016/06/19,-285.124
2016/06/20,338.666
2016/06/21,208.844
2016/06/22,200.265
2016/06/23,17.11
2016/06/24,-115.171
2016/06/25,173.858
2016/06/26,-395.216
2016/06/27,-129.672
2016/06/28,209.413
2016/06/29,15.176
2016/06/30,-136.255
2016/07/01,1.065
2016/07/02,-32.661
2016/07/03,-61.15
2016/07/04,170.581
2016/07/05,793.84
2016/07/06,125.518
2016/07/07,-59.562
2016/07/08,-600.781
2016/07/09,-6.3
2016/07/10,-130.134
2016/07/11,23.454
2016/07/12,-156.062
2016/07/13,-149.221
2016/07/14,-270.251
2016/07/15,740.909
2016/07/16,-423.415
2016/07/17,-841.013
2016/07/18,-222.765
2016/07/19,2054
2016/07/20,2703
2016/07/21,34.055
2016/07/22,242.691
2016/07/23,291.221
2016/07/24,2601
2016/07/25,1896
2016/07/26,4100
2016/07/27,2743
2016/07/28,1529
2016/07/29,1125
2016/07/30,964.393
2016/07/31,643.409
2016/08/01,1229
2016/08/02,1959
2016/08/03,1359
2016/08/04,-115.311
2016/08/05,765.289
2016/08/06,222.383
2016/08/07,363.523
2016/08/08,381.72
2016/08/09,602.356
2016/08/10,1048
2016/08/11,734.146
2016/08/12,335.553
2016/08/13,326.802
2016/08/14,-675.196
2016/08/15,136.788
2016/08/16,-41.453
2016/08/17,-394.528
2016/08/18,-2217
2016/08/19,-3096
2016/08/20,-69.787
2016/08/21,80.81
2016/08/22,-276.938
2016/08/23,-1920
2016/08/24,-2146
2016/08/25,-4101
2016/08/26,-2503
2016/08/27,-1777
2016/08/28,-1218
2016/08/29,-846.064
2016/08/30,-700.589
2016/08/31,-1100
2016/09/01,-1604
2016/09/02,-1315
2016/09/03,-510.968
2016/09/04,-701.684
2016/09/05,-244.341
2016/09/06,-304.922
2016/09/07,-332.4
2016/09/08,-475.275
2016/09/09,-1120
2016/09/10,-775.006
2016/09/11,-378.876
2016/09/12,-324.265
2016/09/13,-185.026
2016/09/14,-211.347
2016/09/15,-71.703
2016/09/16,49.709
2016/09/17,-54.468
2016/09/18,271.496
2016/09/19,-122.604
2016/09/20,7.272
2016/09/21,687.385
2016/09/22,-554.013
2016/09/23,536.867
2016/09/24,194.481
2016/09/25,366.468
2016/09/26,204.778
2016/09/27,100.637
2016/09/28,485.41
2016/09/29,483.11
2016/09/30,65.133
2016/10/01,-304.017
2016/10/02,81.862
2016/10/03,-162.761
2016/10/04,-194.077
2016/10/05,106.38
2016/10/06,97.851
2016/10/07,62.02
2016/10/08,31.906
2016/10/09,569.327
2016/10/10,497.572
2016/10/11,436.795
2016/10/12,792.737
2016/10/13,107.769
2016/10/14,581.379
2016/10/15,267.754
2016/10/16,63.919
2016/10/17,357.167
2016/10/18,158.756
2016/10/19,44.279
2016/10/20,-730.847
2016/10/21,-1124
2016/10/22,-310.166
2016/10/23,-626.348
2016/10/24,-253.603
2016/10/25,-567.065
2016/10/26,-193.018
2016/10/27,-77.543
2016/10/28,-355.363
2016/10/29,-188.902
2016/10/30,319.495
2016/10/31,103.739
2016/11/01,165.348
2016/11/02,907.608
2016/11/03,2396
2016/11/04,73.76
2016/11/05,-72.331
2016/11/06,-107.355
2016/11/07,-175.86
2016/11/08,-542.073
2016/11/09,-147.308
2016/11/10,-400.013
2016/11/11,-83.051
2016/11/12,-70.037
2016/11/13,-456.304
2016/11/14,-286.612
2016/11/15,-316.156
2016/11/16,-309.064
2016/11/17,99.337
2016/11/18,-98.637
2016/11/19,8.5
2016/11/20,15.825
2016/11/21,-12.132
2016/11/22,330.359
2016/11/23,223.872
2016/11/24,-51.438
2016/11/25,8.043
2016/11/26,-77.279
2016/11/27,-271.881
2016/11/28,-352.431
2016/11/29,-424.882
2016/11/30,-52.924
2016/12/01,-392.533
2016/12/02,-444.333
2016/12/03,-1644
2016/12/04,-76.155
2016/12/05,379.154
2016/12/06,722.178
2016/12/07,286.685
2016/12/08,360.3
2016/12/09,-23.446
2016/12/10,19.794
2016/12/11,-546.071
2016/12/12,-78.575
2016/12/13,-84.196
2016/12/14,64.32
2016/12/15,136.699
2016/12/16,-10.954
2016/12/17,-185.652
2016/12/18,222.366
2016/12/19,23.325
2016/12/20,94.051
2016/12/21,168.187
2016/12/22,-17.658
2016/12/23,659.923
2016/12/24,235.07
2016/12/25,-37.125
2016/12/26,12.512
2016/12/27,93.994
2016/12/28,335.511
2016/12/29,568.529
2016/12/30,351.463
2016/12/31,996.907
2017/01/01,-246.254
2017/01/02,-328.551
2017/01/03,646.188
2017/01/04,987.664
2017/01/05,821.39
2017/01/06,1242
2017/01/07,450.292
2017/01/08,75.785
2017/01/09,707.883
2017/01/10,584.319
2017/01/11,795.528
2017/01/12,647.288
2017/01/13,284.194
2017/01/14,-151.817
2017/01/15,-115.978
2017/01/16,-430.239
2017/01/17,-128.455
2017/01/18,-36.413
2017/01/19,-4.158
2017/01/20,303.488
2017/01/21,-225.43
2017/01/22,-809.384
2017/01/23,-246.292
2017/01/24,-42.349
2017/01/25,41.225
2017/01/26,0.167
2017/01/27,-250.714
2017/01/28,-659.308
2017/01/29,-391.895
2017/01/30,-1073
2017/01/31,-77.348
2017/02/01,-286.741
