Date,size14var
2016/01/01,89399
2016/01/02,91689
2016/01/03,96626
2016/01/04,101346
2016/01/05,54931
2016/01/06,55367
2016/01/07,63247
2016/01/08,62396
2016/01/09,60810
2016/01/10,53205
2016/01/11,54121
2016/01/12,54528
2016/01/13,47923
2016/01/14,47857
2016/01/15,44050
2016/01/16,43638
2016/01/17,46050
2016/01/18,44450
2016/01/19,40680
2016/01/20,29892
2016/01/21,15955
2016/01/22,16019
2016/01/23,15665
2016/01/24,15799
2016/01/25,21797
2016/01/26,23748
2016/01/27,32430
2016/01/28,40480
2016/01/29,42447
2016/01/30,40746
2016/01/31,35949
2016/02/01,35651
2016/02/02,35918
2016/02/03,33780
2016/02/04,30679
2016/02/05,29364
2016/02/06,38830
2016/02/07,37765
2016/02/08,39518
2016/02/09,41670
2016/02/10,31655
2016/02/11,27739
2016/02/12,26039
2016/02/13,26357
2016/02/14,26349
2016/02/15,26029
2016/02/16,25644
2016/02/17,25570
2016/02/18,25326
2016/02/19,25107
2016/02/20,6373
2016/02/21,6040
2016/02/22,5444
2016/02/23,4648
2016/02/24,4636
2016/02/25,3238
2016/02/26,4821
2016/02/27,4375
2016/02/28,4475
2016/02/29,4622
2016/03/01,4661
2016/03/02,3705
2016/03/03,4598
2016/03/04,5400
2016/03/05,6367
2016/03/06,7824
2016/03/07,7137
2016/03/08,6759
2016/03/09,6341
2016/03/10,5519
2016/03/11,5212
2016/03/12,5762
2016/03/13,5383
2016/03/14,8433
2016/03/15,7210
2016/03/16,6491
2016/03/17,7090
2016/03/18,7174
2016/03/19,8972
2016/03/20,9685
2016/03/21,9743
2016/03/22,9831
2016/03/23,10181
2016/03/24,20714
2016/03/25,17908
2016/03/26,17406
2016/03/27,20380
2016/03/28,20872
2016/03/29,19499
2016/03/30,17496
2016/03/31,17710
2016/04/01,16909
2016/04/02,22085
2016/04/03,26184
2016/04/04,26195
2016/04/05,26271
2016/04/06,27427
2016/04/07,15591
2016/04/08,13888
2016/04/09,13705
2016/04/10,13291
2016/04/11,12849
2016/04/12,13066
2016/04/13,11297
2016/04/14,11297
2016/04/15,10563
2016/04/16,11012
2016/04/17,27618
2016/04/18,27626
2016/04/19,27370
2016/04/20,27180
2016/04/21,27789
2016/04/22,27446
2016/04/23,28135
2016/04/24,27215
2016/04/25,25663
2016/04/26,25858
2016/04/27,25986
2016/04/28,25990
2016/04/29,26025
2016/04/30,25610
2016/05/01,12597
2016/05/02,12691
2016/05/03,11990
2016/05/04,11976
2016/05/05,11816
2016/05/06,12443
2016/05/07,10382
2016/05/08,10574
2016/05/09,10189
2016/05/10,8867
2016/05/11,6841
2016/05/12,8048
2016/05/13,8676
2016/05/14,9921
2016/05/15,8549
2016/05/16,8466
2016/05/17,7882
2016/05/18,9082
2016/05/19,8717
2016/05/20,9360
2016/05/21,7093
2016/05/22,7479
2016/05/23,6314
2016/05/24,5709
2016/05/25,5932
2016/05/26,6704
2016/05/27,7381
2016/05/28,52649
2016/05/29,51431
2016/05/30,50246
2016/05/31,48814
2016/06/01,49801
2016/06/02,52549
2016/06/03,56275
2016/06/04,59993
2016/06/05,62532
2016/06/06,65000
2016/06/07,64804
2016/06/08,66898
2016/06/09,66678
2016/06/10,66571
2016/06/11,9729
2016/06/12,7210
2016/06/13,7935
2016/06/14,10786
2016/06/15,10490
2016/06/16,11242
2016/06/17,37477
2016/06/18,51450
2016/06/19,48418
2016/06/20,46225
2016/06/21,45939
2016/06/22,43211
2016/06/23,42442
2016/06/24,39238
2016/06/25,38013
2016/06/26,38299
2016/06/27,42282
2016/06/28,43552
2016/06/29,44309
2016/06/30,78197
2016/07/01,69097
2016/07/02,60689
2016/07/03,63170
2016/07/04,63694
2016/07/05,63891
2016/07/06,64879
2016/07/07,65879
2016/07/08,65222
2016/07/09,65187
2016/07/10,65808
2016/07/11,65637
2016/07/12,65604
2016/07/13,61898
2016/07/14,4676
2016/07/15,4410
2016/07/16,4778
2016/07/17,6863
2016/07/18,6928
2016/07/19,7168
2016/07/20,12388
2016/07/21,12513
2016/07/22,13758
2016/07/23,13593
2016/07/24,19951
2016/07/25,22934
2016/07/26,34776
2016/07/27,33146
2016/07/28,33081
2016/07/29,31899
2016/07/30,28880
2016/07/31,20312
2016/08/01,16830
2016/08/02,15606
2016/08/03,15260
2016/08/04,14212
2016/08/05,15227
2016/08/06,15937
2016/08/07,15637
2016/08/08,15240
2016/08/09,6064
2016/08/10,4866
2016/08/11,4938
2016/08/12,4876
2016/08/13,5375
2016/08/14,6956
2016/08/15,7412
2016/08/16,6352
2016/08/17,5137
2016/08/18,5853
2016/08/19,5973
2016/08/20,6101
2016/08/21,6051
2016/08/22,5999
2016/08/23,22024
2016/08/24,21936
2016/08/25,22417
2016/08/26,22548
2016/08/27,21101
2016/08/28,20129
2016/08/29,19122
2016/08/30,19099
2016/08/31,19055
2016/09/01,18646
2016/09/02,22400
2016/09/03,21282
2016/09/04,20482
2016/09/05,20703
2016/09/06,9831
2016/09/07,10247
2016/09/08,15543
2016/09/09,18667
2016/09/10,19787
2016/09/11,19527
2016/09/12,19402
2016/09/13,20856
2016/09/14,20914
2016/09/15,20998
2016/09/16,27400
2016/09/17,26017
2016/09/18,29971
2016/09/19,35579
2016/09/20,35311
2016/09/21,35298
2016/09/22,34469
2016/09/23,38733
2016/09/24,38526
2016/09/25,40354
2016/09/26,40516
2016/09/27,40087
2016/09/28,38313
2016/09/29,37705
2016/09/30,22583
2016/10/01,27821
2016/10/02,28141
2016/10/03,25788
2016/10/04,49858
2016/10/05,51901
2016/10/06,54273
2016/10/07,442215
2016/10/08,1275113
2016/10/09,2047038
2016/10/10,8923608
2016/10/11,8757332
2016/10/12,8842041
2016/10/13,8878917
2016/10/14,8888531
2016/10/15,9030252
2016/10/16,9126373
2016/10/17,9206661
2016/10/18,9282589
2016/10/19,9315909
2016/10/20,9411635
2016/10/21,9444147
2016/10/22,9090891
2016/10/23,8461418
2016/10/24,148694
2016/10/25,38135
2016/10/26,34678
2016/10/27,32098
2016/10/28,31367
2016/10/29,25927
2016/10/30,22865
2016/10/31,20949
2016/11/01,19512
2016/11/02,18901
2016/11/03,18855
2016/11/04,20353
2016/11/05,20331
2016/11/06,20398
2016/11/07,14234
2016/11/08,11063
2016/11/09,10481
2016/11/10,10284
2016/11/11,10260
2016/11/12,10285
2016/11/13,10260
2016/11/14,10859
2016/11/15,7945
2016/11/16,7849
2016/11/17,7871
2016/11/18,5501
2016/11/19,5263
2016/11/20,2915
2016/11/21,2647
2016/11/22,5849
2016/11/23,18946
2016/11/24,19697
2016/11/25,22825
2016/11/26,21831
2016/11/27,22433
2016/11/28,24029
2016/11/29,24749
2016/11/30,48013
2016/12/01,50000
2016/12/02,51135
2016/12/03,50093
2016/12/04,52083
2016/12/05,52869
2016/12/06,52438
2016/12/07,44753
2016/12/08,44951
2016/12/09,43077
2016/12/10,44215
2016/12/11,43830
2016/12/12,42226
2016/12/13,40683
2016/12/14,14249
2016/12/15,13632
2016/12/16,13357
2016/12/17,13131
2016/12/18,14400
2016/12/19,14825
2016/12/20,14331
2016/12/21,18150
2016/12/22,19634
2016/12/23,19464
2016/12/24,21143
2016/12/25,24060
2016/12/26,27971
2016/12/27,28024
2016/12/28,20896
2016/12/29,22530
2016/12/30,23281
2016/12/31,22431
2017/01/01,21364
2017/01/02,21205
2017/01/03,21909
2017/01/04,20312
2017/01/05,17914
2017/01/06,18252
2017/01/07,16214
2017/01/08,12336
2017/01/09,6984
2017/01/10,7669
2017/01/11,7406
2017/01/12,7651
2017/01/13,8825
2017/01/14,9331
2017/01/15,6889
2017/01/16,5319
2017/01/17,5360
2017/01/18,4618
2017/01/19,4410
2017/01/20,4415
2017/01/21,4977
2017/01/22,4898
2017/01/23,4910
2017/01/24,6056
2017/01/25,6141
