Date,mediantransactionvalue7varUSD
2016/01/01,0.296
2016/01/02,0.335
2016/01/03,0.231
2016/01/04,0.23
2016/01/05,0.376
2016/01/06,0.376
2016/01/07,0.462
2016/01/08,0.387
2016/01/09,0.35
2016/01/10,0.343
2016/01/11,0.34
2016/01/12,0.329
2016/01/13,0.329
2016/01/14,0.206
2016/01/15,0.26
2016/01/16,0.282
2016/01/17,0.3
2016/01/18,0.306
2016/01/19,0.339
2016/01/20,0.195
2016/01/21,0.215
2016/01/22,0.215
2016/01/23,0.292
2016/01/24,0.415
2016/01/25,0.401
2016/01/26,0.147
2016/01/27,0.434
2016/01/28,0.452
2016/01/29,0.41
2016/01/30,0.448
2016/01/31,0.452
2016/02/01,0.452
2016/02/02,0.434
2016/02/03,0.033
2016/02/04,0.031
2016/02/05,0.03
2016/02/06,0.911
2016/02/07,0.97
2016/02/08,1.198
2016/02/09,1.522
2016/02/10,2.753
2016/02/11,3.292
2016/02/12,4.921
2016/02/13,1.937
2016/02/14,1.324
2016/02/15,0.844
2016/02/16,0.448
2016/02/17,0.787
2016/02/18,0.948
2016/02/19,0.375
2016/02/20,0.357
2016/02/21,0.311
2016/02/22,0.204
2016/02/23,0.432
2016/02/24,0.457
2016/02/25,0.543
2016/02/26,0.435
2016/02/27,0.325
2016/02/28,0.25
2016/02/29,0.168
2016/03/01,0.254
2016/03/02,0.612
2016/03/03,1.632
2016/03/04,1.742
2016/03/05,4.589
2016/03/06,4.52
2016/03/07,3.357
2016/03/08,2.089
2016/03/09,1.385
2016/03/10,2.002
2016/03/11,1.547
2016/03/12,2.006
2016/03/13,3.175
2016/03/14,3.512
2016/03/15,2.244
2016/03/16,1.353
2016/03/17,1.658
2016/03/18,1.976
2016/03/19,3.02
2016/03/20,3.067
2016/03/21,2.114
2016/03/22,1.634
2016/03/23,0.526
2016/03/24,0.339
2016/03/25,0.391
2016/03/26,0.371
2016/03/27,0.275
2016/03/28,0.276
2016/03/29,0.272
2016/03/30,0.247
2016/03/31,0.319
2016/04/01,0.218
2016/04/02,0.105
2016/04/03,0.044
2016/04/04,0.038
2016/04/05,0.208
2016/04/06,0.253
2016/04/07,0.282
2016/04/08,0.425
2016/04/09,0.472
2016/04/10,0.631
2016/04/11,0.661
2016/04/12,0.981
2016/04/13,0.974
2016/04/14,0.623
2016/04/15,0.395
2016/04/16,0.124
2016/04/17,0.116
2016/04/18,0.223
2016/04/19,0.289
2016/04/20,0.218
2016/04/21,0.217
2016/04/22,0.236
2016/04/23,0.257
2016/04/24,0.179
2016/04/25,0.159
2016/04/26,0.144
2016/04/27,0.102
2016/04/28,0.089
2016/04/29,0.088
2016/04/30,0.102
2016/05/01,0.204
2016/05/02,0.61
2016/05/03,0.814
2016/05/04,0.851
2016/05/05,0.659
2016/05/06,0.293
2016/05/07,0.098
2016/05/08,0.021
2016/05/09,0.02
