Date,fee_to_reward7stdUSD
2016/01/01,0.173
2016/01/02,0.182
2016/01/03,0.137
2016/01/04,0.139
2016/01/05,0.156
2016/01/06,0.134
2016/01/07,0.155
2016/01/08,0.147
2016/01/09,0.136
2016/01/10,0.128
2016/01/11,0.123
2016/01/12,0.121
2016/01/13,0.115
2016/01/14,0.087
2016/01/15,0.088
2016/01/16,0.089
2016/01/17,0.095
2016/01/18,0.094
2016/01/19,0.095
2016/01/20,0.045
2016/01/21,0.046
2016/01/22,0.05
2016/01/23,0.053
2016/01/24,0.048
2016/01/25,0.063
2016/01/26,0.064
2016/01/27,0.094
2016/01/28,0.089
2016/01/29,0.088
2016/01/30,0.069
2016/01/31,0.053
2016/02/01,0.057
2016/02/02,0.062
2016/02/03,0.033
2016/02/04,0.025
2016/02/05,0.024
2016/02/06,0.237
2016/02/07,0.235
2016/02/08,0.233
2016/02/09,0.227
2016/02/10,0.217
2016/02/11,0.209
2016/02/12,0.212
2016/02/13,0.061
2016/02/14,0.071
2016/02/15,0.075
2016/02/16,0.071
2016/02/17,0.041
2016/02/18,0.03
2016/02/19,0.031
2016/02/20,0.035
2016/02/21,0.035
2016/02/22,0.035
2016/02/23,0.161
2016/02/24,0.164
2016/02/25,0.163
2016/02/26,0.162
2016/02/27,0.161
2016/02/28,0.16
2016/02/29,0.158
2016/03/01,0.066
2016/03/02,0.05
2016/03/03,0.049
2016/03/04,0.023
2016/03/05,0.018
2016/03/06,0.015
2016/03/07,0.019
2016/03/08,0.02
2016/03/09,0.026
2016/03/10,0.041
2016/03/11,0.048
2016/03/12,0.047
2016/03/13,0.032
2016/03/14,0.03
2016/03/15,0.023
2016/03/16,0.022
2016/03/17,0.022
2016/03/18,0.019
2016/03/19,0.038
2016/03/20,0.039
2016/03/21,0.039
2016/03/22,0.037
2016/03/23,0.032
2016/03/24,0.036
2016/03/25,0.034
2016/03/26,0.028
2016/03/27,0.043
2016/03/28,0.045
2016/03/29,0.046
2016/03/30,0.047
2016/03/31,0.042
2016/04/01,0.033
2016/04/02,0.032
2016/04/03,0.033
2016/04/04,0.032
2016/04/05,0.034
2016/04/06,0.022
2016/04/07,0.021
2016/04/08,0.021
2016/04/09,0.02
2016/04/10,0.018
2016/04/11,0.019
2016/04/12,0.012
2016/04/13,0.027
2016/04/14,0.032
2016/04/15,0.032
2016/04/16,0.035
2016/04/17,0.035
2016/04/18,0.034
2016/04/19,0.036
2016/04/20,0.03
2016/04/21,0.029
2016/04/22,0.029
2016/04/23,0.027
2016/04/24,0.022
2016/04/25,0.022
2016/04/26,0.02
2016/04/27,0.021
2016/04/28,0.008
2016/04/29,0.009
2016/04/30,0.021
2016/05/01,0.036
2016/05/02,0.035
2016/05/03,0.034
2016/05/04,0.029
2016/05/05,0.026
2016/05/06,0.024
2016/05/07,0.027
2016/05/08,0.02
2016/05/09,0.02
2016/05/10,0.02
2016/05/11,0.021
2016/05/12,0.029
2016/05/13,0.038
2016/05/14,0.034
2016/05/15,0.033
2016/05/16,0.031
2016/05/17,0.031
2016/05/18,0.03
2016/05/19,0.028
2016/05/20,0.021
2016/05/21,0.021
2016/05/22,0.023
2016/05/23,0.022
2016/05/24,0.021
2016/05/25,0.021
2016/05/26,0.022
2016/05/27,0.021
2016/05/28,0.088
2016/05/29,0.085
2016/05/30,0.084
2016/05/31,0.082
2016/06/01,0.083
2016/06/02,0.088
2016/06/03,0.092
2016/06/04,0.029
2016/06/05,0.02
2016/06/06,0.018
2016/06/07,0.088
2016/06/08,0.089
2016/06/09,0.088
2016/06/10,0.087
2016/06/11,0.085
2016/06/12,0.083
2016/06/13,0.081
2016/06/14,0.025
2016/06/15,0.024
2016/06/16,0.03
2016/06/17,0.379
2016/06/18,0.534
2016/06/19,0.522
2016/06/20,0.514
2016/06/21,0.499
2016/06/22,0.486
2016/06/23,0.492
2016/06/24,0.422
2016/06/25,0.083
2016/06/26,0.091
2016/06/27,0.093
2016/06/28,0.046
2016/06/29,0.059
2016/06/30,0.126
2016/07/01,0.126
2016/07/02,0.129
2016/07/03,0.127
2016/07/04,0.127
2016/07/05,0.128
2016/07/06,0.126
2016/07/07,0.037
2016/07/08,0.027
2016/07/09,0.043
2016/07/10,0.045
2016/07/11,0.044
2016/07/12,0.043
2016/07/13,0.046
2016/07/14,0.044
2016/07/15,0.042
2016/07/16,0.02
2016/07/17,0.027
2016/07/18,0.027
2016/07/19,0.024
2016/07/20,0.106
2016/07/21,0.106
2016/07/22,0.106
2016/07/23,0.102
2016/07/24,0.094
2016/07/25,0.088
2016/07/26,0.084
2016/07/27,0.027
2016/07/28,0.056
2016/07/29,0.055
2016/07/30,0.057
2016/07/31,0.063
2016/08/01,0.067
2016/08/02,0.066
2016/08/03,0.067
2016/08/04,0.031
2016/08/05,0.011
2016/08/06,0.015
2016/08/07,0.017
2016/08/08,0.052
2016/08/09,0.052
2016/08/10,0.052
2016/08/11,0.052
2016/08/12,0.052
2016/08/13,0.053
2016/08/14,0.055
2016/08/15,0.02
2016/08/16,0.02
2016/08/17,0.017
2016/08/18,0.021
2016/08/19,0.021
2016/08/20,0.02
2016/08/21,0.017
2016/08/22,0.015
2016/08/23,0.09
2016/08/24,0.09
2016/08/25,0.09
2016/08/26,0.089
2016/08/27,0.088
2016/08/28,0.09
2016/08/29,0.09
2016/08/30,0.014
2016/08/31,0.014
2016/09/01,0.014
2016/09/02,0.034
2016/09/03,0.035
2016/09/04,0.047
2016/09/05,0.048
2016/09/06,0.048
2016/09/07,0.046
2016/09/08,0.047
2016/09/09,0.044
2016/09/10,0.044
2016/09/11,0.034
2016/09/12,0.031
2016/09/13,0.032
2016/09/14,0.032
2016/09/15,0.028
2016/09/16,0.036
2016/09/17,0.033
2016/09/18,0.029
2016/09/19,0.037
2016/09/20,0.036
2016/09/21,0.037
2016/09/22,0.067
2016/09/23,0.066
2016/09/24,0.09
2016/09/25,0.094
2016/09/26,0.154
2016/09/27,0.149
2016/09/28,0.12
2016/09/29,0.135
2016/09/30,0.139
2016/10/01,0.142
2016/10/02,0.141
2016/10/03,0.101
2016/10/04,0.101
2016/10/05,0.101
2016/10/06,0.094
2016/10/07,0.09
2016/10/08,0.086
2016/10/09,0.077
2016/10/10,0.076
2016/10/11,0.041
2016/10/12,0.035
2016/10/13,0.114
2016/10/14,0.116
2016/10/15,0.115
2016/10/16,0.115
2016/10/17,0.113
2016/10/18,0.104
2016/10/19,0.074
2016/10/20,0.077
2016/10/21,0.1
2016/10/22,0.13
2016/10/23,0.149
2016/10/24,0.146
2016/10/25,0.111
2016/10/26,0.052
2016/10/27,0.045
2016/10/28,0.044
2016/10/29,0.039
2016/10/30,0.035
2016/10/31,0.023
2016/11/01,0.023
2016/11/02,0.025
2016/11/03,0.027
2016/11/04,0.035
2016/11/05,0.037
2016/11/06,0.04
2016/11/07,0.039
2016/11/08,0.02
2016/11/09,0.027
2016/11/10,0.032
2016/11/11,0.04
2016/11/12,0.036
2016/11/13,0.028
2016/11/14,0.025
2016/11/15,0.022
2016/11/16,0.022
2016/11/17,0.025
2016/11/18,0.016
2016/11/19,0.021
2016/11/20,0.021
2016/11/21,0.019
2016/11/22,0.021
2016/11/23,0.099
2016/11/24,0.103
2016/11/25,0.102
2016/11/26,0.101
2016/11/27,0.136
2016/11/28,0.15
2016/11/29,0.128
2016/11/30,0.162
2016/12/01,0.19
2016/12/02,0.21
2016/12/03,0.228
2016/12/04,0.208
2016/12/05,0.143
2016/12/06,0.022
2016/12/07,0.022
2016/12/08,0.024
2016/12/09,0.022
2016/12/10,0.018
2016/12/11,0.015
2016/12/12,0.015
2016/12/13,0.016
2016/12/14,0.016
2016/12/15,0.015
2016/12/16,0.016
2016/12/17,0.013
2016/12/18,0.014
2016/12/19,0.018
2016/12/20,0.029
2016/12/21,0.051
2016/12/22,0.051
2016/12/23,0.051
2016/12/24,0.056
2016/12/25,0.06
2016/12/26,0.066
2016/12/27,0.063
2016/12/28,0.036
2016/12/29,0.037
2016/12/30,0.048
2016/12/31,0.046
2017/01/01,0.045
2017/01/02,0.04
2017/01/03,0.042
2017/01/04,0.043
2017/01/05,0.041
2017/01/06,0.032
2017/01/07,0.032
2017/01/08,0.026
2017/01/09,0.021
2017/01/10,0.02
2017/01/11,0.017
2017/01/12,0.018
2017/01/13,0.017
2017/01/14,0.018
2017/01/15,0.021
2017/01/16,0.021
2017/01/17,0.022
2017/01/18,0.022
2017/01/19,0.021
2017/01/20,0.021
2017/01/21,0.019
2017/01/22,0.018
2017/01/23,0.018
2017/01/24,0.021
2017/01/25,0.022
2017/01/26,0.019
2017/01/27,0.018
2017/01/28,0.014
2017/01/29,0.019
2017/01/30,0.02
2017/01/31,0.014
2017/02/01,0.015
2017/02/02,0.015
2017/02/03,0.014
2017/02/04,0.014
2017/02/05,0.013
2017/02/06,0.012
2017/02/07,0.025
2017/02/08,0.029
2017/02/09,0.029
2017/02/10,0.032
2017/02/11,0.027
2017/02/12,0.022
2017/02/13,0.043
2017/02/14,0.044
2017/02/15,0.059
2017/02/16,0.061
2017/02/17,0.064
2017/02/18,0.06
2017/02/19,0.063
2017/02/20,0.055
2017/02/21,0.059
2017/02/22,0.04
2017/02/23,0.038
2017/02/24,0.036
2017/02/25,0.036
2017/02/26,0.034
2017/02/27,0.032
2017/02/28,0.026
2017/03/01,0.027
2017/03/02,0.033
2017/03/03,0.031
2017/03/04,0.032
2017/03/05,0.026
2017/03/06,0.029
2017/03/07,0.029
2017/03/08,0.027
2017/03/09,0.02
2017/03/10,0.03
2017/03/11,0.029
2017/03/12,0.029
2017/03/13,0.065
2017/03/14,0.078
2017/03/15,0.068
2017/03/16,0.082
2017/03/17,0.087
2017/03/18,0.074
2017/03/19,0.063
2017/03/20,0.069
2017/03/21,0.068
2017/03/22,0.07
2017/03/23,0.053
2017/03/24,0.025
2017/03/25,0.025
2017/03/26,0.025
2017/03/27,0.042
2017/03/28,0.042
2017/03/29,0.041
