Date,difficulty30trx
2016/10/16,0.53
2016/10/17,0.542
2016/10/18,0.554
2016/10/19,0.565
2016/10/20,0.575
2016/10/21,0.589
2016/10/22,0.605
2016/10/23,0.621
2016/10/24,0.638
2016/10/25,0.655
2016/10/26,0.673
2016/10/27,0.69
2016/10/28,0.705
2016/10/29,0.711
2016/10/30,0.708
2016/10/31,0.699
2016/11/01,0.681
2016/11/02,0.654
2016/11/03,0.619
2016/11/04,0.575
2016/11/05,0.524
2016/11/06,0.468
2016/11/07,0.409
2016/11/08,0.353
2016/11/09,0.3
2016/11/10,0.247
2016/11/11,0.195
2016/11/12,0.144
2016/11/13,0.095
2016/11/14,0.051
2016/11/15,0.011
2016/11/16,-0.026
2016/11/17,-0.061
2016/11/18,-0.093
2016/11/19,-0.12
2016/11/20,-0.142
2016/11/21,-0.156
2016/11/22,-0.165
2016/11/23,-0.172
2016/11/24,-0.179
2016/11/25,-0.187
2016/11/26,-0.195
2016/11/27,-0.204
2016/11/28,-0.212
2016/11/29,-0.219
2016/11/30,-0.226
2016/12/01,-0.231
2016/12/02,-0.235
2016/12/03,-0.237
2016/12/04,-0.236
2016/12/05,-0.233
2016/12/06,-0.231
2016/12/07,-0.227
2016/12/08,-0.221
2016/12/09,-0.213
2016/12/10,-0.201
2016/12/11,-0.187
2016/12/12,-0.172
2016/12/13,-0.155
2016/12/14,-0.137
2016/12/15,-0.118
2016/12/16,-0.098
2016/12/17,-0.077
2016/12/18,-0.054
2016/12/19,-0.03
2016/12/20,-0.004
2016/12/21,0.022
2016/12/22,0.048
2016/12/23,0.071
2016/12/24,0.09
2016/12/25,0.106
2016/12/26,0.119
2016/12/27,0.131
2016/12/28,0.141
2016/12/29,0.148
2016/12/30,0.153
2016/12/31,0.157
2017/01/01,0.159
2017/01/02,0.161
2017/01/03,0.162
2017/01/04,0.165
2017/01/05,0.17
2017/01/06,0.177
2017/01/07,0.187
2017/01/08,0.198
2017/01/09,0.212
2017/01/10,0.229
2017/01/11,0.247
2017/01/12,0.266
2017/01/13,0.287
2017/01/14,0.308
2017/01/15,0.33
2017/01/16,0.353
2017/01/17,0.375
2017/01/18,0.397
2017/01/19,0.418
2017/01/20,0.439
2017/01/21,0.461
2017/01/22,0.481
2017/01/23,0.502
2017/01/24,0.521
2017/01/25,0.54
2017/01/26,0.557
2017/01/27,0.574
2017/01/28,0.589
2017/01/29,0.602
2017/01/30,0.614
2017/01/31,0.624
2017/02/01,0.632
2017/02/02,0.64
2017/02/03,0.645
2017/02/04,0.65
2017/02/05,0.654
2017/02/06,0.658
2017/02/07,0.663
2017/02/08,0.667
2017/02/09,0.671
2017/02/10,0.676
2017/02/11,0.681
2017/02/12,0.686
2017/02/13,0.691
2017/02/14,0.697
2017/02/15,0.704
2017/02/16,0.709
2017/02/17,0.716
2017/02/18,0.723
2017/02/19,0.73
2017/02/20,0.737
2017/02/21,0.745
2017/02/22,0.753
2017/02/23,0.761
2017/02/24,0.768
2017/02/25,0.774
2017/02/26,0.782
2017/02/27,0.79
2017/02/28,0.799
2017/03/01,0.809
2017/03/02,0.818
2017/03/03,0.829
2017/03/04,0.839
2017/03/05,0.851
2017/03/06,0.863
2017/03/07,0.875
2017/03/08,0.887
2017/03/09,0.901
2017/03/10,0.914
2017/03/11,0.927
2017/03/12,0.939
2017/03/13,0.952
2017/03/14,0.964
2017/03/15,0.975
2017/03/16,0.986
2017/03/17,0.998
2017/03/18,1.011
2017/03/19,1.022
2017/03/20,1.034
2017/03/21,1.045
2017/03/22,1.056
2017/03/23,1.067
2017/03/24,1.079
2017/03/25,1.09
2017/03/26,1.102
2017/03/27,1.116
2017/03/28,1.131
2017/03/29,1.146
2017/03/30,1.162
2017/03/31,1.177
2017/04/01,1.192
2017/04/02,1.206
2017/04/03,1.215
2017/04/04,1.222
2017/04/05,1.229
2017/04/06,1.235
2017/04/07,1.239
2017/04/08,1.243
2017/04/09,1.245
2017/04/10,1.246
2017/04/11,1.247
2017/04/12,1.246
