Date,mediantransactionvalue30wmaUSD
2016/06/12,12.049
2016/06/13,12.352
2016/06/14,12.662
2016/06/15,13.047
2016/06/16,13.494
2016/06/17,13.002
2016/06/18,12.7
2016/06/19,12.528
2016/06/20,12.275
2016/06/21,12.269
2016/06/22,12.411
2016/06/23,12.478
2016/06/24,12.165
2016/06/25,12.319
2016/06/26,12.055
2016/06/27,12.179
2016/06/28,12.227
2016/06/29,11.671
2016/06/30,10.96
2016/07/01,10.977
2016/07/02,10.989
2016/07/03,10.996
2016/07/04,10.986
2016/07/05,10.902
2016/07/06,10.834
2016/07/07,10.738
2016/07/08,10.516
2016/07/09,10.477
2016/07/10,10.448
2016/07/11,10.406
2016/07/12,10.333
2016/07/13,10.293
2016/07/14,10.023
2016/07/15,10.112
2016/07/16,9.903
2016/07/17,9.993
2016/07/18,10.073
2016/07/19,10.165
2016/07/20,9.677
2016/07/21,9.655
2016/07/22,9.878
2016/07/23,10.108
2016/07/24,10.337
2016/07/25,10.54
2016/07/26,10.724
2016/07/27,10.865
2016/07/28,11.021
2016/07/29,11.062
2016/07/30,11.123
2016/07/31,11.204
2016/08/01,11.249
2016/08/02,11.216
2016/08/03,10.772
2016/08/04,10.782
2016/08/05,10.805
2016/08/06,10.812
2016/08/07,10.831
2016/08/08,10.847
2016/08/09,10.909
2016/08/10,10.922
2016/08/11,10.841
2016/08/12,10.602
2016/08/13,10.402
2016/08/14,10.454
2016/08/15,10.386
2016/08/16,9.992
2016/08/17,9.672
2016/08/18,9.348
2016/08/19,9.138
2016/08/20,9.002
2016/08/21,8.857
2016/08/22,8.658
2016/08/23,8.387
2016/08/24,8.082
2016/08/25,7.742
2016/08/26,7.451
2016/08/27,7.195
2016/08/28,7.295
2016/08/29,7.001
2016/08/30,6.782
2016/08/31,6.786
2016/09/01,7.072
2016/09/02,6.735
2016/09/03,6.786
2016/09/04,6.648
2016/09/05,6.852
2016/09/06,6.646
2016/09/07,6.326
2016/09/08,6.048
2016/09/09,5.784
2016/09/10,5.913
2016/09/11,6.272
2016/09/12,6.331
2016/09/13,6.685
2016/09/14,6.446
2016/09/15,6.207
2016/09/16,5.99
2016/09/17,6.018
2016/09/18,6.269
2016/09/19,6.698
2016/09/20,7.167
2016/09/21,7.632
2016/09/22,7.324
2016/09/23,7.752
2016/09/24,8.14
2016/09/25,8.516
2016/09/26,8.857
2016/09/27,9.19
2016/09/28,9.531
2016/09/29,9.853
2016/09/30,10.157
2016/10/01,9.933
2016/10/02,10.231
2016/10/03,10.512
