Date,mediantransactionvalueUSD
2016/10/17,11.933
2016/10/18,7.422
2016/10/19,12.113
2016/10/20,12.092
2016/10/21,3.246
2016/10/22,12.08
2016/10/23,11.996
2016/10/24,4.148
2016/10/25,8.109
2016/10/26,11.5
2016/10/27,11.404
2016/10/28,11.256
2016/10/29,10.662
2016/10/30,10.638
2016/10/31,11.144
2016/11/01,5.681
2016/11/02,6.959
2016/11/03,10.898
2016/11/04,11.012
2016/11/05,11.046
2016/11/06,11.002
2016/11/07,10.877
2016/11/08,10.844
2016/11/09,10.631
2016/11/10,10.553
2016/11/11,10.387
2016/11/12,10.112
2016/11/13,10.066
2016/11/14,10.003
2016/11/15,10.013
2016/11/16,10.149
2016/11/17,9.966
2016/11/18,9.674
2016/11/19,9.615
2016/11/20,9.564
2016/11/21,9.561
2016/11/22,2.017
2016/11/23,0.584
2016/11/24,9.481
2016/11/25,0.0329
2016/11/26,7.407
2016/11/27,3.24
2016/11/28,3.624
2016/11/29,4.069
2016/11/30,5.37
2016/12/01,8.442
2016/12/02,7.951
2016/12/03,7.874
2016/12/04,6.601
2016/12/05,7.222
2016/12/06,6.822
2016/12/07,7.736
2016/12/08,8.477
2016/12/09,8.356
2016/12/10,8.28
2016/12/11,8.175
2016/12/12,8.329
2016/12/13,4.456
2016/12/14,3.357
2016/12/15,4.383
2016/12/16,4.546
2016/12/17,7.625
2016/12/18,7.824
2016/12/19,3.929
2016/12/20,5.217
2016/12/21,3.445
2016/12/22,1.644
2016/12/23,7.151
2016/12/24,7.238
2016/12/25,7.195
2016/12/26,7.217
2016/12/27,4.941
2016/12/28,4.753
2016/12/29,8.087
2016/12/30,4.5
2016/12/31,7.996
2017/01/01,8.239
2017/01/02,8.183
2017/01/03,5.773
2017/01/04,10.446
2017/01/05,10.481
2017/01/06,10.018
2017/01/07,9.784
2017/01/08,9.985
2017/01/09,10.427
2017/01/10,6.241
2017/01/11,10.038
2017/01/12,4.752
2017/01/13,3.19
2017/01/14,9.057
2017/01/15,4.819
2017/01/16,9.605
2017/01/17,6.323
2017/01/18,10.17
2017/01/19,10.236
2017/01/20,10.484
2017/01/21,10.706
2017/01/22,5.28
2017/01/23,7.095
2017/01/24,3.559
2017/01/25,5.193
2017/01/26,5.244
2017/01/27,5.643
2017/01/28,5.187
2017/01/29,9.136
2017/01/30,5.55
2017/01/31,10.554
2017/02/01,6.304
2017/02/02,10.617
2017/02/03,10.717
2017/02/04,11.214
2017/02/05,9.371
2017/02/06,9.779
2017/02/07,4.842
2017/02/08,5.264
2017/02/09,8.64
2017/02/10,6.779
2017/02/11,6.845
2017/02/12,10.607
2017/02/13,5.616
2017/02/14,7.457
2017/02/15,10.433
2017/02/16,12.714
2017/02/17,11.197
2017/02/18,12.709
2017/02/19,11.456
2017/02/20,8.748
2017/02/21,4.009
2017/02/22,6.589
2017/02/23,12.745
2017/02/24,11.487
2017/02/25,7.666
2017/02/26,13.582
2017/02/27,14.661
2017/02/28,15.684
2017/03/01,15.89
2017/03/02,18.073
2017/03/03,19.758
2017/03/04,19.398
2017/03/05,18.812
2017/03/06,19.49
2017/03/07,9.576
2017/03/08,17.922
2017/03/09,9.249
2017/03/10,18.163
2017/03/11,19.765
2017/03/12,22.29
2017/03/13,27.218
2017/03/14,28.382
2017/03/15,30.212
2017/03/16,40.418
2017/03/17,46.275
2017/03/18,39.164
2017/03/19,39.421
2017/03/20,43.436
2017/03/21,40.087
2017/03/22,41.254
2017/03/23,25.395
2017/03/24,46.269
2017/03/25,50.565
2017/03/26,29.287
2017/03/27,13.987
2017/03/28,26.669
2017/03/29,22.573
2017/03/30,32.582
2017/03/31,38.512
2017/04/01,25.183
2017/04/02,49.814
2017/04/03,45.646
2017/04/04,43.079
2017/04/05,42.544
2017/04/06,44.206
2017/04/07,10.252
2017/04/08,23.316
2017/04/09,16.411
2017/04/10,27.081
2017/04/11,21.443
2017/04/12,21.89
2017/04/13,24.623
2017/04/14,20.875
2017/04/15,19.239
2017/04/16,14.568
2017/04/17,24.417
2017/04/18,24.737
2017/04/19,25.195
2017/04/20,16.348
2017/04/21,14.996
2017/04/22,24.057
2017/04/23,21.019
2017/04/24,35.095
2017/04/25,12.296
2017/04/26,21.161
2017/04/27,17.662
2017/04/28,28.496
2017/04/29,35.01
2017/04/30,39.364
2017/05/01,39.575
2017/05/02,38.615
2017/05/03,38.693
2017/05/04,48.001
2017/05/05,92.199
2017/05/06,64.463
2017/05/07,76.732
2017/05/08,88.45
2017/05/09,83.588
2017/05/10,55.592
2017/05/11,34.286
2017/05/12,47.166
2017/05/13,32.371
2017/05/14,38.792
2017/05/15,24.136
2017/05/16,52.13
2017/05/17,85.301
2017/05/18,32.123
2017/05/19,76.025
2017/05/20,32.332
2017/05/21,38.593
2017/05/22,87.954
2017/05/23,63.308
2017/05/24,93.047
2017/05/25,97.163
2017/05/26,85.18
2017/05/27,74.893
2017/05/28,35.08
2017/05/29,57.507
2017/05/30,91.035
2017/05/31,226.055
2017/06/01,99.093
2017/06/02,46.617
2017/06/03,78.457
2017/06/04,60.434
2017/06/05,99.094
2017/06/06,91.037
2017/06/07,54.968
2017/06/08,57.336
2017/06/09,58.485
2017/06/10,112.787
2017/06/11,124.038
2017/06/12,227.659
2017/06/13,133.7
2017/06/14,116.57
2017/06/15,136.977
2017/06/16,81.516
2017/06/17,82.148
2017/06/18,73.539
2017/06/19,75.167
2017/06/20,360.596
2017/06/21,334.861
2017/06/22,120.106
2017/06/23,98.019
2017/06/24,99.252
2017/06/25,61.426
