Date,sentbyaddress7var
2016/01/01,7325
2016/01/02,7408
2016/01/03,5134
2016/01/04,5237
2016/01/05,5180
2016/01/06,2574
2016/01/07,2972
2016/01/08,1374
2016/01/09,1321
2016/01/10,4841
2016/01/11,7808
2016/01/12,14354
2016/01/13,12710
2016/01/14,12729
2016/01/15,12019
2016/01/16,20490
2016/01/17,38152
2016/01/18,36700
2016/01/19,27036
2016/01/20,43619
2016/01/21,46427
2016/01/22,32420
2016/01/23,38455
2016/01/24,48571
2016/01/25,70461
2016/01/26,80130
2016/01/27,81276
2016/01/28,51468
2016/01/29,19154
2016/01/30,13250
2016/01/31,13310
2016/02/01,11753
2016/02/02,1555
2016/02/03,1460
2016/02/04,1343
2016/02/05,1360
2016/02/06,2089
2016/02/07,3184
2016/02/08,13353
2016/02/09,32398
2016/02/10,181514
2016/02/11,292520
2016/02/12,318553
2016/02/13,234380
2016/02/14,162590
2016/02/15,109442
2016/02/16,78982
2016/02/17,79977
2016/02/18,49948
2016/02/19,17823
2016/02/20,5655
2016/02/21,79987
2016/02/22,86344
2016/02/23,87364
2016/02/24,82453
2016/02/25,93252
2016/02/26,75988
2016/02/27,34685
2016/02/28,28983
2016/02/29,130006
2016/03/01,253970
2016/03/02,323016
2016/03/03,448572
2016/03/04,402663
2016/03/05,465906
2016/03/06,310463
2016/03/07,231284
2016/03/08,201926
2016/03/09,159398
2016/03/10,161151
2016/03/11,143396
2016/03/12,95740
2016/03/13,87359
2016/03/14,30896
2016/03/15,32203
2016/03/16,67538
2016/03/17,37932
2016/03/18,52289
2016/03/19,85357
2016/03/20,94012
2016/03/21,97024
2016/03/22,111036
2016/03/23,108444
2016/03/24,112439
2016/03/25,56380
2016/03/26,82761
2016/03/27,86054
2016/03/28,47050
2016/03/29,340858
2016/03/30,580411
2016/03/31,545853
2016/04/01,493031
2016/04/02,432403
2016/04/03,488024
2016/04/04,480367
2016/04/05,316922
2016/04/06,69796
2016/04/07,68099
2016/04/08,67123
2016/04/09,49568
2016/04/10,44317
2016/04/11,47955
2016/04/12,49421
2016/04/13,77086
2016/04/14,70662
2016/04/15,76112
2016/04/16,109196
2016/04/17,83300
2016/04/18,80751
2016/04/19,79850
2016/04/20,46102
2016/04/21,44379
2016/04/22,34837
2016/04/23,5125
2016/04/24,4339
2016/04/25,15449
2016/04/26,27171
2016/04/27,32917
2016/04/28,28009
2016/04/29,721400
2016/04/30,1405713
2016/05/01,1350902
2016/05/02,1512294
2016/05/03,1275750
2016/05/04,873343
2016/05/05,225392
2016/05/06,242912
2016/05/07,177079
2016/05/08,175001
2016/05/09,62472
2016/05/10,86263
2016/05/11,394348
2016/05/12,635830
2016/05/13,1471642
2016/05/14,1203221
2016/05/15,968387
2016/05/16,894627
2016/05/17,733607
2016/05/18,737557
2016/05/19,758606
2016/05/20,311466
2016/05/21,297370
2016/05/22,536345
2016/05/23,564722
2016/05/24,569011
2016/05/25,530258
2016/05/26,6953398
2016/05/27,6960543
2016/05/28,11094654
2016/05/29,9565490
2016/05/30,9856330
2016/05/31,9617975
2016/06/01,9703152
2016/06/02,6804450
2016/06/03,7230013
2016/06/04,368415
2016/06/05,427398
2016/06/06,371116
2016/06/07,145085
2016/06/08,100128
2016/06/09,98056
2016/06/10,94935
2016/06/11,139450
2016/06/12,136144
2016/06/13,717657
2016/06/14,1228403
2016/06/15,1224571
2016/06/16,1207889
2016/06/17,4382732
2016/06/18,3959133
2016/06/19,3155801
2016/06/20,3429954
2016/06/21,3520274
2016/06/22,3026144
2016/06/23,3503866
2016/06/24,1918518
2016/06/25,934286
2016/06/26,1108229
2016/06/27,1210643
2016/06/28,1004134
2016/06/29,252107
2016/06/30,222972
2016/07/01,214963
2016/07/02,194466
2016/07/03,148079
2016/07/04,136832
2016/07/05,120456
2016/07/06,107489
2016/07/07,79241
2016/07/08,52351
2016/07/09,49435
2016/07/10,98689
2016/07/11,95789
2016/07/12,58182
2016/07/13,53863
2016/07/14,57737
2016/07/15,53668
2016/07/16,153352
2016/07/17,371586
2016/07/18,362163
2016/07/19,12919711
2016/07/20,12992096
2016/07/21,12785314
2016/07/22,12530408
2016/07/23,11122257
2016/07/24,10117663
2016/07/25,7318810
2016/07/26,7268932
2016/07/27,7227567
2016/07/28,5950882
2016/07/29,6133481
2016/07/30,6958425
2016/07/31,7235054
2016/08/01,7598829
2016/08/02,2732528
2016/08/03,1643079
2016/08/04,1174370
2016/08/05,1487913
2016/08/06,1601099
2016/08/07,1889472
2016/08/08,1883971
2016/08/09,642041
2016/08/10,448673
2016/08/11,674586
2016/08/12,709074
2016/08/13,895271
2016/08/14,907869
2016/08/15,943603
2016/08/16,766992
2016/08/17,776089
2016/08/18,219349
2016/08/19,218942
2016/08/20,129876
2016/08/21,121266
2016/08/22,184787
2016/08/23,258870
2016/08/24,257826
2016/08/25,405135
2016/08/26,380693
2016/08/27,393489
2016/08/28,363360
2016/08/29,173933
2016/08/30,142993
2016/08/31,147842
2016/09/01,399048
2016/09/02,390933
2016/09/03,457350
2016/09/04,479967
2016/09/05,564938
2016/09/06,597013
2016/09/07,583345
2016/09/08,503235
2016/09/09,396950
2016/09/10,423428
2016/09/11,400272
2016/09/12,375986
2016/09/13,358324
2016/09/14,351227
2016/09/15,53736
2016/09/16,168422
2016/09/17,105535
2016/09/18,265604
2016/09/19,600075
2016/09/20,3025546
2016/09/21,3733524
2016/09/22,4119491
2016/09/23,4297200
2016/09/24,4351905
2016/09/25,4176360
2016/09/26,3681733
2016/09/27,1488893
2016/09/28,69949
2016/09/29,175237
2016/09/30,311514
2016/10/01,378427
2016/10/02,509295
2016/10/03,474265
2016/10/04,1217575
2016/10/05,1787180
2016/10/06,1655498
2016/10/07,1305079
2016/10/08,1444485
2016/10/09,1523667
2016/10/10,1958334
2016/10/11,1417589
2016/10/12,2845300
2016/10/13,6372489
2016/10/14,6206303
2016/10/15,6144170
2016/10/16,4747808
2016/10/17,3265006
2016/10/18,5519375
2016/10/19,4969824
2016/10/20,3631810
2016/10/21,4888531
2016/10/22,3644151
2016/10/23,2930836
2016/10/24,2730340
2016/10/25,2359429
2016/10/26,1206748
2016/10/27,971845
2016/10/28,122199
2016/10/29,79887
2016/10/30,158740
2016/10/31,478782
2016/11/01,1137500
2016/11/02,1255861
2016/11/03,1266576
2016/11/04,2206048
2016/11/05,2310798
2016/11/06,2727485
2016/11/07,2286399
2016/11/08,931130
2016/11/09,975851
2016/11/10,629065
2016/11/11,434585
2016/11/12,434366
2016/11/13,336239
2016/11/14,435084
2016/11/15,432364
2016/11/16,414355
2016/11/17,348639
2016/11/18,322470
2016/11/19,392416
2016/11/20,79314
2016/11/21,72978
2016/11/22,24020586
2016/11/23,71938028
2016/11/24,76499161
2016/11/25,84064856
2016/11/26,87803382
2016/11/27,91338978
2016/11/28,92300830
2016/11/29,87056734
2016/11/30,33538053
2016/12/01,32323471
2016/12/02,344660
2016/12/03,823715
2016/12/04,1031380
2016/12/05,1019058
2016/12/06,1297189
2016/12/07,1494930
2016/12/08,1460326
2016/12/09,1381046
2016/12/10,1378674
2016/12/11,1048147
2016/12/12,1047870
2016/12/13,386478
2016/12/14,535916
2016/12/15,984372
2016/12/16,967396
2016/12/17,827106
2016/12/18,865586
2016/12/19,847351
2016/12/20,674156
2016/12/21,665217
2016/12/22,265345
2016/12/23,277297
2016/12/24,380049
2016/12/25,704502
2016/12/26,941387
2016/12/27,844013
2016/12/28,566970
2016/12/29,479542
2016/12/30,504286
2016/12/31,671568
2017/01/01,633338
2017/01/02,450369
2017/01/03,458505
2017/01/04,1512377
2017/01/05,1952762
2017/01/06,2184323
2017/01/07,2165351
2017/01/08,1412871
2017/01/09,1075106
2017/01/10,1115031
2017/01/11,797331
2017/01/12,643082
2017/01/13,408124
2017/01/14,530486
2017/01/15,725900
2017/01/16,507742
2017/01/17,504691
2017/01/18,483186
2017/01/19,371871
2017/01/20,482930
2017/01/21,440364
2017/01/22,288933
2017/01/23,208994
2017/01/24,209819
2017/01/25,231945
2017/01/26,205273
2017/01/27,69684
2017/01/28,81585
2017/01/29,136548
2017/01/30,141146
2017/01/31,112215
2017/02/01,124554
2017/02/02,197111
2017/02/03,188597
2017/02/04,228981
2017/02/05,125599
2017/02/06,154095
2017/02/07,121931
2017/02/08,98752
2017/02/09,99546
2017/02/10,147054
2017/02/11,226697
2017/02/12,226427
2017/02/13,775771
2017/02/14,1031519
2017/02/15,1108469
2017/02/16,964366
2017/02/17,969523
2017/02/18,536930
2017/02/19,500385
2017/02/20,394413
2017/02/21,303695
2017/02/22,211133
2017/02/23,232012
2017/02/24,308731
2017/02/25,220230
2017/02/26,127427
2017/02/27,300988
2017/02/28,1701504
2017/03/01,2950571
2017/03/02,14334931
2017/03/03,14211891
2017/03/04,11798796
2017/03/05,9043288
2017/03/06,7116860
2017/03/07,7768159
2017/03/08,8361139
2017/03/09,1268955
2017/03/10,1216992
2017/03/11,1307066
2017/03/12,2244369
2017/03/13,10992025
2017/03/14,10173650
2017/03/15,8247544
2017/03/16,21601863
2017/03/17,27103620
2017/03/18,19067449
2017/03/19,14706850
2017/03/20,15959959
2017/03/21,14874772
2017/03/22,16099477
2017/03/23,10805863
2017/03/24,3485220
2017/03/25,2215452
2017/03/26,2667945
2017/03/27,2895038
2017/03/28,2899023
2017/03/29,2460463
2017/03/30,3891824
2017/03/31,14403032
