Date,transactionvalue30stdUSD
2016/01/01,49.857
2016/01/02,49.851
2016/01/03,49.914
2016/01/04,49.981
2016/01/05,51.288
2016/01/06,50.929
2016/01/07,51.071
2016/01/08,51.216
2016/01/09,51.3
2016/01/10,51.472
2016/01/11,50.912
2016/01/12,58.29
2016/01/13,58.186
2016/01/14,58.207
2016/01/15,52.599
2016/01/16,54.04
2016/01/17,54.346
2016/01/18,95.367
2016/01/19,100.223
2016/01/20,100.862
2016/01/21,100.49
2016/01/22,101.199
2016/01/23,110.422
2016/01/24,144.626
2016/01/25,163.595
2016/01/26,170.06
2016/01/27,170.952
2016/01/28,170.148
2016/01/29,168.049
2016/01/30,168.77
2016/01/31,170.057
2016/02/01,167.749
2016/02/02,165.975
2016/02/03,162.45
2016/02/04,162.587
2016/02/05,158.806
2016/02/06,158.572
2016/02/07,155.715
2016/02/08,165.824
2016/02/09,178.913
2016/02/10,216.151
2016/02/11,234.523
2016/02/12,294.696
2016/02/13,293.802
2016/02/14,293.533
2016/02/15,289.404
2016/02/16,288.196
2016/02/17,288.798
2016/02/18,287.555
2016/02/19,285.485
2016/02/20,281.938
2016/02/21,280.688
2016/02/22,280.116
2016/02/23,292.102
2016/02/24,323.219
2016/02/25,323.609
2016/02/26,452.842
2016/02/27,474.813
2016/02/28,470.896
2016/02/29,469.218
2016/03/01,468.164
2016/03/02,562.222
2016/03/03,574.322
2016/03/04,569.698
2016/03/05,621.748
2016/03/06,613.927
2016/03/07,597.143
2016/03/08,602.167
2016/03/09,598.471
2016/03/10,597.153
2016/03/11,597.387
2016/03/12,601.219
2016/03/13,624.898
2016/03/14,627.445
2016/03/15,619.967
2016/03/16,609.354
2016/03/17,605.424
2016/03/18,590.069
2016/03/19,592.062
2016/03/20,586.739
2016/03/21,587.705
2016/03/22,576.878
2016/03/23,578.032
2016/03/24,586.18
2016/03/25,604.431
2016/03/26,620.021
2016/03/27,582.278
2016/03/28,585.94
2016/03/29,579.154
2016/03/30,569.487
2016/03/31,572.401
2016/04/01,528.379
2016/04/02,530.969
2016/04/03,546.891
2016/04/04,487.345
2016/04/05,486.454
2016/04/06,482.677
2016/04/07,453.089
2016/04/08,456.904
2016/04/09,456.802
2016/04/10,455.632
2016/04/11,440.148
2016/04/12,362.275
2016/04/13,319.603
2016/04/14,303.925
2016/04/15,292.608
2016/04/16,269.123
2016/04/17,193.623
2016/04/18,194.744
2016/04/19,198.292
2016/04/20,197.192
2016/04/21,201.345
2016/04/22,201.599
2016/04/23,200.105
2016/04/24,204.363
2016/04/25,201.011
2016/04/26,187.422
2016/04/27,186.773
2016/04/28,166.005
2016/04/29,142.384
2016/04/30,172.063
2016/05/01,184.076
