Date,difficulty7std
2016/01/01,100489495057
2016/01/02,291175436112
2016/01/03,302494375997
2016/01/04,304344958320
2016/01/05,272799483571
2016/01/06,264287039567
2016/01/07,244177116259
2016/01/08,164159541627
2016/01/09,141804101640
2016/01/10,140952768383
2016/01/11,372763160872
2016/01/12,489396131584
2016/01/13,486528657966
2016/01/14,446314862170
2016/01/15,469688857053
2016/01/16,548131771322
2016/01/17,436403613493
2016/01/18,583718577865
2016/01/19,695205110105
2016/01/20,534429472849
2016/01/21,436994770781
2016/01/22,500404584222
2016/01/23,603309362478
2016/01/24,549506803356
2016/01/25,635498036424
2016/01/26,762782932844
2016/01/27,773826327182
2016/01/28,601418402828
2016/01/29,593198832346
2016/01/30,543606613212
2016/01/31,399289269362
2016/02/01,320420538795
2016/02/02,307447043853
2016/02/03,312683288087
2016/02/04,272520633876
2016/02/05,352372355541
2016/02/06,352814360126
2016/02/07,321347033206
2016/02/08,518902304641
2016/02/09,436337554969
2016/02/10,513200728095
2016/02/11,720977663914
2016/02/12,713772531159
2016/02/13,692482399341
2016/02/14,781116545501
2016/02/15,1043657197442
2016/02/16,942195334596
2016/02/17,888332935878
2016/02/18,854590772588
2016/02/19,538421315597
2016/02/20,431172461126
2016/02/21,467018565879
2016/02/22,693658429401
2016/02/23,978175924115
2016/02/24,1065638472572
2016/02/25,825962145647
2016/02/26,814417227278
2016/02/27,931723148232
2016/02/28,941303868333
2016/02/29,1037155845793
2016/03/01,995494964558
2016/03/02,940736065569
2016/03/03,902374855222
2016/03/04,1120219765893
2016/03/05,1399320493252
2016/03/06,1873166257794
2016/03/07,1995753774913
2016/03/08,1747508134515
2016/03/09,1510929103574
2016/03/10,1276219294593
2016/03/11,1296274876372
2016/03/12,1622104645850
2016/03/13,2070154795347
2016/03/14,2051520771270
2016/03/15,2021771681124
2016/03/16,2047464518217
2016/03/17,2039980498796
2016/03/18,2074983565280
2016/03/19,1952343556203
2016/03/20,1681114947051
2016/03/21,1324476738938
2016/03/22,1319472316814
2016/03/23,1075690868096
2016/03/24,1012574271731
2016/03/25,1371363983246
2016/03/26,1734336551140
2016/03/27,2211129594746
2016/03/28,2275884326007
2016/03/29,2443672580939
2016/03/30,1897475084969
2016/03/31,1844749275461
2016/04/01,1776977238411
2016/04/02,1580583240226
2016/04/03,1645793833155
2016/04/04,1688620582079
2016/04/05,1855716043229
2016/04/06,1734540124855
2016/04/07,1640292645710
2016/04/08,1709361605975
2016/04/09,1610382101300
2016/04/10,1595644734375
2016/04/11,1657162952517
2016/04/12,1618653243868
2016/04/13,1689879754767
2016/04/14,1012109825151
2016/04/15,1249233474803
2016/04/16,1689227806167
2016/04/17,1734373565375
2016/04/18,2089878447252
2016/04/19,1871575664989
2016/04/20,1831778922775
2016/04/21,1851359494911
2016/04/22,1611887192288
2016/04/23,1681608081441
2016/04/24,996996838115
2016/04/25,1130969757237
2016/04/26,1212884070541
2016/04/27,1123127819762
2016/04/28,1376948044560
2016/04/29,1306938281277
2016/04/30,1929402624084
2016/05/01,2340505725906
2016/05/02,2231315329426
2016/05/03,2300766507564
2016/05/04,1869561797285
2016/05/05,1535049166700
2016/05/06,1337342498566
2016/05/07,1345058340467
