Date,confirmationtime90rsi
2016/01/01,52.992
2016/01/02,52.17
2016/01/03,52.026
2016/01/04,52.156
2016/01/05,52.043
2016/01/06,52.169
2016/01/07,52.562
2016/01/08,51.806
2016/01/09,52.075
2016/01/10,52.096
2016/01/11,52.041
2016/01/12,52.698
2016/01/13,52.397
2016/01/14,52.04
2016/01/15,52.062
2016/01/16,52.205
2016/01/17,52.243
2016/01/18,52.092
2016/01/19,52.482
2016/01/20,52.197
2016/01/21,52.494
2016/01/22,52.3
2016/01/23,52.62
2016/01/24,51.59
2016/01/25,52.72
2016/01/26,51.567
2016/01/27,52.212
2016/01/28,51.892
2016/01/29,52.196
2016/01/30,52.041
2016/01/31,52.627
2016/02/01,51.994
2016/02/02,52.234
2016/02/03,51.218
2016/02/04,51.739
2016/02/05,51.802
2016/02/06,52.038
2016/02/07,51.609
2016/02/08,51.672
2016/02/09,51.737
2016/02/10,52.124
2016/02/11,51.862
2016/02/12,51.8
2016/02/13,51.534
2016/02/14,51.965
2016/02/15,52.03
2016/02/16,51.797
2016/02/17,52.535
2016/02/18,51.853
2016/02/19,51.697
2016/02/20,51.614
2016/02/21,51.596
2016/02/22,51.375
2016/02/23,51.965
2016/02/24,51.677
2016/02/25,51.218
2016/02/26,51.537
2016/02/27,51.82
2016/02/28,51.64
2016/02/29,52.613
2016/03/01,51.456
2016/03/02,51.298
2016/03/03,51.619
2016/03/04,51.71
2016/03/05,51.027
2016/03/06,52.072
2016/03/07,51.487
2016/03/08,51.528
2016/03/09,51.657
2016/03/10,50.685
2016/03/11,51.263
2016/03/12,51.454
2016/03/13,50.693
2016/03/14,51.038
2016/03/15,47.771
2016/03/16,47.633
2016/03/17,47.464
2016/03/18,47.862
2016/03/19,47.498
2016/03/20,47.68
2016/03/21,47.792
2016/03/22,47.554
2016/03/23,47.885
2016/03/24,47.49
2016/03/25,47.609
2016/03/26,47.519
2016/03/27,47.688
2016/03/28,47.854
2016/03/29,47.818
2016/03/30,47.697
2016/03/31,47.791
2016/04/01,47.592
2016/04/02,48.127
2016/04/03,47.788
2016/04/04,47.617
2016/04/05,47.813
2016/04/06,47.922
2016/04/07,48.118
2016/04/08,47.598
2016/04/09,48.242
2016/04/10,47.775
2016/04/11,48.265
2016/04/12,47.985
2016/04/13,47.985
2016/04/14,47.964
2016/04/15,47.827
2016/04/16,47.985
2016/04/17,48.001
2016/04/18,47.853
2016/04/19,48.203
2016/04/20,47.897
2016/04/21,48.143
2016/04/22,47.986
2016/04/23,47.909
2016/04/24,48.203
2016/04/25,47.729
2016/04/26,48.367
2016/04/27,47.936
2016/04/28,48.07
2016/04/29,48.07
2016/04/30,47.959
2016/05/01,48.465
2016/05/02,47.907
2016/05/03,48.019
2016/05/04,48.344
2016/05/05,48.109
2016/05/06,48.175
2016/05/07,48.329
2016/05/08,48.064
2016/05/09,48.095
2016/05/10,48.242
2016/05/11,48.701
2016/05/12,47.902
2016/05/13,48.061
2016/05/14,48.553
2016/05/15,48.302
2016/05/16,48.557
2016/05/17,48.074
2016/05/18,48.111
2016/05/19,48.358
2016/05/20,48.241
2016/05/21,48.513
2016/05/22,48.048
2016/05/23,48.391
2016/05/24,48.405
2016/05/25,48.317
2016/05/26,48.367
2016/05/27,48.245
2016/05/28,48.377
2016/05/29,48.469
2016/05/30,48.44
2016/05/31,48.815
2016/06/01,48.302
2016/06/02,48.142
2016/06/03,48.368
2016/06/04,48.438
2016/06/05,48.725
2016/06/06,47.997
2016/06/07,48.625
2016/06/08,48.12
2016/06/09,48.115
2016/06/10,49.147
2016/06/11,48.072
2016/06/12,48.329
2016/06/13,48.235
2016/06/14,48.498
2016/06/15,48.65
2016/06/16,48.609
2016/06/17,49.541
2016/06/18,49.318
2016/06/19,47.624
2016/06/20,49.06
2016/06/21,48.803
2016/06/22,48.112
2016/06/23,48.823
2016/06/24,48.627
2016/06/25,48.862
2016/06/26,48.586
2016/06/27,48.586
2016/06/28,48.51
2016/06/29,48.928
2016/06/30,48.961
2016/07/01,48.22
2016/07/02,48.901
2016/07/03,48.679
2016/07/04,48.563
2016/07/05,49.228
2016/07/06,48.484
2016/07/07,48.773
2016/07/08,48.998
2016/07/09,48.309
2016/07/10,48.754
2016/07/11,48.85
2016/07/12,48.982
2016/07/13,48.546
2016/07/14,49.034
2016/07/15,49.109
2016/07/16,48.594
2016/07/17,48.895
2016/07/18,48.455
2016/07/19,49.265
2016/07/20,49.408
2016/07/21,48.254
2016/07/22,49.384
2016/07/23,48.635
2016/07/24,49.526
2016/07/25,49.008
2016/07/26,50.284
2016/07/27,48.307
2016/07/28,48.807
2016/07/29,49.361
2016/07/30,49.35
2016/07/31,49.092
2016/08/01,49.472
2016/08/02,49.853
2016/08/03,49.349
2016/08/04,48.265
2016/08/05,48.948
2016/08/06,49.428
2016/08/07,48.9
2016/08/08,48.999
2016/08/09,48.628
2016/08/10,49.046
2016/08/11,48.971
2016/08/12,49.276
2016/08/13,49.176
2016/08/14,49.165
2016/08/15,48.855
2016/08/16,49.063
2016/08/17,49.327
2016/08/18,48.814
2016/08/19,49.318
2016/08/20,49.083
2016/08/21,48.918
2016/08/22,48.954
2016/08/23,49.334
2016/08/24,49.11
2016/08/25,48.871
2016/08/26,49.41
2016/08/27,48.993
2016/08/28,49.245
2016/08/29,49.376
2016/08/30,49.303
2016/08/31,49.016
2016/09/01,49.549
2016/09/02,48.941
2016/09/03,49.822
2016/09/04,49.358
2016/09/05,49.035
2016/09/06,49.561
2016/09/07,48.799
2016/09/08,49.438
2016/09/09,49.083
2016/09/10,49.558
2016/09/11,48.981
2016/09/12,49.17
2016/09/13,49.554
2016/09/14,49.008
2016/09/15,49.39
2016/09/16,49.178
2016/09/17,49.314
2016/09/18,52.281
2016/09/19,47.463
2016/09/20,48.756
2016/09/21,49.335
2016/09/22,51.137
2016/09/23,48.554
2016/09/24,50.357
2016/09/25,48.451
2016/09/26,50.522
2016/09/27,49.491
2016/09/28,49.245
2016/09/29,49.153
2016/09/30,49.722
2016/10/01,50.861
2016/10/02,49.445
2016/10/03,48.84
2016/10/04,49.423
2016/10/05,50.666
2016/10/06,50.003
2016/10/07,50.318
2016/10/08,48.898
2016/10/09,49.573
2016/10/10,49.61
2016/10/11,49.569
2016/10/12,50.23
2016/10/13,49.288
2016/10/14,49.448
2016/10/15,49.69
2016/10/16,49.56
2016/10/17,50.017
2016/10/18,49.273
2016/10/19,50.917
2016/10/20,48.568
2016/10/21,49.425
2016/10/22,49.671
2016/10/23,49.886
2016/10/24,49.566
2016/10/25,49.733
2016/10/26,49.431
2016/10/27,49.785
2016/10/28,50.134
2016/10/29,51.461
2016/10/30,49.6
2016/10/31,49.458
2016/11/01,50.596
2016/11/02,50.074
2016/11/03,50.083
2016/11/04,50.294
2016/11/05,49.871
2016/11/06,49.612
2016/11/07,48.522
2016/11/08,49.185
2016/11/09,50.227
2016/11/10,50.036
2016/11/11,49.918
2016/11/12,49.501
2016/11/13,49.003
2016/11/14,49.6
2016/11/15,49.876
2016/11/16,49.7
2016/11/17,50.521
2016/11/18,48.684
2016/11/19,49.271
2016/11/20,49.15
2016/11/21,49.613
2016/11/22,50.293
2016/11/23,50.687
2016/11/24,50.321
2016/11/25,49.439
2016/11/26,50.211
2016/11/27,50.178
2016/11/28,49.739
2016/11/29,49.984
2016/11/30,49.654
2016/12/01,49.672
2016/12/02,49.591
2016/12/03,49.213
2016/12/04,50.028
2016/12/05,49.929
2016/12/06,49.536
2016/12/07,49.611
2016/12/08,49.373
2016/12/09,49.726
2016/12/10,49.609
2016/12/11,49.5
2016/12/12,49.981
2016/12/13,49.637
2016/12/14,49.589
2016/12/15,49.98
2016/12/16,49.615
2016/12/17,49.417
2016/12/18,49.516
2016/12/19,49.839
2016/12/20,49.652
2016/12/21,49.647
2016/12/22,50.241
2016/12/23,50.252
2016/12/24,49.974
2016/12/25,49.35
2016/12/26,49.667
2016/12/27,50.027
2016/12/28,49.72
2016/12/29,49.584
2016/12/30,49.685
2016/12/31,50.066
2017/01/01,49.433
2017/01/02,49.719
2017/01/03,49.845
2017/01/04,49.277
2017/01/05,49.549
2017/01/06,50.002
2017/01/07,49.461
2017/01/08,49.648
2017/01/09,49.604
2017/01/10,49.898
2017/01/11,49.801
2017/01/12,49.75
2017/01/13,49.467
2017/01/14,49.692
2017/01/15,49.589
2017/01/16,49.784
2017/01/17,50.083
2017/01/18,49.706
2017/01/19,49.168
2017/01/20,50.328
2017/01/21,49.829
2017/01/22,49.717
2017/01/23,49.819
2017/01/24,49.886
2017/01/25,50.053
2017/01/26,49.618
2017/01/27,50.212
2017/01/28,49.729
2017/01/29,50.369
2017/01/30,49.543
2017/01/31,50.009
2017/02/01,50.064
2017/02/02,49.828
2017/02/03,50.186
2017/02/04,49.635
2017/02/05,49.641
2017/02/06,49.813
2017/02/07,50.147
2017/02/08,49.704
2017/02/09,49.949
2017/02/10,49.877
2017/02/11,49.891
2017/02/12,49.752
2017/02/13,49.68
2017/02/14,49.997
2017/02/15,49.555
2017/02/16,49.805
2017/02/17,50.079
2017/02/18,50.17
2017/02/19,50.029
2017/02/20,50.057
2017/02/21,49.796
2017/02/22,50.396
2017/02/23,50.027
2017/02/24,50.084
2017/02/25,49.881
2017/02/26,49.524
2017/02/27,50.258
2017/02/28,49.405
2017/03/01,50.475
2017/03/02,49.734
2017/03/03,50.126
2017/03/04,50.278
2017/03/05,49.645
2017/03/06,50.336
2017/03/07,50.328
2017/03/08,50.048
2017/03/09,50.696
2017/03/10,50.514
2017/03/11,50.137
2017/03/12,50.756
2017/03/13,49.85
2017/03/14,50.43
2017/03/15,50.242
2017/03/16,50.212
2017/03/17,49.794
2017/03/18,50.206
2017/03/19,50.517
2017/03/20,49.641
2017/03/21,50.456
2017/03/22,50.069
2017/03/23,50.778
2017/03/24,50.786
2017/03/25,50.401
2017/03/26,50.254
2017/03/27,50.493
2017/03/28,50.884
2017/03/29,50.183
2017/03/30,50.79
2017/03/31,50.304
2017/04/01,50.655
2017/04/02,51.287
2017/04/03,50.216
2017/04/04,50.579
2017/04/05,50.154
2017/04/06,50.979
2017/04/07,50.45
2017/04/08,50.528
2017/04/09,51.626
2017/04/10,51.938
2017/04/11,51.166
2017/04/12,51.722
2017/04/13,51.559
2017/04/14,50.648
2017/04/15,52.122
2017/04/16,51.29
2017/04/17,50.957
2017/04/18,50.957
2017/04/19,52.085
2017/04/20,50.917
2017/04/21,50.766
2017/04/22,51.433
2017/04/23,50.848
2017/04/24,51.958
2017/04/25,50.545
2017/04/26,52.504
2017/04/27,52.461
2017/04/28,52.001
2017/04/29,52.546
2017/04/30,52.358
2017/05/01,52.545
2017/05/02,52.585
2017/05/03,52.322
2017/05/04,52.322
2017/05/05,52.094
2017/05/06,52.067
2017/05/07,51.717
2017/05/08,52.354
2017/05/09,52.066
2017/05/10,52.265
2017/05/11,51.78
2017/05/12,51.896
2017/05/13,52.71
2017/05/14,54.315
2017/05/15,54.324
2017/05/16,53.757
2017/05/17,54.894
2017/05/18,53.515
2017/05/19,53.834
2017/05/20,53.205
2017/05/21,53.642
2017/05/22,53.34
2017/05/23,53.757
2017/05/24,53.678
2017/05/25,53.301
2017/05/26,53.036
2017/05/27,53.496
2017/05/28,53.356
2017/05/29,52.139
2017/05/30,52.121
2017/05/31,53.582
2017/06/01,54.77
2017/06/02,56.438
2017/06/03,55.137
2017/06/04,55.527
2017/06/05,54.586
2017/06/06,54.939
2017/06/07,54.614
2017/06/08,54.875
2017/06/09,54.821
2017/06/10,53.607
2017/06/11,54.348
2017/06/12,54.426
2017/06/13,54.063
2017/06/14,53.857
2017/06/15,53.723
2017/06/16,53.407
2017/06/17,53.914
2017/06/18,53.216
2017/06/19,53.332
2017/06/20,56.634
2017/06/21,57.25
2017/06/22,56.697
2017/06/23,57.188
2017/06/24,56.598
2017/06/25,56.717
2017/06/26,56.252
2017/06/27,55.83
2017/06/28,56.199
2017/06/29,55.431
2017/06/30,55.328
2017/07/01,55.579
2017/07/02,55.288
2017/07/03,55.08
2017/07/04,54.782
2017/07/05,55.662
2017/07/06,54.948
2017/07/07,54.516
2017/07/08,54.483
2017/07/09,54.403
2017/07/10,59.179
2017/07/11,59.888
