Date,sentbyaddress30sma
2016/01/01,1396
2016/01/02,1417
2016/01/03,1439
2016/01/04,1460
2016/01/05,1471
2016/01/06,1483
2016/01/07,1504
2016/01/08,1522
2016/01/09,1541
2016/01/10,1565
2016/01/11,1577
2016/01/12,1601
2016/01/13,1609
2016/01/14,1617
2016/01/15,1633
2016/01/16,1629
2016/01/17,1627
2016/01/18,1632
2016/01/19,1634
2016/01/20,1649
2016/01/21,1648
2016/01/22,1651
2016/01/23,1664
2016/01/24,1687
2016/01/25,1711
2016/01/26,1741
2016/01/27,1757
2016/01/28,1775
2016/01/29,1793
2016/01/30,1802
2016/01/31,1821
2016/02/01,1836
2016/02/02,1849
2016/02/03,1862
2016/02/04,1874
2016/02/05,1887
2016/02/06,1894
2016/02/07,1910
2016/02/08,1932
2016/02/09,1953
2016/02/10,1999
2016/02/11,2046
2016/02/12,2097
2016/02/13,2141
2016/02/14,2164
2016/02/15,2205
2016/02/16,2249
2016/02/17,2283
2016/02/18,2323
2016/02/19,2343
2016/02/20,2376
2016/02/21,2438
2016/02/22,2477
2016/02/23,2506
2016/02/24,2528
2016/02/25,2559
2016/02/26,2589
2016/02/27,2622
2016/02/28,2668
2016/02/29,2736
2016/03/01,2810
2016/03/02,2891
2016/03/03,2984
2016/03/04,3078
2016/03/05,3204
2016/03/06,3314
2016/03/07,3399
2016/03/08,3507
2016/03/09,3594
2016/03/10,3693
2016/03/11,3757
2016/03/12,3815
2016/03/13,3872
2016/03/14,3938
2016/03/15,4012
2016/03/16,4071
2016/03/17,4147
2016/03/18,4235
2016/03/19,4293
2016/03/20,4357
2016/03/21,4442
2016/03/22,4476
2016/03/23,4528
2016/03/24,4577
2016/03/25,4623
2016/03/26,4650
2016/03/27,4706
2016/03/28,4763
2016/03/29,4850
2016/03/30,4921
2016/03/31,4938
2016/04/01,4942
2016/04/02,4927
2016/04/03,4909
2016/04/04,4882
2016/04/05,4869
2016/04/06,4884
2016/04/07,4865
2016/04/08,4855
2016/04/09,4838
2016/04/10,4845
2016/04/11,4834
2016/04/12,4834
2016/04/13,4847
2016/04/14,4852
2016/04/15,4854
2016/04/16,4837
2016/04/17,4828
2016/04/18,4848
2016/04/19,4859
2016/04/20,4857
2016/04/21,4873
2016/04/22,4889
2016/04/23,4905
2016/04/24,4931
2016/04/25,4971
2016/04/26,4995
2016/04/27,5014
2016/04/28,4984
2016/04/29,5033
2016/04/30,5141
2016/05/01,5221
2016/05/02,5344
2016/05/03,5445
2016/05/04,5509
2016/05/05,5575
2016/05/06,5643
2016/05/07,5704
2016/05/08,5786
2016/05/09,5869
2016/05/10,5941
2016/05/11,6072
2016/05/12,6200
2016/05/13,6368
2016/05/14,6507
2016/05/15,6617
2016/05/16,6722
2016/05/17,6829
2016/05/18,6959
2016/05/19,7101
2016/05/20,7221
2016/05/21,7313
2016/05/22,7374
2016/05/23,7512
2016/05/24,7631
2016/05/25,7734
2016/05/26,8071
2016/05/27,8232
2016/05/28,8593
2016/05/29,8631
2016/05/30,8646
2016/05/31,8713
2016/06/01,8721
2016/06/02,8735
2016/06/03,8765
2016/06/04,8772
2016/06/05,8778
2016/06/06,8811
2016/06/07,8839
2016/06/08,8855
2016/06/09,8854
2016/06/10,8821
2016/06/11,8753
2016/06/12,8673
2016/06/13,8695
2016/06/14,8765
2016/06/15,8800
2016/06/16,8839
2016/06/17,9009
2016/06/18,9123
2016/06/19,9162
2016/06/20,9204
2016/06/21,9292
2016/06/22,9338
2016/06/23,9333
2016/06/24,9323
2016/06/25,9054
2016/06/26,8958
2016/06/27,8677
2016/06/28,8673
2016/06/29,8667
2016/06/30,8618
2016/07/01,8598
2016/07/02,8601
2016/07/03,8602
2016/07/04,8642
2016/07/05,8687
2016/07/06,8706
2016/07/07,8713
2016/07/08,8720
2016/07/09,8732
2016/07/10,8723
2016/07/11,8756
2016/07/12,8750
2016/07/13,8677
2016/07/14,8616
2016/07/15,8596
2016/07/16,8511
2016/07/17,8256
2016/07/18,8083
2016/07/19,8342
2016/07/20,8400
2016/07/21,8406
2016/07/22,8415
2016/07/23,8455
2016/07/24,8670
2016/07/25,8815
2016/07/26,9156
2016/07/27,9366
2016/07/28,9496
2016/07/29,9564
2016/07/30,9608
2016/07/31,9684
2016/08/01,9770
2016/08/02,9935
2016/08/03,10012
2016/08/04,10068
2016/08/05,10090
2016/08/06,10105
2016/08/07,10123
2016/08/08,10179
2016/08/09,10279
2016/08/10,10330
2016/08/11,10431
2016/08/12,10467
2016/08/13,10460
2016/08/14,10478
2016/08/15,10539
2016/08/16,10650
2016/08/17,10696
2016/08/18,10400
2016/08/19,10333
2016/08/20,10310
2016/08/21,10245
2016/08/22,10196
2016/08/23,10045
2016/08/24,9953
2016/08/25,9705
2016/08/26,9553
2016/08/27,9457
2016/08/28,9410
2016/08/29,9443
2016/08/30,9423
2016/08/31,9411
2016/09/01,9354
2016/09/02,9344
2016/09/03,9309
2016/09/04,9311
2016/09/05,9323
2016/09/06,9337
2016/09/07,9326
2016/09/08,9341
2016/09/09,9335
2016/09/10,9267
2016/09/11,9286
2016/09/12,9333
2016/09/13,9360
2016/09/14,9390
2016/09/15,9378
2016/09/16,9431
2016/09/17,9465
2016/09/18,9456
2016/09/19,9416
2016/09/20,9581
2016/09/21,9718
2016/09/22,9663
2016/09/23,9656
2016/09/24,9628
2016/09/25,9619
2016/09/26,9596
2016/09/27,9601
2016/09/28,9574
2016/09/29,9601
2016/09/30,9612
2016/10/01,9532
2016/10/02,9538
2016/10/03,9540
2016/10/04,9480
2016/10/05,9420
2016/10/06,9384
2016/10/07,9389
2016/10/08,9348
2016/10/09,9397
2016/10/10,9455
2016/10/11,9458
2016/10/12,9323
2016/10/13,9132
2016/10/14,9078
2016/10/15,8980
2016/10/16,8889
2016/10/17,8846
2016/10/18,8954
2016/10/19,8924
2016/10/20,8843
2016/10/21,8832
2016/10/22,8888
2016/10/23,8914
2016/10/24,8905
2016/10/25,8907
2016/10/26,8914
2016/10/27,8921
2016/10/28,8938
2016/10/29,8892
2016/10/30,8819
2016/10/31,8885
2016/11/01,8922
2016/11/02,8902
2016/11/03,8995
2016/11/04,8984
2016/11/05,8993
2016/11/06,8918
2016/11/07,8893
2016/11/08,8824
2016/11/09,8769
2016/11/10,8706
2016/11/11,8816
2016/11/12,8971
2016/11/13,9018
2016/11/14,9058
2016/11/15,9083
2016/11/16,9063
2016/11/17,8934
2016/11/18,8972
2016/11/19,8845
2016/11/20,8703
2016/11/21,8635
2016/11/22,9042
2016/11/23,9745
2016/11/24,9619
2016/11/25,10076
2016/11/26,9957
2016/11/27,9843
2016/11/28,9798
2016/11/29,9755
2016/11/30,9638
2016/12/01,9475
2016/12/02,9436
2016/12/03,9413
2016/12/04,9497
2016/12/05,9478
2016/12/06,9564
2016/12/07,9488
2016/12/08,9429
2016/12/09,9415
2016/12/10,9400
2016/12/11,9366
2016/12/12,9347
2016/12/13,9268
2016/12/14,9310
2016/12/15,9364
2016/12/16,9363
2016/12/17,9359
2016/12/18,9337
2016/12/19,9358
2016/12/20,9383
2016/12/21,9412
2016/12/22,8977
2016/12/23,8231
2016/12/24,8295
2016/12/25,7745
2016/12/26,7769
2016/12/27,7804
2016/12/28,7812
2016/12/29,7866
2016/12/30,7890
2016/12/31,7951
2017/01/01,7921
2017/01/02,7869
2017/01/03,7840
2017/01/04,7947
2017/01/05,7964
2017/01/06,8089
2017/01/07,8153
2017/01/08,8132
2017/01/09,8232
2017/01/10,8255
2017/01/11,8301
2017/01/12,8377
2017/01/13,8366
2017/01/14,8296
2017/01/15,8279
2017/01/16,8331
2017/01/17,8365
2017/01/18,8362
2017/01/19,8372
2017/01/20,8387
2017/01/21,8371
2017/01/22,8377
2017/01/23,8417
2017/01/24,8488
2017/01/25,8532
2017/01/26,8569
2017/01/27,8576
2017/01/28,8551
2017/01/29,8534
2017/01/30,8530
2017/01/31,8588
2017/02/01,8611
2017/02/02,8622
2017/02/03,8531
2017/02/04,8489
2017/02/05,8449
2017/02/06,8462
2017/02/07,8492
2017/02/08,8460
2017/02/09,8480
2017/02/10,8510
2017/02/11,8477
2017/02/12,8491
2017/02/13,8601
2017/02/14,8725
2017/02/15,8778
2017/02/16,8825
2017/02/17,8888
2017/02/18,8951
2017/02/19,8945
2017/02/20,9011
2017/02/21,9078
2017/02/22,9122
2017/02/23,9155
2017/02/24,9250
2017/02/25,9308
2017/02/26,9385
2017/02/27,9500
2017/02/28,9707
2017/03/01,9902
2017/03/02,10345
2017/03/03,10603
2017/03/04,10778
2017/03/05,10963
2017/03/06,11124
2017/03/07,11238
2017/03/08,11362
2017/03/09,11567
2017/03/10,11800
2017/03/11,11996
2017/03/12,12226
2017/03/13,12721
2017/03/14,13068
2017/03/15,13367
2017/03/16,13981
2017/03/17,14580
2017/03/18,15048
2017/03/19,15393
2017/03/20,15716
2017/03/21,16099
2017/03/22,16388
2017/03/23,16693
2017/03/24,17155
2017/03/25,17560
2017/03/26,17829
2017/03/27,18220
2017/03/28,18562
2017/03/29,18880
2017/03/30,19266
2017/03/31,19821
2017/04/01,19785
2017/04/02,20023
2017/04/03,20543
2017/04/04,20836
2017/04/05,21163
2017/04/06,21640
2017/04/07,21868
2017/04/08,21959
2017/04/09,21964
2017/04/10,22116
2017/04/11,22177
2017/04/12,22075
2017/04/13,22150
2017/04/14,22140
2017/04/15,21772
2017/04/16,21321
2017/04/17,21081
2017/04/18,21072
2017/04/19,21069
2017/04/20,21082
2017/04/21,21057
2017/04/22,20995
2017/04/23,20791
2017/04/24,20759
2017/04/25,20799
2017/04/26,20762
2017/04/27,21072
2017/04/28,21255
2017/04/29,21174
2017/04/30,20977
2017/05/01,21243
2017/05/02,21402
2017/05/03,21212
2017/05/04,21484
2017/05/05,21709
2017/05/06,21661
2017/05/07,21979
2017/05/08,22613
2017/05/09,23150
2017/05/10,23480
2017/05/11,23918
2017/05/12,24215
2017/05/13,24317
2017/05/14,24527
2017/05/15,24988
2017/05/16,25547
2017/05/17,26291
2017/05/18,26889
2017/05/19,27826
2017/05/20,28316
2017/05/21,28958
2017/05/22,29919
2017/05/23,30954
2017/05/24,31949
2017/05/25,32949
2017/05/26,33835
2017/05/27,34136
2017/05/28,34498
