Date,mediantransactionvalue7smaUSD
2016/10/16,10.132
2016/10/17,10.145
2016/10/18,9.499
2016/10/19,9.839
2016/10/20,11.4
2016/10/21,10.162
2016/10/22,10.137
2016/10/23,10.126
2016/10/24,9.014
2016/10/25,9.112
2016/10/26,9.025
2016/10/27,8.926
2016/10/28,10.071
2016/10/29,9.868
2016/10/30,9.674
2016/10/31,10.673
2016/11/01,10.326
2016/11/02,9.678
2016/11/03,9.605
2016/11/04,9.57
2016/11/05,9.625
2016/11/06,9.677
2016/11/07,9.639
2016/11/08,10.377
2016/11/09,10.901
2016/11/10,10.852
2016/11/11,10.763
2016/11/12,10.629
2016/11/13,10.496
2016/11/14,10.371
2016/11/15,10.252
2016/11/16,10.183
2016/11/17,10.099
2016/11/18,9.998
2016/11/19,9.927
2016/11/20,9.855
2016/11/21,9.792
2016/11/22,8.649
2016/11/23,7.283
2016/11/24,7.214
2016/11/25,5.836
2016/11/26,5.521
2016/11/27,4.618
2016/11/28,3.769
2016/11/29,4.063
2016/11/30,4.746
2016/12/01,4.598
2016/12/02,5.729
2016/12/03,5.796
2016/12/04,6.276
2016/12/05,6.79
2016/12/06,7.183
2016/12/07,7.521
2016/12/08,7.526
2016/12/09,7.584
2016/12/10,7.642
2016/12/11,7.867
2016/12/12,8.025
2016/12/13,7.687
2016/12/14,7.062
2016/12/15,6.477
2016/12/16,5.932
2016/12/17,5.839
2016/12/18,5.789
2016/12/19,5.16
2016/12/20,5.269
2016/12/21,5.281
2016/12/22,4.89
2016/12/23,5.262
2016/12/24,5.207
2016/12/25,5.117
2016/12/26,5.587
2016/12/27,5.547
2016/12/28,5.734
2016/12/29,6.655
2016/12/30,6.276
2016/12/31,6.384
2017/01/01,6.533
2017/01/02,6.671
2017/01/03,6.79
2017/01/04,7.604
2017/01/05,7.946
2017/01/06,8.734
2017/01/07,8.989
2017/01/08,9.239
2017/01/09,9.559
2017/01/10,9.626
2017/01/11,9.568
2017/01/12,8.749
2017/01/13,7.774
2017/01/14,7.67
2017/01/15,6.932
2017/01/16,6.815
2017/01/17,6.826
2017/01/18,6.845
2017/01/19,7.629
2017/01/20,8.671
2017/01/21,8.906
2017/01/22,8.972
2017/01/23,8.613
2017/01/24,8.219
2017/01/25,7.508
2017/01/26,6.794
2017/01/27,6.103
2017/01/28,5.314
2017/01/29,5.865
2017/01/30,5.645
2017/01/31,6.644
2017/02/01,6.803
2017/02/02,7.57
2017/02/03,8.295
2017/02/04,9.156
2017/02/05,9.19
2017/02/06,9.794
2017/02/07,8.978
2017/02/08,8.829
2017/02/09,8.547
2017/02/10,7.984
2017/02/11,7.36
2017/02/12,7.537
2017/02/13,6.942
2017/02/14,7.315
2017/02/15,8.054
2017/02/16,8.636
2017/02/17,9.267
2017/02/18,10.105
2017/02/19,10.226
2017/02/20,10.674
2017/02/21,10.181
2017/02/22,9.632
2017/02/23,9.636
2017/02/24,9.678
2017/02/25,8.957
2017/02/26,9.261
2017/02/27,10.105
2017/02/28,11.773
2017/03/01,13.102
2017/03/02,13.863
2017/03/03,15.045
2017/03/04,16.721
2017/03/05,17.468
2017/03/06,18.158
2017/03/07,17.285
2017/03/08,17.576
2017/03/09,16.315
2017/03/10,16.087
2017/03/11,16.14
2017/03/12,16.636
2017/03/13,17.74
2017/03/14,20.427
2017/03/15,22.182
2017/03/16,26.635
2017/03/17,30.651
2017/03/18,33.423
2017/03/19,35.87
2017/03/20,38.187
2017/03/21,39.859
2017/03/22,41.436
2017/03/23,39.29
2017/03/24,39.29
2017/03/25,40.918
2017/03/26,39.47
2017/03/27,35.263
2017/03/28,33.347
2017/03/29,30.678
2017/03/30,31.705
2017/03/31,30.596
2017/04/01,26.971
2017/04/02,29.903
2017/04/03,34.426
2017/04/04,36.77
2017/04/05,39.623
2017/04/06,41.283
2017/04/07,37.246
2017/04/08,36.979
2017/04/09,32.208
2017/04/10,29.556
2017/04/11,26.465
2017/04/12,23.514
2017/04/13,20.717
2017/04/14,22.234
2017/04/15,21.652
2017/04/16,21.388
2017/04/17,21.008
2017/04/18,21.478
2017/04/19,21.95
2017/04/20,20.768
2017/04/21,19.928
2017/04/22,20.617
2017/04/23,21.538
2017/04/24,23.064
2017/04/25,21.287
2017/04/26,20.71
2017/04/27,20.898
2017/04/28,22.827
2017/04/29,24.391
2017/04/30,27.012
2017/05/01,27.652
2017/05/02,31.412
2017/05/03,33.916
2017/05/04,38.25
2017/05/05,47.351
2017/05/06,51.558
2017/05/07,56.897
2017/05/08,63.879
2017/05/09,70.304
2017/05/10,72.718
2017/05/11,70.759
2017/05/12,64.325
2017/05/13,59.741
2017/05/14,54.321
2017/05/15,45.133
2017/05/16,40.639
2017/05/17,44.883
2017/05/18,44.574
2017/05/19,48.697
2017/05/20,48.691
2017/05/21,48.663
2017/05/22,57.78
2017/05/23,59.376
2017/05/24,60.483
2017/05/25,69.775
2017/05/26,71.082
2017/05/27,77.163
2017/05/28,76.661
2017/05/29,72.311
2017/05/30,76.272
2017/05/31,95.273
2017/06/01,95.549
2017/06/02,90.04
2017/06/03,90.549
2017/06/04,94.171
2017/06/05,100.112
2017/06/06,100.112
2017/06/07,75.671
2017/06/08,69.706
2017/06/09,71.402
2017/06/10,76.306
2017/06/11,85.392
2017/06/12,103.759
2017/06/13,109.853
2017/06/14,118.654
2017/06/15,130.031
2017/06/16,133.321
2017/06/17,128.944
2017/06/18,121.73
2017/06/19,99.945
2017/06/20,132.359
2017/06/21,163.544
2017/06/22,161.133
2017/06/23,163.491
2017/06/24,165.934
2017/06/25,164.204
2017/06/26,172.431
2017/06/27,128.742
2017/06/28,87.648
2017/06/29,78.317
2017/06/30,72.67
2017/07/01,66.129
2017/07/02,62.206
2017/07/03,47.843
