Date,mining_profitability90trx
2016/10/25,-0.376
2016/10/26,-0.378
2016/10/27,-0.38
2016/10/28,-0.382
2016/10/29,-0.384
2016/10/30,-0.385
2016/10/31,-0.387
2016/11/01,-0.389
2016/11/02,-0.391
2016/11/03,-0.392
2016/11/04,-0.393
2016/11/05,-0.394
2016/11/06,-0.394
2016/11/07,-0.394
2016/11/08,-0.394
2016/11/09,-0.394
2016/11/10,-0.394
2016/11/11,-0.393
2016/11/12,-0.393
2016/11/13,-0.392
2016/11/14,-0.392
2016/11/15,-0.391
2016/11/16,-0.39
2016/11/17,-0.39
2016/11/18,-0.389
2016/11/19,-0.388
2016/11/20,-0.388
2016/11/21,-0.387
2016/11/22,-0.387
2016/11/23,-0.387
2016/11/24,-0.386
2016/11/25,-0.386
2016/11/26,-0.386
2016/11/27,-0.385
2016/11/28,-0.385
2016/11/29,-0.385
2016/11/30,-0.384
2016/12/01,-0.384
2016/12/02,-0.384
2016/12/03,-0.384
2016/12/04,-0.384
2016/12/05,-0.385
2016/12/06,-0.385
2016/12/07,-0.385
2016/12/08,-0.386
2016/12/09,-0.386
2016/12/10,-0.387
2016/12/11,-0.388
2016/12/12,-0.389
2016/12/13,-0.389
2016/12/14,-0.39
2016/12/15,-0.391
2016/12/16,-0.392
2016/12/17,-0.393
2016/12/18,-0.394
2016/12/19,-0.396
2016/12/20,-0.397
2016/12/21,-0.399
2016/12/22,-0.4
2016/12/23,-0.402
2016/12/24,-0.403
2016/12/25,-0.405
2016/12/26,-0.407
2016/12/27,-0.408
2016/12/28,-0.41
2016/12/29,-0.412
2016/12/30,-0.413
2016/12/31,-0.415
2017/01/01,-0.416
2017/01/02,-0.418
2017/01/03,-0.419
2017/01/04,-0.42
2017/01/05,-0.421
2017/01/06,-0.422
2017/01/07,-0.423
2017/01/08,-0.424
2017/01/09,-0.425
2017/01/10,-0.426
2017/01/11,-0.426
2017/01/12,-0.427
2017/01/13,-0.428
2017/01/14,-0.428
2017/01/15,-0.429
2017/01/16,-0.43
2017/01/17,-0.43
2017/01/18,-0.431
2017/01/19,-0.432
2017/01/20,-0.432
2017/01/21,-0.433
2017/01/22,-0.433
2017/01/23,-0.434
2017/01/24,-0.434
2017/01/25,-0.434
2017/01/26,-0.435
2017/01/27,-0.435
2017/01/28,-0.435
2017/01/29,-0.435
2017/01/30,-0.436
2017/01/31,-0.436
2017/02/01,-0.436
2017/02/02,-0.436
2017/02/03,-0.436
2017/02/04,-0.436
2017/02/05,-0.436
2017/02/06,-0.436
2017/02/07,-0.436
2017/02/08,-0.436
2017/02/09,-0.436
2017/02/10,-0.436
2017/02/11,-0.436
2017/02/12,-0.436
2017/02/13,-0.435
2017/02/14,-0.435
2017/02/15,-0.435
2017/02/16,-0.435
2017/02/17,-0.434
2017/02/18,-0.434
2017/02/19,-0.433
2017/02/20,-0.433
2017/02/21,-0.432
2017/02/22,-0.432
2017/02/23,-0.431
2017/02/24,-0.431
2017/02/25,-0.43
2017/02/26,-0.429
2017/02/27,-0.428
2017/02/28,-0.428
2017/03/01,-0.427
2017/03/02,-0.425
2017/03/03,-0.424
2017/03/04,-0.422
2017/03/05,-0.421
2017/03/06,-0.419
2017/03/07,-0.417
2017/03/08,-0.415
2017/03/09,-0.412
2017/03/10,-0.41
2017/03/11,-0.408
2017/03/12,-0.405
2017/03/13,-0.402
2017/03/14,-0.399
2017/03/15,-0.395
2017/03/16,-0.391
2017/03/17,-0.385
2017/03/18,-0.379
2017/03/19,-0.373
2017/03/20,-0.365
2017/03/21,-0.358
2017/03/22,-0.349
2017/03/23,-0.341
2017/03/24,-0.331
2017/03/25,-0.322
2017/03/26,-0.311
2017/03/27,-0.3
2017/03/28,-0.289
2017/03/29,-0.278
2017/03/30,-0.266
2017/03/31,-0.254
2017/04/01,-0.241
2017/04/02,-0.229
2017/04/03,-0.216
2017/04/04,-0.204
2017/04/05,-0.192
2017/04/06,-0.179
2017/04/07,-0.167
2017/04/08,-0.156
2017/04/09,-0.144
2017/04/10,-0.133
2017/04/11,-0.122
2017/04/12,-0.111
2017/04/13,-0.1
2017/04/14,-0.089
2017/04/15,-0.079
2017/04/16,-0.069
2017/04/17,-0.059
2017/04/18,-0.049
2017/04/19,-0.04
2017/04/20,-0.03
2017/04/21,-0.021
2017/04/22,-0.012
2017/04/23,-0.004
2017/04/24,0.004
2017/04/25,0.012
2017/04/26,0.02
2017/04/27,0.027
2017/04/28,0.035
2017/04/29,0.042
2017/04/30,0.05
2017/05/01,0.058
2017/05/02,0.066
2017/05/03,0.074
2017/05/04,0.082
2017/05/05,0.091
2017/05/06,0.1
2017/05/07,0.109
2017/05/08,0.119
2017/05/09,0.128
2017/05/10,0.137
2017/05/11,0.146
2017/05/12,0.156
2017/05/13,0.165
2017/05/14,0.173
2017/05/15,0.182
2017/05/16,0.19
2017/05/17,0.198
2017/05/18,0.206
2017/05/19,0.213
2017/05/20,0.221
2017/05/21,0.23
2017/05/22,0.239
2017/05/23,0.248
2017/05/24,0.259
2017/05/25,0.271
2017/05/26,0.283
2017/05/27,0.295
2017/05/28,0.308
2017/05/29,0.321
2017/05/30,0.334
2017/05/31,0.348
2017/06/01,0.362
2017/06/02,0.377
2017/06/03,0.392
2017/06/04,0.406
2017/06/05,0.421
2017/06/06,0.436
2017/06/07,0.451
2017/06/08,0.466
2017/06/09,0.481
2017/06/10,0.496
2017/06/11,0.512
2017/06/12,0.528
2017/06/13,0.545
2017/06/14,0.562
2017/06/15,0.579
2017/06/16,0.596
2017/06/17,0.612
2017/06/18,0.628
2017/06/19,0.644
2017/06/20,0.659
2017/06/21,0.673
2017/06/22,0.687
2017/06/23,0.699
2017/06/24,0.71
2017/06/25,0.72
2017/06/26,0.729
2017/06/27,0.736
2017/06/28,0.742
2017/06/29,0.747
2017/06/30,0.751
2017/07/01,0.754
2017/07/02,0.756
2017/07/03,0.756
2017/07/04,0.756
2017/07/05,0.755
2017/07/06,0.753
2017/07/07,0.75
2017/07/08,0.746
2017/07/09,0.742
2017/07/10,0.736
2017/07/11,0.729
2017/07/12,0.722
2017/07/13,0.713
2017/07/14,0.704
2017/07/15,0.694
2017/07/16,0.683
2017/07/17,0.672
2017/07/18,0.66
2017/07/19,0.648
2017/07/20,0.635
2017/07/21,0.622
2017/07/22,0.609
2017/07/23,0.596
2017/07/24,0.583
2017/07/25,0.569
2017/07/26,0.555
2017/07/27,0.542
2017/07/28,0.527
2017/07/29,0.513
2017/07/30,0.499
2017/07/31,0.485
2017/08/01,0.47
2017/08/02,0.455
2017/08/03,0.441
2017/08/04,0.426
2017/08/05,0.412
2017/08/06,0.398
2017/08/07,0.384
2017/08/08,0.37
2017/08/09,0.356
2017/08/10,0.343
2017/08/11,0.33
2017/08/12,0.317
2017/08/13,0.304
2017/08/14,0.292
2017/08/15,0.28
2017/08/16,0.268
2017/08/17,0.256
2017/08/18,0.244
2017/08/19,0.233
2017/08/20,0.222
2017/08/21,0.211
2017/08/22,0.2
2017/08/23,0.19
2017/08/24,0.18
2017/08/25,0.169
2017/08/26,0.159
2017/08/27,0.15
2017/08/28,0.14
2017/08/29,0.13
2017/08/30,0.121
2017/08/31,0.112
2017/09/01,0.103
2017/09/02,0.094
2017/09/03,0.085
2017/09/04,0.077
2017/09/05,0.068
2017/09/06,0.06
2017/09/07,0.052
2017/09/08,0.044
2017/09/09,0.036
2017/09/10,0.027
2017/09/11,0.019
2017/09/12,0.011
2017/09/13,0.003
2017/09/14,-0.005
2017/09/15,-0.013
2017/09/16,-0.021
2017/09/17,-0.029
2017/09/18,-0.037
2017/09/19,-0.045
2017/09/20,-0.053
2017/09/21,-0.061
2017/09/22,-0.068
2017/09/23,-0.076
2017/09/24,-0.084
2017/09/25,-0.092
2017/09/26,-0.1
2017/09/27,-0.108
2017/09/28,-0.115
2017/09/29,-0.123
2017/09/30,-0.131
2017/10/01,-0.138
2017/10/02,-0.145
2017/10/03,-0.153
2017/10/04,-0.16
2017/10/05,-0.167
2017/10/06,-0.174
2017/10/07,-0.181
2017/10/08,-0.188
2017/10/09,-0.195
2017/10/10,-0.201
2017/10/11,-0.208
2017/10/12,-0.214
2017/10/13,-0.221
2017/10/14,-0.227
2017/10/15,-0.233
2017/10/16,-0.239
2017/10/17,-0.244
2017/10/18,-0.25
2017/10/19,-0.255
2017/10/20,-0.26
2017/10/21,-0.265
2017/10/22,-0.269
2017/10/23,-0.274
2017/10/24,-0.278
2017/10/25,-0.283
2017/10/26,-0.287
2017/10/27,-0.292
2017/10/28,-0.297
2017/10/29,-0.302
2017/10/30,-0.308
2017/10/31,-0.314
2017/11/01,-0.32
2017/11/02,-0.326
2017/11/03,-0.331
2017/11/04,-0.336
2017/11/05,-0.341
2017/11/06,-0.345
2017/11/07,-0.35
2017/11/08,-0.354
2017/11/09,-0.357
2017/11/10,-0.361
2017/11/11,-0.364
2017/11/12,-0.367
2017/11/13,-0.37
2017/11/14,-0.372
2017/11/15,-0.375
2017/11/16,-0.377
2017/11/17,-0.378
2017/11/18,-0.38
2017/11/19,-0.381
2017/11/20,-0.382
2017/11/21,-0.382
2017/11/22,-0.383
2017/11/23,-0.383
2017/11/24,-0.383
2017/11/25,-0.382
2017/11/26,-0.381
2017/11/27,-0.38
2017/11/28,-0.378
2017/11/29,-0.376
2017/11/30,-0.374
2017/12/01,-0.371
2017/12/02,-0.368
2017/12/03,-0.365
2017/12/04,-0.362
2017/12/05,-0.358
2017/12/06,-0.354
2017/12/07,-0.35
2017/12/08,-0.346
2017/12/09,-0.341
2017/12/10,-0.336
2017/12/11,-0.331
2017/12/12,-0.326
2017/12/13,-0.32
2017/12/14,-0.313
2017/12/15,-0.306
2017/12/16,-0.299
2017/12/17,-0.291
2017/12/18,-0.283
2017/12/19,-0.274
2017/12/20,-0.265
2017/12/21,-0.255
2017/12/22,-0.245
2017/12/23,-0.234
2017/12/24,-0.224
2017/12/25,-0.214
2017/12/26,-0.203
2017/12/27,-0.193
2017/12/28,-0.182
2017/12/29,-0.172
2017/12/30,-0.161
2017/12/31,-0.151
2018/01/01,-0.14
2018/01/02,-0.13
2018/01/03,-0.119
2018/01/04,-0.108
2018/01/05,-0.096
2018/01/06,-0.084
2018/01/07,-0.071
2018/01/08,-0.058
2018/01/09,-0.044
2018/01/10,-0.029
2018/01/11,-0.014
2018/01/12,0.002
2018/01/13,0.018
2018/01/14,0.035
2018/01/15,0.051
2018/01/16,0.068
2018/01/17,0.084
2018/01/18,0.099
2018/01/19,0.114
2018/01/20,0.129
2018/01/21,0.143
2018/01/22,0.157
2018/01/23,0.17
2018/01/24,0.182
2018/01/25,0.194
2018/01/26,0.205
2018/01/27,0.216
2018/01/28,0.226
2018/01/29,0.236
2018/01/30,0.245
2018/01/31,0.254
2018/02/01,0.262
2018/02/02,0.27
2018/02/03,0.277
2018/02/04,0.283
2018/02/05,0.288
2018/02/06,0.292
2018/02/07,0.295
2018/02/08,0.298
2018/02/09,0.299
2018/02/10,0.301
2018/02/11,0.301
2018/02/12,0.301
2018/02/13,0.301
2018/02/14,0.3
2018/02/15,0.299
2018/02/16,0.297
2018/02/17,0.295
2018/02/18,0.293
2018/02/19,0.291
2018/02/20,0.288
2018/02/21,0.285
2018/02/22,0.281
2018/02/23,0.278
2018/02/24,0.274
2018/02/25,0.27
2018/02/26,0.265
2018/02/27,0.261
2018/02/28,0.256
2018/03/01,0.251
2018/03/02,0.246
2018/03/03,0.24
2018/03/04,0.235
2018/03/05,0.229
2018/03/06,0.224
2018/03/07,0.218
2018/03/08,0.212
2018/03/09,0.205
2018/03/10,0.199
2018/03/11,0.192
2018/03/12,0.185
2018/03/13,0.178
2018/03/14,0.171
2018/03/15,0.163
2018/03/16,0.156
2018/03/17,0.148
2018/03/18,0.14
2018/03/19,0.132
2018/03/20,0.123
2018/03/21,0.115
2018/03/22,0.106
2018/03/23,0.097
2018/03/24,0.088
2018/03/25,0.08
2018/03/26,0.071
2018/03/27,0.061
2018/03/28,0.052
2018/03/29,0.043
2018/03/30,0.033
2018/03/31,0.024
2018/04/01,0.014
2018/04/02,0.004
2018/04/03,-0.005
2018/04/04,-0.015
2018/04/05,-0.025
2018/04/06,-0.035
2018/04/07,-0.044
2018/04/08,-0.054
2018/04/09,-0.064
2018/04/10,-0.074
2018/04/11,-0.083
2018/04/12,-0.093
2018/04/13,-0.102
2018/04/14,-0.111
2018/04/15,-0.12
2018/04/16,-0.129
2018/04/17,-0.138
2018/04/18,-0.146
2018/04/19,-0.155
2018/04/20,-0.162
2018/04/21,-0.17
2018/04/22,-0.178
2018/04/23,-0.185
2018/04/24,-0.192
2018/04/25,-0.198
2018/04/26,-0.205
2018/04/27,-0.211
2018/04/28,-0.217
2018/04/29,-0.222
2018/04/30,-0.227
2018/05/01,-0.232
2018/05/02,-0.237
2018/05/03,-0.242
2018/05/04,-0.246
2018/05/05,-0.25
2018/05/06,-0.253
2018/05/07,-0.257
2018/05/08,-0.26
2018/05/09,-0.263
2018/05/10,-0.265
2018/05/11,-0.268
2018/05/12,-0.27
2018/05/13,-0.273
2018/05/14,-0.275
2018/05/15,-0.277
2018/05/16,-0.279
2018/05/17,-0.28
2018/05/18,-0.282
2018/05/19,-0.283
2018/05/20,-0.285
2018/05/21,-0.286
2018/05/22,-0.287
2018/05/23,-0.288
2018/05/24,-0.289
2018/05/25,-0.29
2018/05/26,-0.291
2018/05/27,-0.292
2018/05/28,-0.294
2018/05/29,-0.295
2018/05/30,-0.296
2018/05/31,-0.297
2018/06/01,-0.298
2018/06/02,-0.299
2018/06/03,-0.3
2018/06/04,-0.301
2018/06/05,-0.302
2018/06/06,-0.302
2018/06/07,-0.303
2018/06/08,-0.304
2018/06/09,-0.305
2018/06/10,-0.305
2018/06/11,-0.306
2018/06/12,-0.307
2018/06/13,-0.308
2018/06/14,-0.309
2018/06/15,-0.31
2018/06/16,-0.311
2018/06/17,-0.312
2018/06/18,-0.313
2018/06/19,-0.314
2018/06/20,-0.315
2018/06/21,-0.316
2018/06/22,-0.318
2018/06/23,-0.319
2018/06/24,-0.32
2018/06/25,-0.322
2018/06/26,-0.323
2018/06/27,-0.325
2018/06/28,-0.327
2018/06/29,-0.328
2018/06/30,-0.33
2018/07/01,-0.332
2018/07/02,-0.334
2018/07/03,-0.335
