Date,fee_to_reward3emaUSD
2016/01/01,0.104
2016/01/02,0.086
2016/01/03,0.077
2016/01/04,0.076
2016/01/05,0.141
2016/01/06,0.186
2016/01/07,0.209
2016/01/08,0.149
2016/01/09,0.143
2016/01/10,0.118
2016/01/11,0.105
2016/01/12,0.101
2016/01/13,0.159
2016/01/14,0.128
2016/01/15,0.106
2016/01/16,0.095
2016/01/17,0.078
2016/01/18,0.096
2016/01/19,0.114
2016/01/20,0.092
2016/01/21,0.084
2016/01/22,0.099
2016/01/23,0.082
2016/01/24,0.083
2016/01/25,0.118
2016/01/26,0.127
2016/01/27,0.169
2016/01/28,0.16
2016/01/29,0.149
2016/01/30,0.139
2016/01/31,0.133
2016/02/01,0.125
2016/02/02,0.117
2016/02/03,0.108
2016/02/04,0.113
2016/02/05,0.125
2016/02/06,0.29
2016/02/07,0.23
2016/02/08,0.18
2016/02/09,0.179
2016/02/10,0.196
2016/02/11,0.181
2016/02/12,0.151
2016/02/13,0.14
2016/02/14,0.121
2016/02/15,0.117
2016/02/16,0.12
2016/02/17,0.136
2016/02/18,0.122
2016/02/19,0.128
2016/02/20,0.113
2016/02/21,0.107
2016/02/22,0.112
2016/02/23,0.228
2016/02/24,0.208
2016/02/25,0.161
2016/02/26,0.173
2016/02/27,0.139
2016/02/28,0.123
2016/02/29,0.125
2016/03/01,0.124
2016/03/02,0.132
2016/03/03,0.131
2016/03/04,0.129
2016/03/05,0.126
2016/03/06,0.135
2016/03/07,0.124
2016/03/08,0.121
2016/03/09,0.11
2016/03/10,0.092
2016/03/11,0.082
2016/03/12,0.086
2016/03/13,0.089
2016/03/14,0.096
2016/03/15,0.086
2016/03/16,0.08
2016/03/17,0.088
2016/03/18,0.087
2016/03/19,0.11
2016/03/20,0.11
2016/03/21,0.105
2016/03/22,0.093
2016/03/23,0.097
2016/03/24,0.111
2016/03/25,0.117
2016/03/26,0.112
2016/03/27,0.086
2016/03/28,0.084
2016/03/29,0.079
2016/03/30,0.094
2016/03/31,0.086
2016/04/01,0.08
2016/04/02,0.068
2016/04/03,0.062
2016/04/04,0.069
2016/04/05,0.078
2016/04/06,0.073
2016/04/07,0.07
2016/04/08,0.074
2016/04/09,0.068
2016/04/10,0.064
2016/04/11,0.062
2016/04/12,0.067
2016/04/13,0.084
2016/04/14,0.091
2016/04/15,0.081
2016/04/16,0.067
2016/04/17,0.079
2016/04/18,0.07
2016/04/19,0.065
2016/04/20,0.069
2016/04/21,0.081
2016/04/22,0.073
2016/04/23,0.066
2016/04/24,0.068
2016/04/25,0.07
2016/04/26,0.069
2016/04/27,0.066
2016/04/28,0.068
2016/04/29,0.07
2016/04/30,0.084
2016/05/01,0.1
2016/05/02,0.092
2016/05/03,0.087
2016/05/04,0.086
2016/05/05,0.09
2016/05/06,0.099
2016/05/07,0.087
2016/05/08,0.088
2016/05/09,0.084
2016/05/10,0.085
2016/05/11,0.092
2016/05/12,0.105
2016/05/13,0.117
2016/05/14,0.113
2016/05/15,0.104
2016/05/16,0.095
2016/05/17,0.09
2016/05/18,0.098
2016/05/19,0.1
2016/05/20,0.108
2016/05/21,0.109
2016/05/22,0.098
2016/05/23,0.094
2016/05/24,0.091
2016/05/25,0.095
2016/05/26,0.102
2016/05/27,0.108
2016/05/28,0.164
2016/05/29,0.142
2016/05/30,0.12
2016/05/31,0.108
2016/06/01,0.102
2016/06/02,0.09
2016/06/03,0.084
2016/06/04,0.079
2016/06/05,0.077
2016/06/06,0.078
2016/06/07,0.141
2016/06/08,0.114
2016/06/09,0.101
2016/06/10,0.096
2016/06/11,0.089
2016/06/12,0.089
2016/06/13,0.101
2016/06/14,0.109
2016/06/15,0.101
2016/06/16,0.113
2016/06/17,0.378
2016/06/18,0.562
2016/06/19,0.361
2016/06/20,0.26
2016/06/21,0.24
2016/06/22,0.197
2016/06/23,0.148
2016/06/24,0.134
2016/06/25,0.111
2016/06/26,0.097
2016/06/27,0.091
2016/06/28,0.095
2016/06/29,0.134
2016/06/30,0.201
2016/07/01,0.168
2016/07/02,0.122
2016/07/03,0.108
2016/07/04,0.095
2016/07/05,0.094
2016/07/06,0.092
2016/07/07,0.087
2016/07/08,0.104
2016/07/09,0.125
2016/07/10,0.105
2016/07/11,0.096
2016/07/12,0.098
2016/07/13,0.087
2016/07/14,0.093
2016/07/15,0.091
2016/07/16,0.082
2016/07/17,0.072
2016/07/18,0.074
2016/07/19,0.082
2016/07/20,0.156
2016/07/21,0.129
2016/07/22,0.122
2016/07/23,0.111
2016/07/24,0.114
2016/07/25,0.117
2016/07/26,0.131
2016/07/27,0.122
2016/07/28,0.156
2016/07/29,0.148
2016/07/30,0.12
2016/07/31,0.106
2016/08/01,0.1
2016/08/02,0.103
2016/08/03,0.103
2016/08/04,0.1
2016/08/05,0.094
2016/08/06,0.088
2016/08/07,0.086
2016/08/08,0.125
2016/08/09,0.109
2016/08/10,0.105
2016/08/11,0.102
2016/08/12,0.096
2016/08/13,0.087
2016/08/14,0.08
2016/08/15,0.081
2016/08/16,0.088
2016/08/17,0.088
2016/08/18,0.097
2016/08/19,0.095
2016/08/20,0.088
2016/08/21,0.087
2016/08/22,0.089
2016/08/23,0.153
2016/08/24,0.122
2016/08/25,0.11
2016/08/26,0.104
2016/08/27,0.095
2016/08/28,0.087
2016/08/29,0.088
2016/08/30,0.094
2016/08/31,0.092
2016/09/01,0.095
2016/09/02,0.116
2016/09/03,0.1
2016/09/04,0.125
2016/09/05,0.106
2016/09/06,0.105
2016/09/07,0.104
2016/09/08,0.115
2016/09/09,0.121
2016/09/10,0.103
2016/09/11,0.094
2016/09/12,0.1
2016/09/13,0.097
2016/09/14,0.103
2016/09/15,0.106
2016/09/16,0.124
2016/09/17,0.116
2016/09/18,0.107
2016/09/19,0.092
2016/09/20,0.095
2016/09/21,0.093
2016/09/22,0.138
2016/09/23,0.137
2016/09/24,0.169
2016/09/25,0.177
2016/09/26,0.257
2016/09/27,0.257
2016/09/28,0.231
2016/09/29,0.177
2016/09/30,0.151
2016/10/01,0.199
2016/10/02,0.214
2016/10/03,0.202
2016/10/04,0.229
2016/10/05,0.204
2016/10/06,0.175
2016/10/07,0.154
2016/10/08,0.15
2016/10/09,0.161
2016/10/10,0.159
2016/10/11,0.138
2016/10/12,0.132
2016/10/13,0.215
2016/10/14,0.216
2016/10/15,0.212
2016/10/16,0.203
2016/10/17,0.208
2016/10/18,0.243
2016/10/19,0.252
2016/10/20,0.202
2016/10/21,0.164
2016/10/22,0.125
2016/10/23,0.103
2016/10/24,0.125
2016/10/25,0.129
2016/10/26,0.118
2016/10/27,0.111
2016/10/28,0.112
2016/10/29,0.107
2016/10/30,0.1
2016/10/31,0.101
2016/11/01,0.116
2016/11/02,0.104
2016/11/03,0.098
2016/11/04,0.083
2016/11/05,0.08
2016/11/06,0.076
2016/11/07,0.08
2016/11/08,0.088
2016/11/09,0.099
2016/11/10,0.105
2016/11/11,0.118
2016/11/12,0.106
2016/11/13,0.104
2016/11/14,0.111
2016/11/15,0.113
2016/11/16,0.11
2016/11/17,0.103
2016/11/18,0.103
2016/11/19,0.093
2016/11/20,0.096
2016/11/21,0.102
2016/11/22,0.111
2016/11/23,0.175
2016/11/24,0.174
2016/11/25,0.172
2016/11/26,0.193
2016/11/27,0.256
2016/11/28,0.298
2016/11/29,0.295
2016/11/30,0.201
2016/12/01,0.143
2016/12/02,0.114
2016/12/03,0.097
2016/12/04,0.09
2016/12/05,0.094
2016/12/06,0.1
2016/12/07,0.104
2016/12/08,0.106
2016/12/09,0.102
2016/12/10,0.095
2016/12/11,0.104
2016/12/12,0.101
2016/12/13,0.098
2016/12/14,0.102
2016/12/15,0.105
2016/12/16,0.099
2016/12/17,0.1
2016/12/18,0.092
2016/12/19,0.103
2016/12/20,0.118
2016/12/21,0.142
2016/12/22,0.132
2016/12/23,0.113
2016/12/24,0.097
2016/12/25,0.085
2016/12/26,0.078
2016/12/27,0.096
2016/12/28,0.097
2016/12/29,0.111
2016/12/30,0.124
2016/12/31,0.107
2017/01/01,0.092
2017/01/02,0.09
2017/01/03,0.107
2017/01/04,0.114
2017/01/05,0.11
2017/01/06,0.104
2017/01/07,0.098
2017/01/08,0.1
2017/01/09,0.105
2017/01/10,0.113
2017/01/11,0.11
2017/01/12,0.112
2017/01/13,0.111
2017/01/14,0.1
2017/01/15,0.096
2017/01/16,0.099
2017/01/17,0.111
2017/01/18,0.108
2017/01/19,0.102
2017/01/20,0.104
2017/01/21,0.099
2017/01/22,0.105
2017/01/23,0.107
2017/01/24,0.117
2017/01/25,0.117
2017/01/26,0.115
2017/01/27,0.113
2017/01/28,0.108
2017/01/29,0.102
2017/01/30,0.101
2017/01/31,0.1
2017/02/01,0.11
2017/02/02,0.11
2017/02/03,0.108
2017/02/04,0.105
2017/02/05,0.106
2017/02/06,0.109
2017/02/07,0.125
2017/02/08,0.13
2017/02/09,0.128
2017/02/10,0.136
2017/02/11,0.127
2017/02/12,0.126
2017/02/13,0.157
2017/02/14,0.156
2017/02/15,0.178
2017/02/16,0.15
2017/02/17,0.135
2017/02/18,0.138
2017/02/19,0.126
2017/02/20,0.127
2017/02/21,0.149
2017/02/22,0.154
2017/02/23,0.145
2017/02/24,0.137
2017/02/25,0.138
2017/02/26,0.129
2017/02/27,0.135
2017/02/28,0.146
2017/03/01,0.154
2017/03/02,0.162
2017/03/03,0.153
2017/03/04,0.143
2017/03/05,0.139
2017/03/06,0.134
2017/03/07,0.136
2017/03/08,0.131
2017/03/09,0.144
2017/03/10,0.156
2017/03/11,0.153
2017/03/12,0.153
2017/03/13,0.194
2017/03/14,0.213
2017/03/15,0.206
2017/03/16,0.235
2017/03/17,0.247
2017/03/18,0.217
2017/03/19,0.198
2017/03/20,0.187
2017/03/21,0.194
2017/03/22,0.19
2017/03/23,0.191
2017/03/24,0.202
2017/03/25,0.192
2017/03/26,0.187
2017/03/27,0.216
2017/03/28,0.21
2017/03/29,0.213
2017/03/30,0.219
2017/03/31,0.23
2017/04/01,0.205
2017/04/02,0.209
2017/04/03,0.221
2017/04/04,0.212
2017/04/05,0.213
2017/04/06,0.223
2017/04/07,0.225
2017/04/08,0.195
2017/04/09,0.189
2017/04/10,0.197
2017/04/11,0.193
2017/04/12,0.226
2017/04/13,0.212
2017/04/14,0.205
2017/04/15,0.196
2017/04/16,0.186
2017/04/17,0.189
2017/04/18,0.212
2017/04/19,0.235
2017/04/20,0.233
2017/04/21,0.264
2017/04/22,0.254
2017/04/23,0.231
2017/04/24,0.235
2017/04/25,0.242
2017/04/26,0.245
2017/04/27,0.267
2017/04/28,0.263
2017/04/29,0.249
2017/04/30,0.256
2017/05/01,0.302
2017/05/02,0.336
2017/05/03,0.295
2017/05/04,0.301
2017/05/05,0.288
2017/05/06,0.282
2017/05/07,0.313
2017/05/08,0.315
2017/05/09,0.331
2017/05/10,0.338
2017/05/11,0.348
2017/05/12,0.351
2017/05/13,0.353
2017/05/14,0.36
2017/05/15,0.404
2017/05/16,0.433
2017/05/17,0.589
2017/05/18,0.564
2017/05/19,0.579
2017/05/20,0.553
2017/05/21,0.547
2017/05/22,0.581
2017/05/23,0.718
2017/05/24,0.816
2017/05/25,0.774
2017/05/26,0.73
2017/05/27,0.67
2017/05/28,0.657
2017/05/29,0.634
2017/05/30,0.828
2017/05/31,1.242
2017/06/01,1.054
2017/06/02,1.05
2017/06/03,0.924
2017/06/04,0.912
2017/06/05,0.837
2017/06/06,0.882
2017/06/07,0.921
2017/06/08,0.877
2017/06/09,0.874
2017/06/10,0.804
2017/06/11,0.94
2017/06/12,1.29
2017/06/13,1.14
2017/06/14,1.003
2017/06/15,0.976
