Date,difficulty14var
2016/01/01,5.9159351363633E+21
2016/01/02,1.5003443325755E+22
2016/01/03,1.7919734810778E+22
2016/01/04,1.9907755701946E+22
2016/01/05,1.72057876711E+22
2016/01/06,1.6936972277062E+22
2016/01/07,1.9705193320036E+22
2016/01/08,1.9623765782155E+22
2016/01/09,1.9519807920114E+22
2016/01/10,1.7352334486238E+22
2016/01/11,2.9031259165312E+22
2016/01/12,4.2152060758455E+22
2016/01/13,4.2191861835369E+22
2016/01/14,4.7603544148334E+22
2016/01/15,6.7254288230224E+22
2016/01/16,9.0756968477086E+22
2016/01/17,1.0226406155606E+23
2016/01/18,1.4121054670323E+23
2016/01/19,1.7425534853992E+23
2016/01/20,1.8901911950146E+23
2016/01/21,1.9006521860766E+23
2016/01/22,2.1151124401255E+23
2016/01/23,2.4055970635263E+23
2016/01/24,2.3855980436156E+23
2016/01/25,2.8545209493903E+23
2016/01/26,3.5296716797334E+23
2016/01/27,3.6341045839095E+23
2016/01/28,3.2101146193019E+23
2016/01/29,3.3336561480438E+23
2016/01/30,3.3772349044587E+23
2016/01/31,2.7797368927576E+23
2016/02/01,2.6467787030563E+23
2016/02/02,2.2643625034478E+23
2016/02/03,1.6485243535608E+23
2016/02/04,1.2507376969894E+23
2016/02/05,1.0622864545305E+23
2016/02/06,7.7176646096023E+22
2016/02/07,5.3063361069563E+22
2016/02/08,6.7434512259396E+22
2016/02/09,6.8370051943184E+22
2016/02/10,1.0066598614385E+23
2016/02/11,1.3725314439032E+23
2016/02/12,1.4524317044741E+23
2016/02/13,1.9489990653042E+23
2016/02/14,2.6856703309638E+23
2016/02/15,3.9490478478271E+23
2016/02/16,4.2343851709723E+23
2016/02/17,4.4057368440421E+23
2016/02/18,4.1279169906817E+23
2016/02/19,4.1130586778525E+23
2016/02/20,3.5495047074521E+23
2016/02/21,3.0693073178693E+23
2016/02/22,3.5265097396217E+23
2016/02/23,3.6705962979531E+23
2016/02/24,3.687127569909E+23
2016/02/25,3.7361136294763E+23
2016/02/26,3.3564573882892E+23
2016/02/27,4.2243788077333E+23
2016/02/28,5.3892523337185E+23
2016/02/29,6.8587859084221E+23
2016/03/01,6.9383833236308E+23
2016/03/02,7.4860100541515E+23
2016/03/03,7.4884980032391E+23
2016/03/04,8.7828040762507E+23
2016/03/05,1.0098781198011E+24
2016/03/06,1.3051440220725E+24
2016/03/07,1.4805481454879E+24
2016/03/08,1.6940631641881E+24
2016/03/09,1.8313210390538E+24
2016/03/10,1.8069413831442E+24
2016/03/11,1.9481802662156E+24
2016/03/12,2.3920203919782E+24
2016/03/13,2.8318036031295E+24
2016/03/14,3.0149393133483E+24
2016/03/15,2.3320110791553E+24
2016/03/16,1.7852843519965E+24
2016/03/17,1.3932885057071E+24
2016/03/18,1.1196897071602E+24
2016/03/19,9.01793501027E+23
2016/03/20,8.9234270687614E+23
2016/03/21,7.8781125292348E+23
2016/03/22,7.3336281238739E+23
2016/03/23,6.6871229298469E+23
2016/03/24,6.6558722541638E+23
2016/03/25,8.9037245008299E+23
2016/03/26,1.2259805262587E+24
2016/03/27,1.6791761172515E+24
2016/03/28,2.035094885211E+24
2016/03/29,2.2838363742339E+24
2016/03/30,2.4660455434004E+24
2016/03/31,2.907057175779E+24
2016/04/01,3.0509176705155E+24
2016/04/02,2.9655499795247E+24
2016/04/03,3.1766494701162E+24
2016/04/04,3.4442680395863E+24
2016/04/05,3.6724970622804E+24
2016/04/06,3.0557392659474E+24
2016/04/07,2.3362476323399E+24
2016/04/08,2.2484162640026E+24
2016/04/09,2.344845260163E+24
2016/04/10,2.4540037911117E+24
2016/04/11,2.1840479753998E+24
2016/04/12,1.794617357142E+24
