Date,sentbyaddress90wma
2016/01/01,1284
2016/01/02,1293
2016/01/03,1303
2016/01/04,1313
2016/01/05,1322
2016/01/06,1332
2016/01/07,1344
2016/01/08,1353
2016/01/09,1363
2016/01/10,1376
2016/01/11,1389
2016/01/12,1405
2016/01/13,1416
2016/01/14,1426
2016/01/15,1441
2016/01/16,1446
2016/01/17,1448
2016/01/18,1456
2016/01/19,1460
2016/01/20,1476
2016/01/21,1480
2016/01/22,1485
2016/01/23,1496
2016/01/24,1512
2016/01/25,1531
2016/01/26,1551
2016/01/27,1566
2016/01/28,1581
2016/01/29,1593
2016/01/30,1605
2016/01/31,1620
2016/02/01,1633
2016/02/02,1645
2016/02/03,1657
2016/02/04,1668
2016/02/05,1680
2016/02/06,1690
2016/02/07,1703
2016/02/08,1721
2016/02/09,1742
2016/02/10,1779
2016/02/11,1819
2016/02/12,1857
2016/02/13,1889
2016/02/14,1911
2016/02/15,1935
2016/02/16,1959
2016/02/17,1981
2016/02/18,2004
2016/02/19,2024
2016/02/20,2042
2016/02/21,2079
2016/02/22,2107
2016/02/23,2133
2016/02/24,2156
2016/02/25,2188
2016/02/26,2213
2016/02/27,2238
2016/02/28,2271
2016/02/29,2317
2016/03/01,2369
2016/03/02,2423
2016/03/03,2484
2016/03/04,2545
2016/03/05,2624
2016/03/06,2694
2016/03/07,2744
2016/03/08,2812
2016/03/09,2870
2016/03/10,2938
2016/03/11,2999
2016/03/12,3058
2016/03/13,3114
2016/03/14,3169
2016/03/15,3220
2016/03/16,3262
2016/03/17,3315
2016/03/18,3374
2016/03/19,3412
2016/03/20,3452
2016/03/21,3502
2016/03/22,3539
2016/03/23,3577
2016/03/24,3612
2016/03/25,3641
2016/03/26,3666
2016/03/27,3704
2016/03/28,3742
2016/03/29,3807
2016/03/30,3874
2016/03/31,3911
2016/04/01,3942
2016/04/02,3967
2016/04/03,3990
2016/04/04,4027
2016/04/05,4063
2016/04/06,4098
2016/04/07,4129
2016/04/08,4156
2016/04/09,4189
2016/04/10,4230
2016/04/11,4258
2016/04/12,4290
2016/04/13,4330
2016/04/14,4360
2016/04/15,4381
2016/04/16,4398
2016/04/17,4428
2016/04/18,4456
2016/04/19,4479
2016/04/20,4505
2016/04/21,4529
2016/04/22,4554
2016/04/23,4575
2016/04/24,4598
2016/04/25,4626
2016/04/26,4656
2016/04/27,4683
2016/04/28,4705
2016/04/29,4780
2016/04/30,4865
2016/05/01,4925
2016/05/02,5006
2016/05/03,5070
2016/05/04,5123
2016/05/05,5176
2016/05/06,5228
2016/05/07,5272
2016/05/08,5325
2016/05/09,5384
2016/05/10,5445
2016/05/11,5530
2016/05/12,5617
2016/05/13,5737
2016/05/14,5829
2016/05/15,5890
2016/05/16,5945
2016/05/17,6012
2016/05/18,6092
2016/05/19,6176
2016/05/20,6245
2016/05/21,6294
2016/05/22,6324
2016/05/23,6400
2016/05/24,6465
2016/05/25,6523
2016/05/26,6738
2016/05/27,6831
2016/05/28,7049
2016/05/29,7106
2016/05/30,7158
2016/05/31,7219
2016/06/01,7263
2016/06/02,7294
2016/06/03,7325
2016/06/04,7342
2016/06/05,7358
2016/06/06,7385
2016/06/07,7417
2016/06/08,7449
2016/06/09,7471
2016/06/10,7496
2016/06/11,7503
2016/06/12,7534
2016/06/13,7605
2016/06/14,7678
2016/06/15,7722
2016/06/16,7781
2016/06/17,7939
2016/06/18,8063
2016/06/19,8124
2016/06/20,8166
2016/06/21,8220
2016/06/22,8291
2016/06/23,8318
2016/06/24,8335
2016/06/25,8337
2016/06/26,8335
2016/06/27,8338
2016/06/28,8364
2016/06/29,8384
2016/06/30,8386
2016/07/01,8390
2016/07/02,8396
2016/07/03,8401
2016/07/04,8416
2016/07/05,8435
2016/07/06,8446
2016/07/07,8455
2016/07/08,8463
2016/07/09,8464
2016/07/10,8456
2016/07/11,8455
2016/07/12,8454
2016/07/13,8448
2016/07/14,8453
2016/07/15,8455
2016/07/16,8431
2016/07/17,8394
2016/07/18,8379
2016/07/19,8587
2016/07/20,8642
2016/07/21,8673
2016/07/22,8725
2016/07/23,8752
2016/07/24,8885
2016/07/25,8956
2016/07/26,9152
2016/07/27,9262
2016/07/28,9342
2016/07/29,9374
2016/07/30,9373
2016/07/31,9394
2016/08/01,9425
2016/08/02,9507
2016/08/03,9541
2016/08/04,9564
2016/08/05,9557
2016/08/06,9544
2016/08/07,9532
2016/08/08,9539
2016/08/09,9565
2016/08/10,9568
2016/08/11,9603
2016/08/12,9591
2016/08/13,9563
2016/08/14,9548
2016/08/15,9537
2016/08/16,9547
2016/08/17,9534
2016/08/18,9521
2016/08/19,9508
2016/08/20,9502
2016/08/21,9490
2016/08/22,9465
2016/08/23,9480
2016/08/24,9473
2016/08/25,9491
2016/08/26,9490
2016/08/27,9499
2016/08/28,9495
2016/08/29,9509
2016/08/30,9512
2016/08/31,9530
2016/09/01,9570
2016/09/02,9593
2016/09/03,9588
2016/09/04,9579
2016/09/05,9570
2016/09/06,9564
2016/09/07,9561
2016/09/08,9593
2016/09/09,9587
2016/09/10,9574
2016/09/11,9569
2016/09/12,9569
2016/09/13,9568
2016/09/14,9572
2016/09/15,9570
2016/09/16,9589
2016/09/17,9596
2016/09/18,9576
2016/09/19,9541
2016/09/20,9636
2016/09/21,9700
2016/09/22,9676
2016/09/23,9662
2016/09/24,9657
2016/09/25,9646
2016/09/26,9633
2016/09/27,9625
2016/09/28,9614
2016/09/29,9628
2016/09/30,9646
2016/10/01,9626
2016/10/02,9646
2016/10/03,9636
2016/10/04,9581
2016/10/05,9527
2016/10/06,9492
2016/10/07,9487
2016/10/08,9487
2016/10/09,9509
2016/10/10,9530
2016/10/11,9522
2016/10/12,9427
2016/10/13,9294
2016/10/14,9259
2016/10/15,9188
2016/10/16,9143
2016/10/17,9115
2016/10/18,9162
2016/10/19,9104
2016/10/20,9141
2016/10/21,9195
2016/10/22,9205
2016/10/23,9207
2016/10/24,9195
2016/10/25,9186
2016/10/26,9182
2016/10/27,9183
2016/10/28,9188
2016/10/29,9177
2016/10/30,9153
2016/10/31,9183
2016/11/01,9235
2016/11/02,9219
2016/11/03,9234
2016/11/04,9181
2016/11/05,9160
2016/11/06,9114
2016/11/07,9107
2016/11/08,9094
2016/11/09,9089
2016/11/10,9051
2016/11/11,9042
2016/11/12,9024
2016/11/13,9030
2016/11/14,8997
2016/11/15,8980
2016/11/16,8951
2016/11/17,8923
2016/11/18,8900
2016/11/19,8863
2016/11/20,8834
2016/11/21,8810
2016/11/22,9090
2016/11/23,9548
2016/11/24,9457
2016/11/25,9753
2016/11/26,9671
2016/11/27,9597
2016/11/28,9553
2016/11/29,9498
2016/11/30,9448
2016/12/01,9391
2016/12/02,9349
2016/12/03,9348
2016/12/04,9349
2016/12/05,9314
2016/12/06,9324
2016/12/07,9265
2016/12/08,9212
2016/12/09,9197
2016/12/10,9148
2016/12/11,9115
2016/12/12,9084
2016/12/13,9039
2016/12/14,9034
2016/12/15,9054
2016/12/16,9025
2016/12/17,8994
2016/12/18,8958
2016/12/19,8935
2016/12/20,8925
2016/12/21,8922
2016/12/22,8917
2016/12/23,8889
2016/12/24,8849
2016/12/25,8793
2016/12/26,8740
2016/12/27,8702
2016/12/28,8677
2016/12/29,8670
2016/12/30,8649
2016/12/31,8644
2017/01/01,8594
2017/01/02,8570
2017/01/03,8565
2017/01/04,8611
2017/01/05,8643
2017/01/06,8677
2017/01/07,8675
2017/01/08,8655
2017/01/09,8683
2017/01/10,8674
2017/01/11,8681
2017/01/12,8692
2017/01/13,8685
2017/01/14,8663
2017/01/15,8627
2017/01/16,8635
2017/01/17,8626
2017/01/18,8605
2017/01/19,8604
2017/01/20,8615
2017/01/21,8603
2017/01/22,8583
2017/01/23,8574
2017/01/24,8568
2017/01/25,8547
2017/01/26,8537
2017/01/27,8518
2017/01/28,8497
2017/01/29,8468
2017/01/30,8462
2017/01/31,8453
2017/02/01,8447
2017/02/02,8452
2017/02/03,8441
2017/02/04,8448
2017/02/05,8458
2017/02/06,8469
2017/02/07,8472
2017/02/08,8479
2017/02/09,8486
2017/02/10,8516
2017/02/11,8508
2017/02/12,8515
2017/02/13,8568
2017/02/14,8618
2017/02/15,8663
2017/02/16,8686
2017/02/17,8708
2017/02/18,8749
2017/02/19,8753
2017/02/20,8783
2017/02/21,8807
2017/02/22,8832
2017/02/23,8852
2017/02/24,8900
2017/02/25,8933
2017/02/26,8969
2017/02/27,9027
2017/02/28,9136
2017/03/01,9259
2017/03/02,9539
2017/03/03,9696
2017/03/04,9807
2017/03/05,9909
2017/03/06,10011
2017/03/07,10085
2017/03/08,10165
2017/03/09,10288
2017/03/10,10434
2017/03/11,10552
2017/03/12,10715
2017/03/13,11012
2017/03/14,11223
2017/03/15,11445
2017/03/16,11871
2017/03/17,12277
2017/03/18,12570
2017/03/19,12777
2017/03/20,12987
2017/03/21,13198
2017/03/22,13370
2017/03/23,13540
2017/03/24,13808
2017/03/25,14030
2017/03/26,14183
2017/03/27,14401
2017/03/28,14586
2017/03/29,14774
2017/03/30,15058
2017/03/31,15463
2017/04/01,15632
2017/04/02,15860
2017/04/03,16224
2017/04/04,16426
2017/04/05,16650
2017/04/06,16941
2017/04/07,17072
2017/04/08,17155
2017/04/09,17203
2017/04/10,17320
2017/04/11,17422
2017/04/12,17550
2017/04/13,17710
2017/04/14,17825
2017/04/15,17906
2017/04/16,17916
2017/04/17,17957
2017/04/18,18064
2017/04/19,18179
2017/04/20,18306
2017/04/21,18368
2017/04/22,18404
2017/04/23,18445
2017/04/24,18555
2017/04/25,18645
2017/04/26,18748
2017/04/27,19048
2017/04/28,19266
2017/04/29,19403
2017/04/30,19585
2017/05/01,19839
2017/05/02,20079
2017/05/03,20224
2017/05/04,20514
2017/05/05,20790
2017/05/06,20953
2017/05/07,21197
2017/05/08,21600
2017/05/09,21897
2017/05/10,22125
2017/05/11,22405
2017/05/12,22617
2017/05/13,22728
2017/05/14,22865
2017/05/15,23134
2017/05/16,23394
2017/05/17,23802
2017/05/18,24176
2017/05/19,24777
2017/05/20,25088
2017/05/21,25432
2017/05/22,25955
2017/05/23,26526
2017/05/24,27132
2017/05/25,27714
2017/05/26,28228
2017/05/27,28547
2017/05/28,28823
2017/05/29,29195
2017/05/30,29756
2017/05/31,30681
2017/06/01,31488
2017/06/02,31985
2017/06/03,32468
2017/06/04,32936
2017/06/05,33558
2017/06/06,34159
2017/06/07,34727
2017/06/08,35170
2017/06/09,35845
2017/06/10,36499
2017/06/11,37340
2017/06/12,38742
2017/06/13,39921
2017/06/14,40866
2017/06/15,41853
2017/06/16,42624
2017/06/17,43406
2017/06/18,44226
2017/06/19,45172
2017/06/20,46405
2017/06/21,47577
2017/06/22,48716
2017/06/23,49689
2017/06/24,50546
2017/06/25,51189
2017/06/26,52559
2017/06/27,53461
2017/06/28,52544
2017/06/29,53329
2017/06/30,54071
2017/07/01,54721
2017/07/02,55318
2017/07/03,56277
2017/07/04,57202
2017/07/05,57873
2017/07/06,58473
2017/07/07,59461
2017/07/08,59825
2017/07/09,60115
2017/07/10,60883
2017/07/11,61558
2017/07/12,62165
2017/07/13,62488
2017/07/14,62764
2017/07/15,63033
2017/07/16,63248
2017/07/17,63572
2017/07/18,64001
2017/07/19,64476
2017/07/20,64838
2017/07/21,65009
2017/07/22,64984
2017/07/23,65670
2017/07/24,65928
2017/07/25,66079
2017/07/26,66125
2017/07/27,66248
2017/07/28,66387
2017/07/29,66264
2017/07/30,66144
2017/07/31,66607
2017/08/01,66629
2017/08/02,66748
2017/08/03,66849
2017/08/04,67101
2017/08/05,67401
2017/08/06,67591
2017/08/07,67976
2017/08/08,68593
2017/08/09,69036
2017/08/10,69767
2017/08/11,70494
2017/08/12,71068
2017/08/13,71452
2017/08/14,72406
2017/08/15,73368
2017/08/16,74317
2017/08/17,75278
2017/08/18,76429
2017/08/19,76965
2017/08/20,77279
2017/08/21,78058
2017/08/22,78648
2017/08/23,79379
2017/08/24,79768
2017/08/25,80332
2017/08/26,80335
2017/08/27,80436
2017/08/28,80843
2017/08/29,81578
2017/08/30,82324
2017/08/31,83214
2017/09/01,83946
2017/09/02,84207
2017/09/03,84216
2017/09/04,85376
2017/09/05,86306
2017/09/06,87333
2017/09/07,88096
2017/09/08,88813
2017/09/09,89236
2017/09/10,89179
2017/09/11,89619
2017/09/12,90556
2017/09/13,91109
2017/09/14,91989
2017/09/15,93053
2017/09/16,93177
2017/09/17,92806
2017/09/18,93117
2017/09/19,93404
2017/09/20,93603
2017/09/21,93634
2017/09/22,93360
2017/09/23,93167
2017/09/24,93101
2017/09/25,93209
2017/09/26,93158
2017/09/27,93083
2017/09/28,93260
2017/09/29,93440
2017/09/30,93386
2017/10/01,93079
2017/10/02,93030
2017/10/03,93063
2017/10/04,92937
2017/10/05,92936
2017/10/06,92829
2017/10/07,92672
2017/10/08,92530
2017/10/09,92472
2017/10/10,92797
2017/10/11,93172
2017/10/12,93447
2017/10/13,94067
2017/10/14,94149
2017/10/15,94030
2017/10/16,93931
2017/10/17,94772
2017/10/18,95038
2017/10/19,95066
2017/10/20,95487
2017/10/21,95764
2017/10/22,96687
2017/10/23,96999
2017/10/24,97312
2017/10/25,97351
2017/10/26,97378
2017/10/27,95295
2017/10/28,93225
2017/10/29,91168
2017/10/30,89130
2017/10/31,87107
2017/11/01,88006
2017/11/02,89220
2017/11/03,89713
2017/11/04,89708
2017/11/05,89660
2017/11/06,89959
2017/11/07,90290
2017/11/08,90858
2017/11/09,91479
2017/11/10,91885
2017/11/11,92014
2017/11/12,92498
2017/11/13,92839
2017/11/14,93519
2017/11/15,94568
2017/11/16,95227
2017/11/17,96147
2017/11/18,96544
2017/11/19,97033
2017/11/20,97728
2017/11/21,98686
2017/11/22,99670
2017/11/23,100552
2017/11/24,101355
2017/11/25,102132
2017/11/26,102987
2017/11/27,104530
2017/11/28,106128
2017/11/29,108055
2017/11/30,109572
2017/12/01,110537
2017/12/02,111667
2017/12/03,113339
2017/12/04,114934
2017/12/05,116611
2017/12/06,119274
2017/12/07,120531
2017/12/08,122487
2017/12/09,124448
2017/12/10,126348
2017/12/11,128849
2017/12/12,132285
2017/12/13,135853
2017/12/14,139572
2017/12/15,142830
2017/12/16,145667
2017/12/17,148448
2017/12/18,151698
2017/12/19,155833
2017/12/20,159711
2017/12/21,163963
2017/12/22,169170
2017/12/23,172323
2017/12/24,173846
2017/12/25,175241
2017/12/26,177609
2017/12/27,180309
2017/12/28,182946
2017/12/29,187376
2017/12/30,192296
2017/12/31,194965
2018/01/01,197596
2018/01/02,202537
2018/01/03,207202
2018/01/04,212861
2018/01/05,217772
2018/01/06,222375
2018/01/07,226773
2018/01/08,231099
2018/01/09,236879
2018/01/10,241150
2018/01/11,245873
2018/01/12,249689
2018/01/13,254182
2018/01/14,257975
2018/01/15,263230
2018/01/16,268864
2018/01/17,274163
2018/01/18,278923
2018/01/19,281416
2018/01/20,282508
2018/01/21,286999
2018/01/22,288863
2018/01/23,290246
2018/01/24,291221
2018/01/25,291144
2018/01/26,292616
2018/01/27,293131
2018/01/28,293330
2018/01/29,294204
2018/01/30,294800
2018/01/31,295260
2018/02/01,296703
2018/02/02,297877
2018/02/03,297539
2018/02/04,297690
2018/02/05,297821
2018/02/06,298199
2018/02/07,297967
2018/02/08,296666
2018/02/09,295969
2018/02/10,295556
2018/02/11,294790
2018/02/12,294427
2018/02/13,293198
2018/02/14,292400
2018/02/15,291572
2018/02/16,289811
2018/02/17,288048
2018/02/18,286453
2018/02/19,285288
2018/02/20,284735
2018/02/21,283701
2018/02/22,282167
2018/02/23,280327
2018/02/24,277878
2018/02/25,275576
2018/02/26,274226
2018/02/27,272647
2018/02/28,271308
2018/03/01,269745
2018/03/02,268125
2018/03/03,265774
2018/03/04,263107
2018/03/05,261482
2018/03/06,260221
2018/03/07,261060
2018/03/08,259343
2018/03/09,257314
2018/03/10,254927
2018/03/11,252172
2018/03/12,249689
2018/03/13,247788
2018/03/14,246546
2018/03/15,244680
2018/03/16,242325
2018/03/17,239798
2018/03/18,237590
2018/03/19,236035
2018/03/20,233975
2018/03/21,232451
2018/03/22,230325
2018/03/23,229961
2018/03/24,228728
2018/03/25,225900
2018/03/26,223851
2018/03/27,221681
2018/03/28,219229
2018/03/29,217275
2018/03/30,215592
2018/03/31,213216
2018/04/01,210560
2018/04/02,208354
2018/04/03,206712
2018/04/04,204865
2018/04/05,203812
2018/04/06,202350
2018/04/07,200347
2018/04/08,198779
2018/04/09,197549
2018/04/10,196061
2018/04/11,194909
2018/04/12,194358
2018/04/13,193894
2018/04/14,192742
2018/04/15,191566
2018/04/16,190621
2018/04/17,189811
2018/04/18,189229
2018/04/19,189206
2018/04/20,189369
2018/04/21,189399
2018/04/22,190177
2018/04/23,191211
2018/04/24,192172
2018/04/25,192543
2018/04/26,192891
2018/04/27,192923
2018/04/28,192744
2018/04/29,192478
2018/04/30,192661
2018/05/01,192336
2018/05/02,192868
2018/05/03,194047
2018/05/04,200630
2018/05/05,202016
2018/05/06,202453
2018/05/07,203644
2018/05/08,205073
2018/05/09,206119
2018/05/10,207252
2018/05/11,208281
2018/05/12,209180
2018/05/13,209661
2018/05/14,210630
2018/05/15,211962
2018/05/16,213398
2018/05/17,215104
2018/05/18,216582
2018/05/19,218406
2018/05/20,219621
2018/05/21,220605
2018/05/22,222541
2018/05/23,224041
2018/05/24,225369
2018/05/25,226502
2018/05/26,227542
2018/05/27,228762
2018/05/28,230401
2018/05/29,231930
2018/05/30,233119
2018/05/31,234652
2018/06/01,235153
2018/06/02,236432
2018/06/03,237611
2018/06/04,238436
2018/06/05,238837
2018/06/06,239241
2018/06/07,240078
2018/06/08,240458
2018/06/09,241578
2018/06/10,242786
2018/06/11,243491
2018/06/12,243485
2018/06/13,243445
