Date,size30mom
2016/01/01,65.382
2016/01/02,175.343
2016/01/03,151.423
2016/01/04,145.947
2016/01/05,519.046
2016/01/06,777.779
2016/01/07,778.657
2016/01/08,300.903
2016/01/09,389.244
2016/01/10,159.371
2016/01/11,141.791
2016/01/12,249.205
2016/01/13,-328.851
2016/01/14,-772.443
2016/01/15,-209.341
2016/01/16,-85.692
2016/01/17,-170.467
2016/01/18,47.474
2016/01/19,3.311
2016/01/20,-212.639
2016/01/21,-1102
2016/01/22,-516.434
2016/01/23,-386.31
2016/01/24,-48.879
2016/01/25,261.106
2016/01/26,-346.96
2016/01/27,327.249
2016/01/28,224.479
2016/01/29,-256.398
2016/01/30,121.744
2016/01/31,250.789
2016/02/01,127.134
2016/02/02,122.232
2016/02/03,78.266
2016/02/04,-309.165
2016/02/05,-435.648
2016/02/06,127.872
2016/02/07,-53.795
2016/02/08,-175.818
2016/02/09,-11.368
2016/02/10,48.3
2016/02/11,185.801
2016/02/12,-252.712
2016/02/13,160.194
2016/02/14,133.738
2016/02/15,159.437
2016/02/16,241.358
2016/02/17,208.5
2016/02/18,2.749
2016/02/19,197.713
2016/02/20,102.746
2016/02/21,23.372
2016/02/22,184.528
2016/02/23,124.187
2016/02/24,-226.085
2016/02/25,-114.35
2016/02/26,-277.267
2016/02/27,-322.262
2016/02/28,-216.318
2016/02/29,-3.695
2016/03/01,21.125
2016/03/02,117.918
2016/03/03,171.167
2016/03/04,189.555
2016/03/05,227.744
2016/03/06,248.966
2016/03/07,-459.818
2016/03/08,216.148
2016/03/09,245.902
2016/03/10,189.201
2016/03/11,104.617
2016/03/12,104.963
2016/03/13,221.564
2016/03/14,279.223
2016/03/15,177.765
2016/03/16,189.609
2016/03/17,293.292
2016/03/18,137.888
2016/03/19,384.565
2016/03/20,289.174
2016/03/21,451.492
2016/03/22,463.718
2016/03/23,439.206
2016/03/24,744.679
2016/03/25,512.421
2016/03/26,423.804
2016/03/27,-28.11
2016/03/28,465.768
2016/03/29,298.282
2016/03/30,397.087
2016/03/31,248.876
2016/04/01,294.024
2016/04/02,-13.463
2016/04/03,-4.422
2016/04/04,187.608
2016/04/05,161.954
2016/04/06,119.044
2016/04/07,162.283
2016/04/08,261.412
2016/04/09,96.246
2016/04/10,69.926
2016/04/11,-122.747
2016/04/12,59.361
2016/04/13,-23.987
2016/04/14,87.886
2016/04/15,95.793
2016/04/16,-205.935
2016/04/17,514.312
2016/04/18,-143.091
2016/04/19,-128.679
2016/04/20,-138.558
2016/04/21,-10.287
2016/04/22,-238.724
2016/04/23,-591.46
2016/04/24,-188.23
2016/04/25,-139.077
2016/04/26,83.704
2016/04/27,-253.874
2016/04/28,18.459
2016/04/29,-149.265
2016/04/30,182.719
2016/05/01,187.898
2016/05/02,245.228
2016/05/03,201.599
2016/05/04,-4.058
2016/05/05,-41.788
2016/05/06,288.492
2016/05/07,-29.579
2016/05/08,-10.653
2016/05/09,141.791
2016/05/10,200.259
2016/05/11,296.689
2016/05/12,227.926
2016/05/13,196.895
2016/05/14,277.284
2016/05/15,127.469
2016/05/16,276.121
2016/05/17,-402.349
2016/05/18,337.891
2016/05/19,259.07
2016/05/20,317.938
2016/05/21,168.495
2016/05/22,203.15
2016/05/23,298.107
2016/05/24,95.299
2016/05/25,271.149
2016/05/26,388.778
2016/05/27,412.795
2016/05/28,1028
2016/05/29,252.174
2016/05/30,-44.776
2016/05/31,-86.801
2016/06/01,81.926
2016/06/02,6.925
2016/06/03,-69.358
2016/06/04,-76.991
2016/06/05,-229.188
2016/06/06,50.801
2016/06/07,162.349
2016/06/08,-22.635
2016/06/09,-4.675
2016/06/10,-121.222
2016/06/11,-297.86
2016/06/12,-211.664
2016/06/13,-83.619
2016/06/14,173.695
2016/06/15,31.523
2016/06/16,88.881
2016/06/17,449.067
2016/06/18,467.636
2016/06/19,-53.07
2016/06/20,36.125
2016/06/21,134.601
2016/06/22,45.924
2016/06/23,-14.962
2016/06/24,-32.126
2016/06/25,-318.702
2016/06/26,-273.963
2016/06/27,-1026
2016/06/28,-192.932
2016/06/29,248.709
2016/06/30,773.345
2016/07/01,-182.273
2016/07/02,-70.845
2016/07/03,-24.957
2016/07/04,5.802
2016/07/05,74.279
2016/07/06,-16.957
2016/07/07,-278.453
2016/07/08,143.693
2016/07/09,-59.76
2016/07/10,-30.289
2016/07/11,39.119
2016/07/12,104.139
2016/07/13,-242.532
2016/07/14,-177.326
2016/07/15,-65.444
2016/07/16,-254.431
2016/07/17,-874.119
2016/07/18,-646.408
2016/07/19,-122.185
2016/07/20,9.131
2016/07/21,-106.336
2016/07/22,26.596
2016/07/23,-17.138
2016/07/24,159.174
