Date,size3roc
2016/01/01,-26.264
2016/01/02,-39.027
2016/01/03,-9.674
2016/01/04,10.933
2016/01/05,46.381
2016/01/06,62.558
2016/01/07,57.918
2016/01/08,-22.643
2016/01/09,-22.101
2016/01/10,-32.65
2016/01/11,-2.009
2016/01/12,-9.554
2016/01/13,36.364
2016/01/14,0.361
2016/01/15,-8.01
2016/01/16,-32.03
2016/01/17,-16.511
2016/01/18,5.015
2016/01/19,14.404
2016/01/20,8.164
2016/01/21,-10.707
2016/01/22,-7.17
2016/01/23,-5.547
2016/01/24,5.229
2016/01/25,29.935
2016/01/26,35.613
2016/01/27,57.738
2016/01/28,6.685
2016/01/29,6.446
2016/01/30,-24.714
2016/01/31,-20.276
2016/02/01,-17.347
2016/02/02,-8.634
2016/02/03,-6.677
2016/02/04,0.552
2016/02/05,3.673
2016/02/06,58.322
2016/02/07,-5.584
2016/02/08,-7.457
2016/02/09,-38.461
2016/02/10,7.836
2016/02/11,23.808
2016/02/12,13.386
2016/02/13,10.459
2016/02/14,-10.916
2016/02/15,-3.735
2016/02/16,-7.705
2016/02/17,10.985
2016/02/18,-1.539
2016/02/19,2.547
2016/02/20,-17.301
2016/02/21,-5.294
2016/02/22,-5.738
2016/02/23,6.764
2016/02/24,5.528
2016/02/25,2.173
2016/02/26,15.381
2016/02/27,-0.625
2016/02/28,-2.046
2016/02/29,-8.805
2016/03/01,4.957
2016/03/02,9.845
2016/03/03,6.216
2016/03/04,8.009
2016/03/05,9.661
2016/03/06,9.401
2016/03/07,-2.514
2016/03/08,-5.499
2016/03/09,-6.322
2016/03/10,0.314
2016/03/11,-2.506
2016/03/12,8.217
2016/03/13,13.962
2016/03/14,23.974
2016/03/15,-4.83
2016/03/16,-5.436
2016/03/17,-5.335
2016/03/18,6.476
2016/03/19,13.492
2016/03/20,1.732
2016/03/21,6.75
2016/03/22,1.367
2016/03/23,5.786
2016/03/24,24.3
2016/03/25,7.051
2016/03/26,0.542
2016/03/27,-32.28
2016/03/28,-3.305
2016/03/29,-9.644
2016/03/30,24.724
2016/03/31,-10.351
2016/04/01,7.425
2016/04/02,-21.462
2016/04/03,-11.433
2016/04/04,0.628
2016/04/05,23.708
2016/04/06,7.396
2016/04/07,-6.498
2016/04/08,0.858
2016/04/09,-1.42
2016/04/10,-8.793
2016/04/11,-18.108
2016/04/12,10.143
2016/04/13,15.333
2016/04/14,11.392
2016/04/15,-2.703
2016/04/16,-17.737
2016/04/17,36.409
2016/04/18,-4.339
2016/04/19,8.382
2016/04/20,-29.111
2016/04/21,11.342
2016/04/22,-2.003
2016/04/23,-6.543
2016/04/24,-4.731
2016/04/25,8.362
2016/04/26,5.84
2016/04/27,-8.32
2016/04/28,0.66
2016/04/29,5.857
2016/04/30,20.88
2016/05/01,19.362
2016/05/02,4.005
2016/05/03,-8.929
2016/05/04,-10.864
2016/05/05,0.39
2016/05/06,12.373
2016/05/07,-8.219
2016/05/08,2.977
2016/05/09,-10.194
2016/05/10,7.735
2016/05/11,1.85
2016/05/12,15.059
2016/05/13,13.033
2016/05/14,7.978
2016/05/15,-8.318
2016/05/16,-10.919
2016/05/17,-9.975
2016/05/18,9.687
2016/05/19,5.687
2016/05/20,10.701
2016/05/21,-0.957
2016/05/22,-5.222
2016/05/23,-6.485
2016/05/24,-8.63
2016/05/25,11.777
2016/05/26,10.511
2016/05/27,12.973
2016/05/28,45.877
2016/05/29,-3.338
2016/05/30,-10.614
2016/05/31,-34.574
2016/06/01,-6.759
2016/06/02,-5.838
2016/06/03,-10.361
2016/06/04,-9.804
2016/06/05,-3.933
2016/06/06,-0.208
2016/06/07,20.127
2016/06/08,2.928
2016/06/09,3.568
2016/06/10,-15.081
2016/06/11,-3.857
2016/06/12,-0.945
2016/06/13,11.268
2016/06/14,24.021
2016/06/15,4.128
2016/06/16,0.29
2016/06/17,24.777
2016/06/18,34.206
2016/06/19,1.258
2016/06/20,-20.072
2016/06/21,-20.321
2016/06/22,-0.602
2016/06/23,-11.437
2016/06/24,0.565
2016/06/25,-12.375
2016/06/26,-4.013
2016/06/27,-13.928
2016/06/28,4.801
2016/06/29,23.366
2016/06/30,67.923
2016/07/01,-6.92
2016/07/02,-22.859
2016/07/03,-40.701
2016/07/04,2.531
2016/07/05,6.363
2016/07/06,0.359
2016/07/07,-0.047
2016/07/08,7.501
2016/07/09,0.573
2016/07/10,-0.501
2016/07/11,-10.122
2016/07/12,10.584
2016/07/13,-3.574
2016/07/14,8.124
2016/07/15,-6.971
2016/07/16,-0.535
2016/07/17,-17.725
2016/07/18,-4.119
2016/07/19,11.295
2016/07/20,35.935
2016/07/21,8.926
2016/07/22,9.255
2016/07/23,-12.906
2016/07/24,18.047
2016/07/25,5.876
2016/07/26,30.069
2016/07/27,-5.076
2016/07/28,-7.345
2016/07/29,-17.887
2016/07/30,-14.391
2016/07/31,-1.515
2016/08/01,-2.335
2016/08/02,15.558
2016/08/03,5.046
2016/08/04,3.584
2016/08/05,-9.502
2016/08/06,-12.016
2016/08/07,-8.873
2016/08/08,-1.523
2016/08/09,8.641
2016/08/10,9.069
2016/08/11,7.76
2016/08/12,-2.062
2016/08/13,-10.944
2016/08/14,-13.233
2016/08/15,-5.918
2016/08/16,13.313
2016/08/17,8.976
2016/08/18,13.382
2016/08/19,-8.048
2016/08/20,-5.199
2016/08/21,-11.02
2016/08/22,2.327
2016/08/23,39.273
2016/08/24,7.447
2016/08/25,9.019
2016/08/26,-20.425
2016/08/27,-0.223
2016/08/28,-12.78
2016/08/29,-2.345
2016/08/30,1.855
2016/08/31,6.018
2016/09/01,0.685
2016/09/02,14.482
2016/09/03,-1.616
2016/09/04,8.611
2016/09/05,-18.27
2016/09/06,13.826
2016/09/07,-1.566
2016/09/08,25.653
2016/09/09,7.61
2016/09/10,-10.869
2016/09/11,-23.132
2016/09/12,-14.481
