Date,fee_to_reward7trxUSD
2016/01/01,-0.315
2016/01/02,-1.816
2016/01/03,-3.103
2016/01/04,-4.052
2016/01/05,-3.327
2016/01/06,-1.564
2016/01/07,0.457
2016/01/08,0.67
2016/01/09,0.59
2016/01/10,-0.085
2016/01/11,-0.919
2016/01/12,-1.641
2016/01/13,-0.851
2016/01/14,-0.85
2016/01/15,-1.327
2016/01/16,-1.942
2016/01/17,-2.76
2016/01/18,-2.933
2016/01/19,-2.507
2016/01/20,-2.621
2016/01/21,-2.863
2016/01/22,-2.578
2016/01/23,-2.727
2016/01/24,-2.76
2016/01/25,-1.721
2016/01/26,-0.527
2016/01/27,1.655
2016/01/28,2.945
2016/01/29,3.372
2016/01/30,3.185
2016/01/31,2.709
2016/02/01,2.034
2016/02/02,1.275
2016/02/03,0.443
2016/02/04,-0.046
2016/02/05,-0.085
2016/02/06,4.081
2016/02/07,5.497
2016/02/08,4.963
2016/02/09,4.27
2016/02/10,3.938
2016/02/11,3.248
2016/02/12,2.049
2016/02/13,0.923
2016/02/14,-0.277
2016/02/15,-1.22
2016/02/16,-1.833
2016/02/17,-1.907
2016/02/18,-2.136
2016/02/19,-2.128
2016/02/20,-2.353
2016/02/21,-2.59
2016/02/22,-2.601
2016/02/23,0.076
2016/02/24,1.784
2016/02/25,1.887
2016/02/26,2.051
2016/02/27,1.334
2016/02/28,0.387
2016/02/29,-0.308
2016/03/01,-0.823
2016/03/02,-1.009
2016/03/03,-1.1
2016/03/04,-1.169
2016/03/05,-1.229
2016/03/06,-1.046
2016/03/07,-1.112
2016/03/08,-1.199
2016/03/09,-1.492
2016/03/10,-2.088
2016/03/11,-2.756
2016/03/12,-3.122
2016/03/13,-3.25
2016/03/14,-3.067
2016/03/15,-3.093
2016/03/16,-3.197
2016/03/17,-2.983
2016/03/18,-2.757
2016/03/19,-1.789
2016/03/20,-0.95
2016/03/21,-0.428
2016/03/22,-0.44
2016/03/23,-0.343
2016/03/24,0.167
2016/03/25,0.735
2016/03/26,0.956
2016/03/27,0.253
2016/03/28,-0.368
