Date,transactions14mom
2016/01/01,-799
2016/01/02,-150
2016/01/03,-621
2016/01/04,-2589
2016/01/05,-4597
2016/01/06,-5666
2016/01/07,8581
2016/01/08,1398
2016/01/09,1067
2016/01/10,-11547
2016/01/11,-1475
2016/01/12,-496
2016/01/13,-4102
2016/01/14,352
2016/01/15,1642
2016/01/16,1500
2016/01/17,489
2016/01/18,3442
2016/01/19,-3010
2016/01/20,-6464
2016/01/21,-11341
2016/01/22,2929
2016/01/23,-768
2016/01/24,2478
2016/01/25,6228
2016/01/26,5649
2016/01/27,1082
2016/01/28,6112
2016/01/29,6520
2016/01/30,3997
2016/01/31,4419
2016/02/01,1283
2016/02/02,871
2016/02/03,3664
2016/02/04,3637
2016/02/05,1401
2016/02/06,20393
2016/02/07,1466
2016/02/08,-2402
2016/02/09,-994
2016/02/10,-1606
2016/02/11,4675
2016/02/12,1714
2016/02/13,4666
2016/02/14,2458
2016/02/15,2960
2016/02/16,3258
2016/02/17,5716
2016/02/18,2598
2016/02/19,3163
2016/02/20,-14704
2016/02/21,2855
2016/02/22,3471
2016/02/23,2965
2016/02/24,2399
2016/02/25,-1937
2016/02/26,2959
2016/02/27,-346
2016/02/28,2439
2016/02/29,3199
2016/03/01,4229
2016/03/02,3572
2016/03/03,7868
2016/03/04,5875
2016/03/05,10401
2016/03/06,10542
2016/03/07,5081
2016/03/08,5623
2016/03/09,5017
2016/03/10,5311
2016/03/11,2056
2016/03/12,8906
2016/03/13,9064
2016/03/14,8170
2016/03/15,7495
2016/03/16,4034
2016/03/17,8694
2016/03/18,7534
2016/03/19,7664
2016/03/20,4786
2016/03/21,9240
2016/03/22,8785
2016/03/23,7229
2016/03/24,12133
2016/03/25,13638
2016/03/26,8759
2016/03/27,1847
2016/03/28,5085
2016/03/29,4642
2016/03/30,9171
2016/03/31,-1272
2016/04/01,1499
2016/04/02,-5421
2016/04/03,-2859
2016/04/04,2396
2016/04/05,6283
2016/04/06,292
2016/04/07,-5054
2016/04/08,-2752
2016/04/09,-4723
2016/04/10,2263
2016/04/11,-3286
2016/04/12,758
2016/04/13,-716
2016/04/14,2522
2016/04/15,1639
2016/04/16,1125
2016/04/17,10615
2016/04/18,-1394
2016/04/19,-6551
2016/04/20,866
2016/04/21,5288
2016/04/22,-2332
2016/04/23,-78
2016/04/24,1809
2016/04/25,5103
2016/04/26,-2091
2016/04/27,-2204
2016/04/28,-438
2016/04/29,2373
2016/04/30,15286
2016/05/01,-625
2016/05/02,8235
2016/05/03,5199
2016/05/04,4540
2016/05/05,1526
2016/05/06,9593
2016/05/07,4019
2016/05/08,6017
2016/05/09,3130
2016/05/10,8102
2016/05/11,6964
2016/05/12,10659
2016/05/13,10407
2016/05/14,-24
2016/05/15,3495
2016/05/16,-4324
2016/05/17,2488
2016/05/18,8549
2016/05/19,5816
2016/05/20,3906
2016/05/21,7757
2016/05/22,-1168
2016/05/23,5246
2016/05/24,2227
2016/05/25,5632
2016/05/26,6145
2016/05/27,1267
2016/05/28,24403
2016/05/29,2817
2016/05/30,5503
2016/05/31,4077
2016/06/01,-3812
2016/06/02,-4857
2016/06/03,-5343
2016/06/04,-5746
2016/06/05,-999
2016/06/06,-4849
2016/06/07,3230
2016/06/08,-6010
2016/06/09,-11293
2016/06/10,-8861
2016/06/11,-33247
2016/06/12,-3309
2016/06/13,3258
2016/06/14,5949
2016/06/15,1030
2016/06/16,3726
2016/06/17,26724
2016/06/18,25208
2016/06/19,13139
2016/06/20,8161
2016/06/21,1182
2016/06/22,8182
2016/06/23,2054
2016/06/24,5186
2016/06/25,-217
2016/06/26,-968
2016/06/27,-6522
2016/06/28,-7246
2016/06/29,6646
