Date,transactionvalue90varUSD
2016/01/01,1565
2016/01/02,1566
2016/01/03,1557
2016/01/04,1567
2016/01/05,1566
2016/01/06,1573
2016/01/07,1576
2016/01/08,1573
2016/01/09,1571
2016/01/10,1577
2016/01/11,1577
2016/01/12,1604
2016/01/13,1602
2016/01/14,1601
2016/01/15,1653
2016/01/16,1647
2016/01/17,1646
2016/01/18,2097
2016/01/19,2163
2016/01/20,2175
2016/01/21,2179
2016/01/22,2186
2016/01/23,2363
2016/01/24,3150
2016/01/25,3418
2016/01/26,3696
2016/01/27,3800
2016/01/28,3722
2016/01/29,3776
2016/01/30,3893
2016/01/31,4060
2016/02/01,4068
2016/02/02,4059
2016/02/03,4075
2016/02/04,4054
2016/02/05,4057
2016/02/06,4078
2016/02/07,4158
2016/02/08,4812
2016/02/09,5698
2016/02/10,7646
2016/02/11,8905
2016/02/12,12935
2016/02/13,13562
2016/02/14,13910
2016/02/15,14090
2016/02/16,14827
2016/02/17,14815
2016/02/18,15078
2016/02/19,15008
2016/02/20,15466
2016/02/21,15463
2016/02/22,15595
2016/02/23,17012
2016/02/24,19885
2016/02/25,20229
2016/02/26,31523
2016/02/27,35075
2016/02/28,35085
2016/02/29,35011
2016/03/01,35616
2016/03/02,48003
2016/03/03,51967
2016/03/04,53498
2016/03/05,64178
2016/03/06,66257
2016/03/07,68222
2016/03/08,72517
2016/03/09,72916
2016/03/10,72902
2016/03/11,73169
2016/03/12,75309
2016/03/13,81381
2016/03/14,83853
2016/03/15,84763
2016/03/16,85083
2016/03/17,85701
2016/03/18,87588
2016/03/19,86856
2016/03/20,86211
2016/03/21,85386
2016/03/22,84534
2016/03/23,83722
2016/03/24,82820
2016/03/25,82127
2016/03/26,81609
2016/03/27,80977
2016/03/28,80123
2016/03/29,79353
2016/03/30,78705
2016/03/31,77877
2016/04/01,77323
2016/04/02,76789
2016/04/03,76378
2016/04/04,75991
2016/04/05,75149
2016/04/06,74288
2016/04/07,73332
2016/04/08,72591
2016/04/09,71539
2016/04/10,70647
2016/04/11,70358
2016/04/12,69384
2016/04/13,68459
2016/04/14,68056
2016/04/15,67663
2016/04/16,67255
2016/04/17,67418
2016/04/18,67222
2016/04/19,67058
2016/04/20,66542
2016/04/21,66505
2016/04/22,66471
2016/04/23,66553
2016/04/24,67226
2016/04/25,67456
2016/04/26,67146
2016/04/27,66986
2016/04/28,66832
2016/04/29,67045
2016/04/30,66998
2016/05/01,66307
2016/05/02,65682
2016/05/03,64998
2016/05/04,64076
2016/05/05,63389
2016/05/06,62233
2016/05/07,61813
2016/05/08,61793
2016/05/09,61973
2016/05/10,61925
