Date,activeaddresses7mom
2016/01/01,251
2016/01/02,108
2016/01/03,300
2016/01/04,120
2016/01/05,197
2016/01/06,528
2016/01/07,362
2016/01/08,441
2016/01/09,321
2016/01/10,466
2016/01/11,609
2016/01/12,711
2016/01/13,240
2016/01/14,-96
2016/01/15,520
2016/01/16,63
2016/01/17,-289
2016/01/18,58
2016/01/19,-280
2016/01/20,642
2016/01/21,202
2016/01/22,-57
2016/01/23,939
2016/01/24,1531
2016/01/25,1327
2016/01/26,1968
2016/01/27,867
2016/01/28,1928
2016/01/29,1570
2016/01/30,1107
2016/01/31,803
2016/02/01,149
2016/02/02,-304
2016/02/03,328
2016/02/04,-468
2016/02/05,463
2016/02/06,-490
2016/02/07,-406
2016/02/08,382
2016/02/09,805
2016/02/10,2104
2016/02/11,4516
2016/02/12,2219
2016/02/13,2748
2016/02/14,1683
2016/02/15,1457
2016/02/16,1093
2016/02/17,-170
2016/02/18,-2549
2016/02/19,-910
2016/02/20,-953
2016/02/21,890
2016/02/22,564
2016/02/23,612
2016/02/24,343
2016/02/25,1297
2016/02/26,433
2016/02/27,973
2016/02/28,511
2016/02/29,1108
2016/03/01,1905
2016/03/02,2976
2016/03/03,2965
2016/03/04,3572
2016/03/05,5304
2016/03/06,4256
2016/03/07,1404
2016/03/08,2303
2016/03/09,911
2016/03/10,1330
2016/03/11,616
2016/03/12,125
2016/03/13,412
2016/03/14,3336
2016/03/15,1393
2016/03/16,1544
2016/03/17,758
2016/03/18,2934
2016/03/19,92
2016/03/20,512
2016/03/21,-214
2016/03/22,-72
2016/03/23,1029
2016/03/24,-14
2016/03/25,-1022
2016/03/26,10
2016/03/27,896
2016/03/28,1171
2016/03/29,2932
2016/03/30,2998
2016/03/31,1672
2016/04/01,954
2016/04/02,1161
2016/04/03,526
2016/04/04,1140
2016/04/05,36
2016/04/06,-1911
2016/04/07,1318
2016/04/08,64
2016/04/09,1587
2016/04/10,1663
2016/04/11,80
2016/04/12,79
2016/04/13,1772
2016/04/14,16
2016/04/15,1108
2016/04/16,-136
2016/04/17,140
2016/04/18,967
2016/04/19,246
2016/04/20,-36
2016/04/21,375
2016/04/22,740
2016/04/23,601
2016/04/24,439
2016/04/25,306
2016/04/26,622
2016/04/27,271
2016/04/28,-35
2016/04/29,2796
2016/04/30,8996
