Date,transactions14sma
2016/01/01,13904
2016/01/02,13893
2016/01/03,13849
2016/01/04,13664
2016/01/05,13336
2016/01/06,12931
2016/01/07,13544
2016/01/08,13644
2016/01/09,13720
2016/01/10,12895
2016/01/11,12790
2016/01/12,12755
2016/01/13,12462
2016/01/14,12487
2016/01/15,12604
2016/01/16,12711
2016/01/17,12746
2016/01/18,12992
2016/01/19,12777
2016/01/20,12315
2016/01/21,11505
2016/01/22,11714
2016/01/23,11659
2016/01/24,11836
2016/01/25,12281
2016/01/26,12685
2016/01/27,12762
2016/01/28,13199
2016/01/29,13664
2016/01/30,13950
2016/01/31,14266
2016/02/01,14357
2016/02/02,14419
2016/02/03,14681
2016/02/04,14941
2016/02/05,15041
2016/02/06,16498
2016/02/07,16602
2016/02/08,16431
2016/02/09,16360
2016/02/10,16245
2016/02/11,16579
2016/02/12,16701
2016/02/13,17035
2016/02/14,17210
2016/02/15,17422
2016/02/16,17654
2016/02/17,18063
2016/02/18,18248
2016/02/19,18474
2016/02/20,17424
2016/02/21,17628
2016/02/22,17876
2016/02/23,18088
2016/02/24,18259
2016/02/25,18121
2016/02/26,18332
2016/02/27,18307
2016/02/28,18481
2016/02/29,18710
2016/03/01,19012
2016/03/02,19267
2016/03/03,19829
2016/03/04,20249
2016/03/05,20992
2016/03/06,21745
2016/03/07,22108
2016/03/08,22509
2016/03/09,22868
2016/03/10,23247
2016/03/11,23394
2016/03/12,24030
2016/03/13,24677
2016/03/14,25261
2016/03/15,25796
2016/03/16,26084
2016/03/17,26705
2016/03/18,27244
2016/03/19,27791
2016/03/20,28133
2016/03/21,28793
2016/03/22,29420
2016/03/23,29937
2016/03/24,30803
2016/03/25,31778
2016/03/26,32403
2016/03/27,32535
2016/03/28,32898
2016/03/29,33230
2016/03/30,33885
2016/03/31,33794
2016/04/01,33901
2016/04/02,33514
2016/04/03,33310
2016/04/04,33481
2016/04/05,33930
2016/04/06,33951
2016/04/07,33590
2016/04/08,33393
2016/04/09,33056
2016/04/10,33217
2016/04/11,32983
2016/04/12,33037
2016/04/13,32986
2016/04/14,33166
2016/04/15,33283
2016/04/16,33363
2016/04/17,34121
2016/04/18,34022
2016/04/19,33554
2016/04/20,33616
2016/04/21,33993
2016/04/22,33827
2016/04/23,33821
2016/04/24,33950
2016/04/25,34315
2016/04/26,34166
2016/04/27,34008
2016/04/28,33977
2016/04/29,34146
2016/04/30,35238
2016/05/01,35194
2016/05/02,35782
2016/05/03,36153
2016/05/04,36477
2016/05/05,36586
2016/05/06,37272
2016/05/07,37559
2016/05/08,37989
2016/05/09,38212
2016/05/10,38791
2016/05/11,39288
2016/05/12,40050
2016/05/13,40793
2016/05/14,40791
2016/05/15,41041
2016/05/16,40732
2016/05/17,40910
2016/05/18,41520
2016/05/19,41936
2016/05/20,42215
2016/05/21,42769
2016/05/22,42685
2016/05/23,43060
2016/05/24,43219
2016/05/25,43622
2016/05/26,44060
2016/05/27,44151
2016/05/28,45894
2016/05/29,46095
2016/05/30,46488
2016/05/31,46780
2016/06/01,46507
2016/06/02,46160
2016/06/03,45779
2016/06/04,45368
2016/06/05,45297
2016/06/06,44951
2016/06/07,45181
2016/06/08,44752
2016/06/09,43945
2016/06/10,43312
2016/06/11,40938
2016/06/12,40701
2016/06/13,40934
2016/06/14,41359
